system:index,name,.geo
0,Region_1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.100315625282718,56.9585096175939],[24.101847166630222,56.9585096175939],[24.101847166630222,56.959147246574034],[24.100315625282718,56.959147246574034],[24.100315625282718,56.9585096175939]]]}"
1,Region_2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.098904982152252,56.95204585890632],[24.10048748547104,56.95204585890632],[24.10048748547104,56.9528035391015],[24.098904982152252,56.9528035391015],[24.098904982152252,56.95204585890632]]]}"
2,Region_3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.106323820775962,56.94669401566367],[24.108072621053672,56.94669401566367],[24.108072621053672,56.94755128158278],[24.106323820775962,56.94755128158278],[24.106323820775962,56.94669401566367]]]}"
3,Region_4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.11239594083389,56.94503541336855],[24.114193020873866,56.94503541336855],[24.114193020873866,56.945784458271866],[24.11239594083389,56.945784458271866],[24.11239594083389,56.94503541336855]]]}"
4,Region_5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.105957872241728,56.944409038748844],[24.10787833389639,56.944409038748844],[24.10787833389639,56.945280987042224],[24.105957872241728,56.945280987042224],[24.105957872241728,56.944409038748844]]]}"
5,Region_6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.110208245809112,56.94428581905262],[24.11152252822641,56.94428581905262],[24.11152252822641,56.9448754124318],[24.110208245809112,56.9448754124318],[24.110208245809112,56.94428581905262]]]}"
6,Region_7,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.120143065990273,56.94319661944267],[24.121875773013894,56.94319661944267],[24.121875773013894,56.94414174756404],[24.120143065990273,56.94414174756404],[24.120143065990273,56.94319661944267]]]}"
7,Region_8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.119609693206254,56.94415879031489],[24.121251205123368,56.94415879031489],[24.121251205123368,56.94500148458476],[24.119609693206254,56.94500148458476],[24.119609693206254,56.94415879031489]]]}"
8,Region_9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.11625516794117,56.96135923022376],[24.11795032403858,56.96135923022376],[24.11795032403858,56.96225125455494],[24.11625516794117,56.96225125455494],[24.11625516794117,56.96135923022376]]]}"
9,Region_10,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[24.129710662024706,56.96281146988076],[24.131722318785876,56.96281146988076],[24.131722318785876,56.96372685560747],[24.129710662024706,56.96372685560747],[24.129710662024706,56.96281146988076]]]}"
