system:index,name,.geo
0,Region_1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.711700934760065,40.40415470277365],[-3.711126942030878,40.40415470277365],[-3.711126942030878,40.404554006204876],[-3.711700934760065,40.404554006204876],[-3.711700934760065,40.40415470277365]]]}"
1,Region_2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.7196809343449533,40.403127504997535],[-3.7187823943249643,40.403127504997535],[-3.7187823943249643,40.40370144786633],[-3.7196809343449533,40.40370144786633],[-3.7196809343449533,40.403127504997535]]]}"
2,Region_3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.780221718442469,40.374830609234124],[-3.779604810369044,40.374830609234124],[-3.779604810369044,40.375265845291906],[-3.780221718442469,40.375265845291906],[-3.780221718442469,40.374830609234124]]]}"
3,Region_4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.7694725759779812,40.372138843303986],[-3.769066221312225,40.372138843303986],[-3.769066221312225,40.37238814374284],[-3.7694725759779812,40.37238814374284],[-3.7694725759779812,40.372138843303986]]]}"
4,Region_5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.1903566696174157,40.63728668074486],[-3.189573464585067,40.63728668074486],[-3.189573464585067,40.637781278191284],[-3.1903566696174157,40.637781278191284],[-3.1903566696174157,40.63728668074486]]]}"
5,Region_6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.193661453477006,40.63690443507908],[-3.192583205453019,40.63690443507908],[-3.192583205453019,40.63747434454336],[-3.193661453477006,40.63747434454336],[-3.193661453477006,40.63690443507908]]]}"
6,Region_7,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-3.1834994147569384,40.665872375058235],[-3.1822226832658496,40.665872375058235],[-3.1822226832658496,40.66630979460719],[-3.1834994147569384,40.66630979460719],[-3.1834994147569384,40.665872375058235]]]}"
7,Region_8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-2.137788230707216,40.06091640592425],[-2.1368333642979143,40.06091640592425],[-2.1368333642979143,40.06146246372763],[-2.137788230707216,40.06146246372763],[-2.137788230707216,40.06091640592425]]]}"
8,Region_9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-2.1427436795660126,40.06123664560647],[-2.1418384340234864,40.06123664560647],[-2.1418384340234864,40.06175909328265],[-2.1427436795660126,40.06175909328265],[-2.1427436795660126,40.06123664560647]]]}"
9,Region_10,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-2.129657119312822,40.05596976103078],[-2.1288564799218768,40.05596976103078],[-2.1288564799218768,40.05677145521336],[-2.129657119312822,40.05677145521336],[-2.129657119312822,40.05596976103078]]]}"
10,Region_11,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-1.8497338983200384,38.97651535538549],[-1.8491022380970312,38.97651535538549],[-1.8491022380970312,38.976916747470995],[-1.8497338983200384,38.976916747470995],[-1.8497338983200384,38.97651535538549]]]}"
11,Region_12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-1.875987188026098,38.99097749121393],[-1.8750484148708857,38.99097749121393],[-1.8750484148708857,38.99152577404978],[-1.875987188026098,38.99152577404978],[-1.875987188026098,38.99097749121393]]]}"
12,Region_13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-1.893829616278646,38.99465944509437],[-1.8929391228857018,38.99465944509437],[-1.8929391228857018,38.99529108372039],[-1.893829616278646,38.99529108372039],[-1.893829616278646,38.99465944509437]]]}"
13,Region_14,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-1.8666249099759802,38.981853980806164],[-1.8662882927446112,38.981853980806164],[-1.8662882927446112,38.982119818112075],[-1.8666249099759802,38.982119818112075],[-1.8666249099759802,38.981853980806164]]]}"
