system:index,name,.geo
0,Region_1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.355701140647084,46.23384500242166],[7.356263063435704,46.23384500242166],[7.356263063435704,46.23420400736645],[7.355701140647084,46.23420400736645],[7.355701140647084,46.23384500242166]]]}"
1,Region_2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.346228779859381,46.23540695320586],[7.346961022920446,46.23540695320586],[7.346961022920446,46.23564906618647],[7.346228779859381,46.23564906618647],[7.346228779859381,46.23540695320586]]]}"
2,Region_3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.358393035696191,46.23327630075473],[7.359632216261072,46.23327630075473],[7.359632216261072,46.23386258759318],[7.358393035696191,46.23386258759318],[7.358393035696191,46.23327630075473]]]}"
3,Region_4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.358395537282609,46.23407443747249],[7.3591411913887494,46.23407443747249],[7.3591411913887494,46.23461989914267],[7.358395537282609,46.23461989914267],[7.358395537282609,46.23407443747249]]]}"
4,Region_5,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.360641499402334,46.2351446834304],[7.3612503608487145,46.2351446834304],[7.3612503608487145,46.235790318757246],[7.360641499402334,46.235790318757246],[7.360641499402334,46.2351446834304]]]}"
5,Region_6,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.3624719830079455,46.23106208222527],[7.363507315687694,46.23106208222527],[7.363507315687694,46.23152222516593],[7.3624719830079455,46.23152222516593],[7.3624719830079455,46.23106208222527]]]}"
6,Region_7,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.366366901617902,46.231403632855724],[7.367648997527021,46.231403632855724],[7.367648997527021,46.23188232688737],[7.366366901617902,46.23188232688737],[7.366366901617902,46.231403632855724]]]}"
7,Region_8,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.373255194120056,46.2304210542664],[7.3738265046402285,46.2304210542664],[7.3738265046402285,46.23086821457691],[7.373255194120056,46.23086821457691],[7.373255194120056,46.2304210542664]]]}"
8,Region_9,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.37234764217658,46.22742663880278],[7.374042798273992,46.22742663880278],[7.374042798273992,46.22800927707788],[7.37234764217658,46.22800927707788],[7.37234764217658,46.22742663880278]]]}"
9,Region_10,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.377268925848517,46.22606580183986],[7.378840700331244,46.22606580183986],[7.378840700331244,46.2270937900473],[7.377268925848517,46.2270937900473],[7.377268925848517,46.22606580183986]]]}"
10,Region_11,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.378971043259774,46.22648310990769],[7.380360427529489,46.22648310990769],[7.380360427529489,46.22748511269355],[7.378971043259774,46.22748511269355],[7.378971043259774,46.22648310990769]]]}"
11,Region_12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.384957772918308,46.2283484377229],[7.386054796405399,46.2283484377229],[7.386054796405399,46.22888467882181],[7.384957772918308,46.22888467882181],[7.384957772918308,46.2283484377229]]]}"
12,Region_13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.385115630384447,46.22764120110567],[7.386172420736314,46.22764120110567],[7.386172420736314,46.22801416307763],[7.385115630384447,46.22801416307763],[7.385115630384447,46.22764120110567]]]}"
13,Region_14,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.3513320674604055,46.227418843013034],[7.35247468850075,46.227418843013034],[7.35247468850075,46.22817961160896],[7.3513320674604055,46.22817961160896],[7.3513320674604055,46.227418843013034]]]}"
14,Region_15,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[7.356195098466252,46.22825629658306],[7.357402092522953,46.22825629658306],[7.357402092522953,46.2290244755397],[7.356195098466252,46.2290244755397],[7.356195098466252,46.22825629658306]]]}"
