Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,1.4989178280035655,tensor(0.3319),tensor(0.0575),0.001
2,1.1114405691623688,tensor(1.9595),tensor(0.3871),0.001
3,1.0325680871804555,tensor(1.0039),tensor(0.1974),0.001
4,1.0407977104187012,tensor(1.3412),tensor(0.2583),0.001
5,1.0146332184473674,tensor(1.0364),tensor(0.1629),0.001
6,1.0063507556915283,tensor(1.4193),tensor(0.2693),0.001
7,0.9883475452661514,tensor(1.0778),tensor(0.1838),0.001
8,0.9801184187332789,tensor(3.2508),tensor(0.7821),0.001
9,0.9659857650597891,tensor(2.8959),tensor(0.6311),0.001
10,0.9561166018247604,tensor(1.3410),tensor(0.2529),0.001
11,0.9484013517697653,tensor(3.4384),tensor(0.9134),0.001
12,0.9455381681521734,tensor(4.7788),tensor(1.1395),0.001
13,0.9416292806466421,tensor(4.1994),tensor(0.8539),0.001
14,0.9388561149438223,tensor(1.7835),tensor(0.4118),0.001
15,0.9440711438655853,tensor(1.3632),tensor(0.2957),0.001
16,0.9204581081867218,tensor(5.0029),tensor(1.1639),0.0001
17,0.902495801448822,tensor(4.7727),tensor(1.0803),0.0001
18,0.891300305724144,tensor(4.1589),tensor(1.0227),0.0001
19,0.8945598900318146,tensor(3.9286),tensor(0.9400),0.0001
20,0.8909691621859869,tensor(4.6764),tensor(1.1640),0.0001
21,0.8918741792440414,tensor(4.6295),tensor(1.0093),0.0001
22,0.8900052408377329,tensor(4.6468),tensor(1.0420),0.0001
23,0.8884550829728445,tensor(4.5687),tensor(0.8939),0.0001
24,0.8875584354003271,tensor(4.6764),tensor(0.9597),0.0001
25,0.8845735390981039,tensor(4.4443),tensor(1.0528),0.0001
26,0.8858600556850433,tensor(5.3831),tensor(1.1507),0.0001
27,0.88640063504378,tensor(4.7920),tensor(1.1625),0.0001
28,0.8842110832532247,tensor(5.7558),tensor(1.4526),0.0001
29,0.8838601460059484,tensor(6.6635),tensor(1.5589),0.0001
30,0.8849223653475443,tensor(5.8396),tensor(1.1880),0.0001
31,0.8776288678248724,tensor(4.4339),tensor(1.0848),1e-05
32,0.8778076122204462,tensor(6.8532),tensor(1.4616),1e-05
33,0.884606271982193,tensor(7.2175),tensor(1.7387),1e-05
34,0.8746084868907928,tensor(7.0513),tensor(1.5358),1e-05
35,0.8767268160978953,tensor(5.7654),tensor(1.3336),1e-05
36,0.8799790441989899,tensor(5.4506),tensor(1.2573),1e-05
37,0.8804993778467178,tensor(5.1817),tensor(1.2838),1e-05
38,0.8842793554067612,tensor(5.0710),tensor(1.3379),1e-05
39,0.8745678315560023,tensor(6.6647),tensor(1.7412),1e-05
40,0.8764772117137909,tensor(4.6412),tensor(1.0707),1e-05
41,0.8825285285711288,tensor(6.9476),tensor(1.4917),1e-05
42,0.878925825158755,tensor(4.1869),tensor(0.9988),1e-05
43,0.8710573812325796,tensor(5.9845),tensor(1.3209),1e-05
44,0.8822855055332184,tensor(6.0366),tensor(1.3375),1e-05
45,0.8694872905810674,tensor(5.1231),tensor(1.2164),1e-05
46,0.8836037119229635,tensor(5.3686),tensor(1.2802),1.0000000000000002e-06
47,0.8756208916505178,tensor(6.1850),tensor(1.4717),1.0000000000000002e-06
48,0.8813001066446304,tensor(6.9777),tensor(1.5935),1.0000000000000002e-06
49,0.8653548906246821,tensor(6.3072),tensor(1.4584),1.0000000000000002e-06
50,0.8792561093966166,tensor(4.6825),tensor(1.0941),1.0000000000000002e-06
51,0.8808273673057556,tensor(7.0876),tensor(1.4587),1.0000000000000002e-06
52,0.8786576886971792,tensor(6.3719),tensor(1.3808),1.0000000000000002e-06
53,0.8726768692334493,tensor(4.9473),tensor(1.1913),1.0000000000000002e-06
54,0.8783507545789083,tensor(4.9888),tensor(1.2507),1.0000000000000002e-06
55,0.8749600201845169,tensor(5.7724),tensor(1.2893),1.0000000000000002e-06
56,0.8735383798678716,tensor(4.6013),tensor(1.2439),1.0000000000000002e-06
57,0.8802013645569483,tensor(4.8329),tensor(1.1353),1.0000000000000002e-06
58,0.8743483225504557,tensor(5.7098),tensor(1.2094),1.0000000000000002e-06
59,0.8787071704864502,tensor(4.1640),tensor(1.1484),1.0000000000000002e-06
60,0.8795513659715652,tensor(5.7834),tensor(1.3219),1.0000000000000002e-06
61,0.8789798219998678,tensor(4.9201),tensor(1.1915),1.0000000000000002e-07
62,0.8726320465405782,tensor(6.9706),tensor(1.7096),1.0000000000000002e-07
63,0.8826562861601511,tensor(4.8054),tensor(1.1504),1.0000000000000002e-07
64,0.8723521381616592,tensor(5.9667),tensor(1.3609),1.0000000000000002e-07
65,0.8872055361668268,tensor(7.6061),tensor(2.0032),1.0000000000000002e-07
66,0.8676905333995819,tensor(4.7920),tensor(1.2474),1.0000000000000002e-07
67,0.8721839835246404,tensor(6.0509),tensor(1.1682),1.0000000000000002e-07
68,0.879743273059527,tensor(5.9201),tensor(1.5028),1.0000000000000002e-07
69,0.8746037582556406,tensor(7.3622),tensor(1.5598),1.0000000000000002e-07
70,0.8784136275450388,tensor(7.5052),tensor(1.5565),1.0000000000000002e-07
71,0.8852721105019251,tensor(5.8307),tensor(1.6466),1.0000000000000002e-07
72,0.8706967929999033,tensor(6.6595),tensor(1.5698),1.0000000000000002e-07
73,0.8729372670253118,tensor(5.7293),tensor(1.2412),1.0000000000000002e-07
74,0.874949594338735,tensor(5.1510),tensor(1.1335),1.0000000000000002e-07
75,0.8798798869053522,tensor(4.8044),tensor(1.1738),1.0000000000000002e-07
76,0.8743058542410532,tensor(6.4026),tensor(1.4194),1.0000000000000004e-08
77,0.8786837855974833,tensor(5.5854),tensor(1.2232),1.0000000000000004e-08
78,0.8695411731799444,tensor(7.0811),tensor(1.5390),1.0000000000000004e-08
79,0.8754684627056122,tensor(4.7154),tensor(1.2654),1.0000000000000004e-08
80,0.8720006992419561,tensor(5.0108),tensor(1.0358),1.0000000000000004e-08
81,0.8683695644140244,tensor(6.7100),tensor(1.4298),1.0000000000000004e-08
82,0.8754617124795914,tensor(3.8330),tensor(0.8860),1.0000000000000004e-08
83,0.880209838350614,tensor(5.0828),tensor(1.1980),1.0000000000000004e-08
84,0.8760856042305628,tensor(5.0985),tensor(1.2813),1.0000000000000004e-08
85,0.8815284917751948,tensor(5.5473),tensor(1.4075),1.0000000000000004e-08
86,0.8746061871449152,tensor(6.5056),tensor(1.2865),1.0000000000000004e-08
87,0.8754441688458124,tensor(5.3690),tensor(1.2342),1.0000000000000004e-08
88,0.873597577214241,tensor(5.2203),tensor(1.0625),1.0000000000000004e-08
89,0.8711504985888799,tensor(5.7388),tensor(1.2486),1.0000000000000004e-08
90,0.8761011809110641,tensor(7.1053),tensor(1.4185),1.0000000000000004e-08
91,0.8731525192658106,tensor(6.4778),tensor(1.4456),1.0000000000000005e-09
92,0.8762674629688263,tensor(6.9557),tensor(1.4174),1.0000000000000005e-09
