Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,1.0861309121052425,tensor(53.9330),tensor(21.4562),0.001
2,0.6141766260067621,tensor(65.3128),tensor(27.1268),0.001
3,0.5444591045379639,tensor(70.7318),tensor(30.0745),0.001
4,0.5091283371051153,tensor(75.5049),tensor(32.9315),0.001
5,0.4634842003385226,tensor(74.8595),tensor(33.8956),0.001
6,0.44608820229768753,tensor(77.0029),tensor(36.0372),0.001
7,0.424290952583154,tensor(78.3046),tensor(35.9041),0.001
8,0.40793566902478534,tensor(82.5222),tensor(38.8937),0.001
9,0.39953994005918503,tensor(81.0973),tensor(38.9031),0.001
10,0.379458154241244,tensor(81.7226),tensor(38.7994),0.001
11,0.36574122309684753,tensor(82.7109),tensor(40.5178),0.001
12,0.35784804821014404,tensor(81.9262),tensor(40.4286),0.001
13,0.35010048498709995,tensor(83.7404),tensor(41.4002),0.001
14,0.3307776240011056,tensor(83.4450),tensor(40.7295),0.001
15,0.32463383426268894,tensor(85.2445),tensor(42.6936),0.001
16,0.31538450717926025,tensor(84.2091),tensor(41.7111),0.0001
17,0.31327370057503384,tensor(83.9009),tensor(41.8909),0.0001
18,0.3058207879463832,tensor(84.3590),tensor(42.7758),0.0001
19,0.30600075672070187,tensor(84.6476),tensor(42.6674),0.0001
20,0.3090382168690364,tensor(84.8854),tensor(42.1408),0.0001
21,0.30103936046361923,tensor(84.5319),tensor(42.1405),0.0001
22,0.29679254939158756,tensor(84.2908),tensor(42.0407),0.0001
23,0.30145372947057086,tensor(84.4284),tensor(42.2113),0.0001
24,0.30314159641663235,tensor(85.1334),tensor(42.8235),0.0001
25,0.30426810930172604,tensor(84.5366),tensor(42.4972),0.0001
26,0.30666106566786766,tensor(84.4819),tensor(42.4469),0.0001
27,0.30475552131732303,tensor(84.4747),tensor(42.5423),0.0001
28,0.3034062633911769,tensor(84.8668),tensor(41.9877),0.0001
29,0.30017629141608876,tensor(85.6163),tensor(42.0229),0.0001
30,0.29864364738265675,tensor(85.2154),tensor(42.5787),0.0001
31,0.301506436119477,tensor(84.8506),tensor(42.3111),1e-05
32,0.2893589710195859,tensor(84.7336),tensor(42.2121),1e-05
33,0.2917039692401886,tensor(84.5237),tensor(42.0026),1e-05
34,0.29925961544116336,tensor(84.4867),tensor(42.1958),1e-05
35,0.30399013807376224,tensor(85.3080),tensor(42.3311),1e-05
36,0.29913107057412464,tensor(84.7248),tensor(42.1829),1e-05
37,0.3004346949358781,tensor(84.3104),tensor(42.0656),1e-05
38,0.3012041797240575,tensor(85.1697),tensor(42.4882),1e-05
39,0.2951672226190567,tensor(84.0420),tensor(42.2610),1e-05
40,0.3015025357405345,tensor(84.3187),tensor(41.8781),1e-05
41,0.2939416989684105,tensor(85.1715),tensor(42.8121),1e-05
42,0.29456335430343944,tensor(84.6118),tensor(42.2514),1e-05
43,0.299883209168911,tensor(85.1481),tensor(42.6724),1e-05
44,0.29592518508434296,tensor(85.0333),tensor(42.3862),1e-05
45,0.29427380859851837,tensor(84.6215),tensor(42.3266),1e-05
46,0.2919033666451772,tensor(84.9002),tensor(42.3881),1.0000000000000002e-06
47,0.2930586561560631,tensor(85.2125),tensor(42.5683),1.0000000000000002e-06
48,0.29702215641736984,tensor(84.6607),tensor(42.1674),1.0000000000000002e-06
49,0.29569414754708606,tensor(84.8967),tensor(42.6277),1.0000000000000002e-06
50,0.2940815935532252,tensor(84.9201),tensor(42.4481),1.0000000000000002e-06
51,0.2929968386888504,tensor(84.7212),tensor(42.1169),1.0000000000000002e-06
52,0.2942337666948636,tensor(84.2639),tensor(42.1052),1.0000000000000002e-06
53,0.2938879306117694,tensor(84.7943),tensor(42.6293),1.0000000000000002e-06
54,0.29467982550462085,tensor(84.5582),tensor(42.2709),1.0000000000000002e-06
55,0.2930440778533618,tensor(84.7025),tensor(42.7942),1.0000000000000002e-06
56,0.29901783913373947,tensor(84.3613),tensor(42.5020),1.0000000000000002e-06
57,0.3012153183420499,tensor(84.8579),tensor(42.7708),1.0000000000000002e-06
