Epoch,Train Loss,mAP
1,0.825,0.159150630235672
2,0.632,0.19441556930541992
3,0.571,0.20953184366226196
4,0.536,0.23155546188354492
5,0.516,0.25026053190231323
6,0.502,0.25621283054351807
7,0.495,0.25974056124687195
8,0.478,0.27020034193992615
9,0.463,0.2772907614707947
10,0.459,0.2819681763648987
11,0.453,0.28066161274909973
12,0.444,0.29267561435699463
13,0.436,0.29493385553359985
14,0.43,0.30012306571006775
15,0.423,0.3025371730327606
16,0.421,0.30607548356056213
17,0.411,0.3142782151699066
18,0.405,0.3133946657180786
19,0.401,0.3192271888256073
20,0.394,0.31511786580085754
21,0.389,0.3249291479587555
22,0.386,0.3250245451927185
23,0.38,0.330704927444458
24,0.379,0.33357420563697815
25,0.374,0.3399178683757782
26,0.367,0.33981382846832275
27,0.365,0.3443548381328583
28,0.361,0.34236305952072144
29,0.356,0.34360846877098083
30,0.354,0.3480018079280853
31,0.345,0.35283640027046204
32,0.345,0.359177827835083
33,0.34,0.3540934920310974
34,0.34,0.3607361316680908
35,0.332,0.35899218916893005
36,0.331,0.36640679836273193
37,0.329,0.36866775155067444
38,0.322,0.37056928873062134
39,0.324,0.3730846643447876
40,0.317,0.3737569749355316
41,0.317,0.3734973669052124
42,0.311,0.38019341230392456
43,0.308,0.3788996636867523
44,0.306,0.3788047432899475
45,0.302,0.3596877157688141
46,0.303,0.3850320875644684
47,0.295,0.3868831396102905
48,0.301,0.3872345983982086
49,0.29,0.3897291421890259
50,0.291,0.3861932158470154
51,0.286,0.390381783246994
52,0.283,0.3944726288318634
53,0.283,0.393571674823761
54,0.279,0.39740392565727234
55,0.278,0.39872556924819946
56,0.273,0.3969113826751709
57,0.272,0.39859527349472046
58,0.271,0.4047811031341553
59,0.271,0.4031486213207245
60,0.268,0.40364763140678406
61,0.268,0.40437737107276917
62,0.263,0.4044989049434662
63,0.264,0.4108946621417999
64,0.261,0.41195055842399597
65,0.257,0.40969571471214294
66,0.274,0.41239795088768005
67,0.254,0.4103245735168457
68,0.251,0.414377361536026
69,0.252,0.41200414299964905
70,0.248,0.4162628650665283
71,0.247,0.41961583495140076
72,0.244,0.41323167085647583
73,0.242,0.4231206476688385
74,0.241,0.4165840148925781
75,0.238,0.4200153946876526
76,0.237,0.4210965931415558
77,0.234,0.42268458008766174
78,0.233,0.42675089836120605
79,0.232,0.42671480774879456
80,0.23,0.4201221168041229
81,0.232,0.4304725229740143
82,0.233,0.4253016710281372
83,0.224,0.4318027198314667
84,0.221,0.4333183169364929
85,0.219,0.4364963471889496
86,0.219,0.43507876992225647
87,0.218,0.4393254220485687
88,0.215,0.4372628629207611
89,0.215,0.43502452969551086
90,0.213,0.4426161050796509
91,0.212,0.44581338763237
92,0.21,0.44384223222732544
93,0.207,0.4436076283454895
94,0.207,0.44498416781425476
95,0.206,0.44308629631996155
96,0.204,0.44530388712882996
97,0.203,0.4462239146232605
98,0.202,0.4482531249523163
99,0.201,0.44994160532951355
100,0.227,0.44994160532951355
