Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,0.8388552355005386,tensor(47.4458),tensor(15.3919),0.001
2,0.6372841457103161,tensor(53.1612),tensor(18.6684),0.001
3,0.57665535141813,tensor(61.1828),tensor(21.9781),0.001
4,0.5468890169199477,tensor(62.5209),tensor(23.5952),0.001
5,0.5185360451962086,tensor(64.7565),tensor(24.6023),0.001
6,0.5040440717910198,tensor(67.7212),tensor(25.5030),0.001
7,0.4861160231397507,tensor(68.6815),tensor(26.3113),0.001
8,0.47590958786771653,tensor(69.8130),tensor(27.0404),0.001
9,0.4656266192806528,tensor(70.7373),tensor(27.1817),0.001
10,0.46454210389167705,tensor(72.1548),tensor(28.0299),0.001
11,0.4547062272087057,tensor(72.6524),tensor(28.5759),0.001
12,0.4454159676394564,tensor(73.2079),tensor(28.9714),0.001
13,0.43996657114079657,tensor(72.9910),tensor(29.4210),0.001
14,0.43166117687174616,tensor(74.0506),tensor(29.6782),0.001
15,0.4257745302103935,tensor(74.3556),tensor(30.3104),0.001
16,0.41719400851016347,tensor(74.9322),tensor(30.1350),0.0001
17,0.4159595376633583,tensor(75.5394),tensor(30.6851),0.0001
18,0.4175153653672401,tensor(75.5509),tensor(30.6232),0.0001
19,0.41518131342340026,tensor(75.5543),tensor(30.3361),0.0001
20,0.4160927156818674,tensor(75.7730),tensor(30.6348),0.0001
21,0.4138877623258753,tensor(75.5466),tensor(30.7212),0.0001
22,0.41345084379328056,tensor(75.5017),tensor(30.7198),0.0001
23,0.41296516390556987,tensor(74.8982),tensor(30.6558),0.0001
24,0.41493634308906313,tensor(75.6068),tensor(30.6559),0.0001
25,0.41110792058579465,tensor(75.6249),tensor(30.9816),0.0001
26,0.410567951646257,tensor(75.8785),tensor(30.7174),0.0001
27,0.4101906380754836,tensor(75.9082),tensor(30.8860),0.0001
28,0.4108873333068604,tensor(75.7802),tensor(30.7836),0.0001
29,0.410506287153731,tensor(75.8505),tensor(31.0807),0.0001
30,0.41075712347284277,tensor(75.8800),tensor(30.8994),0.0001
31,0.4084045465322251,tensor(75.9116),tensor(31.1856),1e-05
32,0.40794370275862674,tensor(75.9132),tensor(31.0272),1e-05
33,0.40667415616360114,tensor(76.0182),tensor(30.8360),1e-05
34,0.40842321356560324,tensor(75.9222),tensor(31.0910),1e-05
35,0.4082383729041891,tensor(75.8613),tensor(30.7934),1e-05
36,0.40967924258810406,tensor(76.0614),tensor(31.1407),1e-05
37,0.409836028484588,tensor(75.7710),tensor(31.0568),1e-05
38,0.4069998758904477,tensor(76.5828),tensor(31.0663),1e-05
39,0.4078226926478934,tensor(75.9854),tensor(30.8703),1e-05
40,0.40510759708729194,tensor(76.0070),tensor(31.0741),1e-05
41,0.40935910826033733,tensor(76.1837),tensor(31.0726),1e-05
42,0.40655109222899094,tensor(75.8346),tensor(31.0826),1e-05
43,0.4063594547357965,tensor(76.4727),tensor(31.0352),1e-05
44,0.40689519142850916,tensor(75.9104),tensor(31.1284),1e-05
45,0.40571952753878654,tensor(76.0667),tensor(31.0538),1e-05
46,0.40498649154571775,tensor(76.0343),tensor(30.9824),1.0000000000000002e-06
47,0.40802781632606017,tensor(76.0704),tensor(31.0550),1.0000000000000002e-06
48,0.40853290069610515,tensor(76.0451),tensor(31.1548),1.0000000000000002e-06
49,0.4083942561707598,tensor(75.7301),tensor(31.0521),1.0000000000000002e-06
50,0.4058744228900747,tensor(75.8666),tensor(31.0514),1.0000000000000002e-06
51,0.4082719972159,tensor(76.0149),tensor(30.9830),1.0000000000000002e-06
52,0.40925605278065863,tensor(76.0728),tensor(31.1262),1.0000000000000002e-06
53,0.40618292289845487,tensor(75.7582),tensor(30.9095),1.0000000000000002e-06
54,0.40554627617622946,tensor(75.9855),tensor(30.9997),1.0000000000000002e-06
55,0.4072795605405848,tensor(75.9568),tensor(31.0537),1.0000000000000002e-06
56,0.40838920372597715,tensor(75.8410),tensor(31.0782),1.0000000000000002e-06
57,0.4078574922490627,tensor(75.9995),tensor(31.1304),1.0000000000000002e-06
58,0.4063958376646042,tensor(76.6592),tensor(31.1288),1.0000000000000002e-06
59,0.40582836276673256,tensor(75.9318),tensor(30.6314),1.0000000000000002e-06
60,0.40770151925847886,tensor(75.9963),tensor(31.0437),1.0000000000000002e-06
61,0.4054719802547008,tensor(76.0512),tensor(31.1747),1.0000000000000002e-07
62,0.40749417150274236,tensor(76.2729),tensor(31.2092),1.0000000000000002e-07
63,0.4066512235935698,tensor(75.8479),tensor(30.8723),1.0000000000000002e-07
64,0.40667911571391085,tensor(75.9869),tensor(31.0456),1.0000000000000002e-07
65,0.40481958585850736,tensor(75.7393),tensor(30.9444),1.0000000000000002e-07
66,0.40648283666752755,tensor(75.9250),tensor(31.1796),1.0000000000000002e-07
67,0.4068093946639528,tensor(76.0467),tensor(31.1029),1.0000000000000002e-07
68,0.4059957931650446,tensor(76.1811),tensor(31.1257),1.0000000000000002e-07
69,0.4063531150843235,tensor(75.9055),tensor(31.1573),1.0000000000000002e-07
70,0.4061114895851054,tensor(75.8958),tensor(31.0153),1.0000000000000002e-07
