Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,3.7710991501808167,tensor(28.6455),tensor(10.9983),0.0001
2,3.6664185523986816,tensor(33.5581),tensor(12.6760),0.0001
3,3.580377519130707,tensor(38.1868),tensor(14.2940),0.0001
4,3.494141936302185,tensor(44.1586),tensor(16.9146),0.0001
5,3.428215265274048,tensor(46.6012),tensor(18.4787),0.0001
6,3.371374487876892,tensor(48.2116),tensor(20.1758),0.0001
7,3.327448010444641,tensor(50.1922),tensor(20.6523),0.0001
8,3.2725324034690857,tensor(52.1651),tensor(22.0109),0.0001
9,3.2376338243484497,tensor(53.8999),tensor(23.3723),0.0001
10,3.2049190402030945,tensor(54.6139),tensor(23.9087),0.0001
11,3.16908997297287,tensor(56.1724),tensor(24.3758),0.0001
12,3.1596339344978333,tensor(57.1234),tensor(24.6538),0.0001
13,3.124966084957123,tensor(58.5817),tensor(25.4191),0.0001
14,3.097099184989929,tensor(59.4446),tensor(25.8738),0.0001
15,3.0715830326080322,tensor(61.1624),tensor(26.4872),0.0001
16,3.073991119861603,tensor(61.1320),tensor(26.5076),1e-05
17,3.0443220138549805,tensor(61.1513),tensor(26.5108),1e-05
18,3.0501994490623474,tensor(61.1949),tensor(26.5289),1e-05
19,3.052795886993408,tensor(61.2148),tensor(26.6463),1e-05
20,3.060669422149658,tensor(61.2334),tensor(26.6056),1e-05
21,3.0448206663131714,tensor(61.2663),tensor(26.6142),1e-05
22,3.05095112323761,tensor(61.3445),tensor(26.6466),1e-05
23,3.0290276408195496,tensor(61.5107),tensor(26.7008),1e-05
24,3.027373969554901,tensor(61.5065),tensor(26.7098),1e-05
25,3.048795759677887,tensor(61.6522),tensor(26.8094),1e-05
26,3.057480216026306,tensor(61.7150),tensor(26.8396),1e-05
27,3.0453293323516846,tensor(61.6999),tensor(26.8410),1e-05
28,3.027237832546234,tensor(61.7550),tensor(26.8653),1e-05
29,3.051181435585022,tensor(61.8113),tensor(26.8886),1e-05
30,3.0330461859703064,tensor(61.8792),tensor(26.9312),1e-05
31,3.0300772190093994,tensor(61.8861),tensor(26.9331),1.0000000000000002e-06
32,3.0257891416549683,tensor(61.8859),tensor(26.9354),1.0000000000000002e-06
33,3.0452195405960083,tensor(61.8917),tensor(26.9372),1.0000000000000002e-06
34,3.0406699180603027,tensor(61.8922),tensor(26.9382),1.0000000000000002e-06
35,3.0215691328048706,tensor(61.8923),tensor(26.9384),1.0000000000000002e-06
36,3.0305837988853455,tensor(61.9203),tensor(26.9554),1.0000000000000002e-06
37,3.027328848838806,tensor(61.9203),tensor(26.9553),1.0000000000000002e-06
38,3.039364516735077,tensor(61.9315),tensor(26.9636),1.0000000000000002e-06
39,3.0569708347320557,tensor(61.9425),tensor(26.9711),1.0000000000000002e-06
40,3.0348867774009705,tensor(62.0232),tensor(26.9918),1.0000000000000002e-06
41,3.0316913723945618,tensor(62.0255),tensor(26.9924),1.0000000000000002e-06
42,3.0220948457717896,tensor(62.0279),tensor(26.9931),1.0000000000000002e-06
43,3.048421561717987,tensor(62.0294),tensor(26.9942),1.0000000000000002e-06
44,3.0342183709144592,tensor(62.0298),tensor(26.9945),1.0000000000000002e-06
45,3.031594693660736,tensor(62.0382),tensor(27.0040),1.0000000000000002e-06
46,3.0139517784118652,tensor(62.0403),tensor(27.0047),1.0000000000000002e-07
47,3.0354925394058228,tensor(62.0420),tensor(27.0049),1.0000000000000002e-07
48,3.029001474380493,tensor(62.0420),tensor(27.0049),1.0000000000000002e-07
49,3.0227271914482117,tensor(62.0421),tensor(27.0050),1.0000000000000002e-07
50,3.0406680703163147,tensor(62.0421),tensor(27.0050),1.0000000000000002e-07
51,3.0305705666542053,tensor(62.0421),tensor(27.0051),1.0000000000000002e-07
52,3.008398950099945,tensor(62.0430),tensor(27.0052),1.0000000000000002e-07
53,3.0337509512901306,tensor(62.0430),tensor(27.0052),1.0000000000000002e-07
54,3.0088067054748535,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
55,3.0315134525299072,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
56,3.0279720425605774,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
57,3.023594856262207,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
58,3.0063475966453552,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
59,3.0309868454933167,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
60,3.028381645679474,tensor(62.0443),tensor(27.0055),1.0000000000000002e-07
61,3.029526650905609,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
62,3.0238322615623474,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
63,3.028913974761963,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
64,3.0401375889778137,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
65,3.037750005722046,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
66,3.0180832743644714,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
67,3.0159746408462524,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
68,3.02902352809906,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
69,3.0303186178207397,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
70,3.031286656856537,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
71,3.0467090010643005,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
72,3.032732844352722,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
73,3.034554183483124,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
74,3.0261294841766357,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
75,3.022895634174347,tensor(62.0443),tensor(27.0055),1.0000000000000004e-08
76,3.023640215396881,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
77,3.0187461972236633,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
78,3.0391334295272827,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
79,3.023264706134796,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
80,3.034040153026581,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
81,3.0207144021987915,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
82,3.0310633182525635,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
83,3.0254435539245605,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
84,3.0289433002471924,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
85,3.0317144989967346,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
86,3.035959243774414,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
87,3.031944155693054,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
88,3.031176447868347,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
89,3.013700485229492,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
90,3.0151363611221313,tensor(62.0443),tensor(27.0055),1.0000000000000005e-09
91,3.0253517031669617,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
92,3.0118534564971924,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
93,3.0185717344284058,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
94,3.0433983206748962,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
95,3.047945976257324,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
96,3.0275001525878906,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
97,3.0118407011032104,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
98,3.0327322483062744,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
99,3.0207733511924744,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
100,3.018528938293457,tensor(62.0443),tensor(27.0055),1.0000000000000006e-10
