Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,3.7016869386037192,tensor(37.6886),tensor(14.4869),0.0001
2,3.4578217267990112,tensor(48.2074),tensor(19.8200),0.0001
3,3.3120921850204468,tensor(54.2122),tensor(23.1956),0.0001
4,3.1931119362513223,tensor(57.9021),tensor(24.8736),0.0001
5,3.1091289122899375,tensor(59.3812),tensor(25.8000),0.0001
6,3.033336361249288,tensor(62.8506),tensor(27.2943),0.0001
7,3.0010538895924888,tensor(65.3787),tensor(29.0302),0.0001
8,2.9177154699961343,tensor(67.0435),tensor(30.4165),0.0001
9,2.9016286532084146,tensor(68.2171),tensor(31.5593),0.0001
10,2.8626011411348977,tensor(69.0032),tensor(32.0758),0.0001
11,2.812611003716787,tensor(69.7924),tensor(32.5469),0.0001
12,2.79715226093928,tensor(70.5263),tensor(32.2616),0.0001
13,2.751259466012319,tensor(71.7866),tensor(33.8358),0.0001
14,2.7240846355756125,tensor(72.5670),tensor(34.1725),0.0001
15,2.6720475355784097,tensor(73.0880),tensor(33.9226),0.0001
16,2.671636422475179,tensor(73.1547),tensor(33.9069),1e-05
17,2.6666509906450906,tensor(73.2607),tensor(34.3103),1e-05
18,2.6615689595540366,tensor(73.2722),tensor(34.1230),1e-05
19,2.637543817361196,tensor(73.2363),tensor(34.1154),1e-05
20,2.651962399482727,tensor(73.3375),tensor(34.2024),1e-05
21,2.636423091093699,tensor(73.4087),tensor(34.2473),1e-05
22,2.6373753746350608,tensor(73.6025),tensor(34.3064),1e-05
23,2.6269800066947937,tensor(73.7173),tensor(34.4244),1e-05
24,2.6182703375816345,tensor(73.7201),tensor(34.4709),1e-05
25,2.6322704752286277,tensor(73.7455),tensor(34.5517),1e-05
26,2.6362289786338806,tensor(73.8419),tensor(34.6326),1e-05
27,2.6311582128206887,tensor(73.8228),tensor(34.6031),1e-05
28,2.6205981175104776,tensor(73.8825),tensor(34.7486),1e-05
29,2.649541219075521,tensor(73.9277),tensor(34.6657),1e-05
30,2.6212137937545776,tensor(74.1346),tensor(34.3465),1e-05
31,2.624865790208181,tensor(73.9885),tensor(34.3372),1.0000000000000002e-06
32,2.612137953440348,tensor(74.1413),tensor(34.3589),1.0000000000000002e-06
33,2.6293015678723655,tensor(74.1430),tensor(34.3577),1.0000000000000002e-06
34,2.6291619737943015,tensor(74.1357),tensor(34.3551),1.0000000000000002e-06
35,2.606349309285482,tensor(73.9863),tensor(34.3400),1.0000000000000002e-06
36,2.61900661389033,tensor(73.9857),tensor(34.3404),1.0000000000000002e-06
37,2.6219940781593323,tensor(73.9870),tensor(34.4509),1.0000000000000002e-06
38,2.622223714987437,tensor(73.9906),tensor(34.4644),1.0000000000000002e-06
39,2.634006142616272,tensor(73.9966),tensor(34.4552),1.0000000000000002e-06
40,2.6161531607309976,tensor(73.9918),tensor(34.4596),1.0000000000000002e-06
41,2.6104636192321777,tensor(74.0010),tensor(34.4651),1.0000000000000002e-06
42,2.6149474581082663,tensor(73.9984),tensor(34.4555),1.0000000000000002e-06
43,2.6244513392448425,tensor(74.0097),tensor(34.4707),1.0000000000000002e-06
44,2.6076269348462424,tensor(74.0113),tensor(34.4661),1.0000000000000002e-06
45,2.627702534198761,tensor(74.0136),tensor(34.4658),1.0000000000000002e-06
46,2.605428695678711,tensor(74.0134),tensor(34.4657),1.0000000000000002e-07
47,2.6367467244466147,tensor(74.0136),tensor(34.4657),1.0000000000000002e-07
48,2.611399233341217,tensor(74.0136),tensor(34.4657),1.0000000000000002e-07
49,2.6189916133880615,tensor(74.0249),tensor(34.4723),1.0000000000000002e-07
50,2.6183457175890603,tensor(74.0249),tensor(34.4723),1.0000000000000002e-07
51,2.6060530742009482,tensor(74.0249),tensor(34.4723),1.0000000000000002e-07
52,2.613940159479777,tensor(74.0322),tensor(34.4750),1.0000000000000002e-07
53,2.61759752035141,tensor(74.0262),tensor(34.4729),1.0000000000000002e-07
54,2.6076035102208457,tensor(74.0335),tensor(34.4756),1.0000000000000002e-07
55,2.6060468355814614,tensor(74.0262),tensor(34.4729),1.0000000000000002e-07
56,2.611627519130707,tensor(74.0335),tensor(34.4773),1.0000000000000002e-07
57,2.60109814008077,tensor(74.0264),tensor(34.4746),1.0000000000000002e-07
58,2.604130287965139,tensor(74.0264),tensor(34.4745),1.0000000000000002e-07
59,2.6204374631245932,tensor(74.0264),tensor(34.4745),1.0000000000000002e-07
60,2.606341520945231,tensor(74.0264),tensor(34.4745),1.0000000000000002e-07
61,2.597124715646108,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
62,2.6246575911839805,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
63,2.6157635847727456,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
64,2.6115000247955322,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
65,2.6333635648091636,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
66,2.61043111483256,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
67,2.601061522960663,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
68,2.6156399846076965,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
69,2.611344556013743,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
70,2.6122644941012063,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
71,2.6214567025502524,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
72,2.61117031176885,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
73,2.6218236684799194,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
74,2.620930830637614,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
75,2.613356331984202,tensor(74.0264),tensor(34.4745),1.0000000000000004e-08
76,2.6087538798650107,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
77,2.6034374833106995,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
78,2.630969226360321,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
79,2.6151415506998696,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
80,2.6031172275543213,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
81,2.6174623171488443,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
82,2.606808145840963,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
83,2.608086943626404,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
84,2.6089009841283164,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
85,2.6076257030169168,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
86,2.6163012981414795,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
87,2.6161855260531106,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
88,2.6211695273717246,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
89,2.6040289203325906,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
90,2.6009212334950766,tensor(74.0264),tensor(34.4745),1.0000000000000005e-09
91,2.60990047454834,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
92,2.5781508088111877,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
93,2.6048139929771423,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
94,2.608693619569143,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
95,2.6229847073554993,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
96,2.597785234451294,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
97,2.603467841943105,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
98,2.60488361120224,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
99,2.5949097871780396,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
100,2.6108784675598145,tensor(74.0264),tensor(34.4745),1.0000000000000006e-10
