Epoch,Train Loss,Validation mAP50,Validation mAP50-95,Learning Rate
1,4.923661237067365,tensor(0.8525),tensor(0.1997),0.0001
2,4.051394789776904,tensor(8.1901),tensor(2.3651),0.0001
3,3.824149025247452,tensor(24.8766),tensor(7.8119),0.0001
4,3.69888906783246,tensor(44.7994),tensor(15.1207),0.0001
5,3.605173012043567,tensor(53.4708),tensor(18.7740),0.0001
6,3.524947331306782,tensor(58.8633),tensor(20.5130),0.0001
7,3.46890101534255,tensor(61.3346),tensor(22.1800),0.0001
8,3.41024504316614,tensor(63.6184),tensor(22.6369),0.0001
9,3.3603178617802074,tensor(62.9884),tensor(23.4165),0.0001
10,3.2955177641929465,tensor(65.2912),tensor(24.2295),0.0001
11,3.265948480748116,tensor(66.4031),tensor(24.6864),0.0001
12,3.2154225567553905,tensor(65.4315),tensor(24.9245),0.0001
13,3.18957549206754,tensor(67.9737),tensor(25.4730),0.0001
14,3.143784632074072,tensor(67.8456),tensor(25.7557),0.0001
15,3.098823866945632,tensor(67.9577),tensor(26.1521),0.0001
16,3.0721712771882403,tensor(68.4670),tensor(26.2427),1e-05
17,3.0614585064827127,tensor(69.2689),tensor(26.3561),1e-05
18,3.065169517030107,tensor(69.4546),tensor(26.2663),1e-05
19,3.053947167193636,tensor(68.5126),tensor(26.4914),1e-05
20,3.0604365683616477,tensor(68.6850),tensor(26.4589),1e-05
21,3.0514011180147214,tensor(69.3804),tensor(26.5568),1e-05
22,3.0405768409688423,tensor(69.5594),tensor(26.3911),1e-05
23,3.0518092221402107,tensor(69.4742),tensor(26.5008),1e-05
24,3.0398293835051517,tensor(69.2904),tensor(26.6484),1e-05
25,3.032027954750873,tensor(69.4485),tensor(26.6827),1e-05
26,3.0295627573703197,tensor(69.5539),tensor(26.4867),1e-05
27,3.0370249545320553,tensor(69.6924),tensor(26.4897),1e-05
28,3.0239749994683773,tensor(69.5171),tensor(26.7454),1e-05
29,3.0173374617353397,tensor(69.6189),tensor(26.8142),1e-05
30,3.0216961946893246,tensor(69.5861),tensor(26.7769),1e-05
31,3.015475965560751,tensor(69.5917),tensor(26.8169),1.0000000000000002e-06
32,3.0209705170164716,tensor(69.6120),tensor(26.7737),1.0000000000000002e-06
33,3.0097875569729093,tensor(69.6743),tensor(26.7770),1.0000000000000002e-06
34,3.0159654870946357,tensor(69.6518),tensor(26.8523),1.0000000000000002e-06
35,3.0210603171206536,tensor(69.6895),tensor(26.8351),1.0000000000000002e-06
36,3.0167209949899227,tensor(69.6539),tensor(26.8661),1.0000000000000002e-06
37,3.0059878065231,tensor(69.7455),tensor(26.8611),1.0000000000000002e-06
38,3.0201427099552562,tensor(69.7166),tensor(26.8714),1.0000000000000002e-06
39,3.008337269438074,tensor(69.7495),tensor(26.8801),1.0000000000000002e-06
40,3.015611689141456,tensor(69.7251),tensor(26.8380),1.0000000000000002e-06
41,3.0079192151414587,tensor(69.7199),tensor(26.7385),1.0000000000000002e-06
42,2.9999578506388564,tensor(69.6967),tensor(26.8478),1.0000000000000002e-06
43,3.00983106329086,tensor(69.7522),tensor(26.8641),1.0000000000000002e-06
44,3.013632322879548,tensor(69.7824),tensor(26.8871),1.0000000000000002e-06
45,3.0031223601483283,tensor(69.7239),tensor(26.8542),1.0000000000000002e-06
46,3.0068135794172894,tensor(69.7245),tensor(26.8567),1.0000000000000002e-07
47,3.0130212788886213,tensor(69.6986),tensor(26.8578),1.0000000000000002e-07
48,3.007012514357871,tensor(69.6985),tensor(26.8582),1.0000000000000002e-07
49,3.014868350739175,tensor(69.7467),tensor(26.8560),1.0000000000000002e-07
50,3.0118175947919803,tensor(69.7564),tensor(26.8678),1.0000000000000002e-07
51,3.007934588067075,tensor(69.7563),tensor(26.8675),1.0000000000000002e-07
52,3.0018145556145526,tensor(69.7573),tensor(26.8707),1.0000000000000002e-07
53,3.0094206028796258,tensor(69.7559),tensor(26.8720),1.0000000000000002e-07
54,2.9969038456044297,tensor(69.7562),tensor(26.8704),1.0000000000000002e-07
55,3.0087968745130174,tensor(69.7552),tensor(26.8723),1.0000000000000002e-07
56,3.013343542180163,tensor(69.7569),tensor(26.8683),1.0000000000000002e-07
57,3.0053018432982426,tensor(69.7562),tensor(26.8735),1.0000000000000002e-07
58,3.009374996449085,tensor(69.7560),tensor(26.8742),1.0000000000000002e-07
59,3.0084330883431942,tensor(69.7585),tensor(26.8686),1.0000000000000002e-07
60,3.0069401644645852,tensor(69.7851),tensor(26.8771),1.0000000000000002e-07
61,3.0128011500581784,tensor(69.7851),tensor(26.8734),1.0000000000000004e-08
62,3.0108690185749785,tensor(69.7850),tensor(26.8715),1.0000000000000004e-08
63,2.9993755310139756,tensor(69.7850),tensor(26.8715),1.0000000000000004e-08
64,3.0133853618134845,tensor(69.7849),tensor(26.8714),1.0000000000000004e-08
65,3.0095235134692904,tensor(69.7849),tensor(26.8714),1.0000000000000004e-08
66,3.009390633156959,tensor(69.7848),tensor(26.8713),1.0000000000000004e-08
67,3.002688080706495,tensor(69.7848),tensor(26.8714),1.0000000000000004e-08
68,3.0089684395079916,tensor(69.7849),tensor(26.8713),1.0000000000000004e-08
69,3.0070408075413804,tensor(69.7848),tensor(26.8738),1.0000000000000004e-08
70,3.007659985664043,tensor(69.7848),tensor(26.8738),1.0000000000000004e-08
71,3.0079318437170475,tensor(69.7850),tensor(26.8714),1.0000000000000004e-08
72,3.000831862713428,tensor(69.7850),tensor(26.8713),1.0000000000000004e-08
73,3.003247433520378,tensor(69.7850),tensor(26.8714),1.0000000000000004e-08
74,3.0119959547164594,tensor(69.7850),tensor(26.8714),1.0000000000000004e-08
75,3.021931841018352,tensor(69.7849),tensor(26.8712),1.0000000000000004e-08
76,3.0115162489262035,tensor(69.7849),tensor(26.8712),1.0000000000000005e-09
77,3.0061505145214973,tensor(69.7849),tensor(26.8712),1.0000000000000005e-09
78,3.0118682942491897,tensor(69.7849),tensor(26.8712),1.0000000000000005e-09
79,3.000602055103221,tensor(69.7849),tensor(26.8712),1.0000000000000005e-09
80,3.0120028840734605,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
81,3.0080217934669333,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
82,3.009405869118711,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
83,3.0060014953004552,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
84,3.0048194768580982,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
85,3.012120766842619,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
86,3.005972352433712,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
87,3.008823592612084,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
88,3.013993922700273,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
89,3.0163351373469576,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
90,3.002444569100725,tensor(69.7848),tensor(26.8712),1.0000000000000005e-09
91,3.005328206305808,tensor(69.7848),tensor(26.8712),1.0000000000000006e-10
92,3.006248524848451,tensor(69.7848),tensor(26.8712),1.0000000000000006e-10
93,2.9989331149040384,tensor(69.7848),tensor(26.8712),1.0000000000000006e-10
94,3.003030388913256,tensor(69.7848),tensor(26.8712),1.0000000000000006e-10
95,3.0161520166600004,tensor(69.7848),tensor(26.8712),1.0000000000000006e-10
