                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4679,                 30.369,                 3.5526,                      0,                      0,                      0,                      0,                0.75746,                  168.1,                0.56989,                0.00062,                0.00062,                0.00062
                      2,                 5.3551,                 3.0633,                  2.074,                0.04808,                0.19577,                0.03037,                 0.0078,                 4.2632,                    inf,                 188.74,              0.0012475,              0.0012475,              0.0012475
                      3,                 4.5953,                 1.9725,                 1.4289,                0.01805,                0.07338,                0.00968,                0.00228,                 4.8979,                    inf,                 20.477,              0.0018624,              0.0018624,              0.0018624
                      4,                 4.4121,                 1.7892,                 1.3826,                0.01386,                0.00299,                0.00697,                0.00252,                 3.3257,                 4.0488,                  1.097,              0.0019406,              0.0019406,              0.0019406
                      5,                  4.267,                  1.682,                  1.339,                0.06279,                0.11134,                0.03723,                0.00948,                 4.3642,                 3.2696,                 1.4442,              0.0019208,              0.0019208,              0.0019208
                      6,                 4.2372,                 1.6485,                 1.2898,                0.08996,                0.24546,                 0.0579,                0.01304,                 4.1443,                 2.2543,                 1.2873,               0.001901,               0.001901,               0.001901
                      7,                 4.2362,                 1.6665,                  1.295,                0.10656,                0.17805,                 0.0649,                0.01397,                 4.1175,                 1.5536,                 1.3116,              0.0018812,              0.0018812,              0.0018812
                      8,                 4.2203,                 1.6449,                 1.2809,                0.09358,                 0.2519,                0.05683,                0.01221,                 4.0805,                 1.6287,                 1.2137,              0.0018614,              0.0018614,              0.0018614
                      9,                 4.1955,                 1.5946,                 1.2898,                0.08494,                0.22958,                 0.0537,                0.01131,                 4.1363,                 1.7331,                 1.1924,              0.0018416,              0.0018416,              0.0018416
                     10,                 4.1879,                 1.5386,                 1.2742,                0.15691,                0.25466,                0.11196,                0.02355,                 3.9387,                 1.5568,                 1.1964,              0.0018218,              0.0018218,              0.0018218
                     11,                 4.1493,                 1.4758,                 1.2648,                0.19431,                0.22935,                0.12329,                0.02668,                 3.9307,                 1.4873,                 1.1968,               0.001802,               0.001802,               0.001802
                     12,                 4.0205,                 1.4238,                 1.2534,                0.26702,                0.31194,                0.17206,                0.03899,                 3.6689,                  1.332,                 1.1391,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.9058,                 1.4185,                 1.2204,                0.26306,                0.36186,                0.17809,                0.04408,                 3.4653,                 1.2997,                 1.1238,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.7701,                 1.3929,                 1.2091,                0.32426,                0.36761,                0.20903,                0.05321,                  3.389,                 1.3337,                 1.1304,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.6393,                 1.3702,                 1.2006,                0.31736,                0.41385,                0.23076,                0.06025,                 3.3307,                 1.3343,                 1.1087,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.5931,                  1.364,                 1.1626,                 0.3362,                0.45549,                0.25236,                0.06701,                 3.2143,                 1.2987,                 1.0732,               0.001703,               0.001703,               0.001703
                     17,                 3.4632,                 1.2965,                 1.1344,                0.32203,                0.44877,                0.26175,                0.07654,                 3.1379,                    1.3,                 1.0617,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.4467,                 1.3073,                 1.1283,                0.35733,                0.47113,                0.28022,                 0.0793,                 3.1124,                 1.2378,                 1.0576,              0.0016634,              0.0016634,              0.0016634
                     19,                 3.3792,                 1.2794,                 1.1155,                0.31194,                0.37842,                0.22077,                0.06415,                 3.3373,                 1.3611,                 1.1229,              0.0016436,              0.0016436,              0.0016436
                     20,                  3.317,                 1.2494,                 1.1024,                0.42327,                0.48746,                0.33403,                0.09983,                 2.9685,                 1.2005,                  1.025,              0.0016238,              0.0016238,              0.0016238
                     21,                 3.2714,                 1.2276,                 1.0983,                0.40349,                0.49298,                0.33828,                0.10085,                 3.0017,                 1.1967,                 1.0325,               0.001604,               0.001604,               0.001604
                     22,                 3.3031,                 1.2145,                 1.0961,                0.40724,                 0.4755,                0.32924,                0.09452,                  3.016,                 1.1887,                 1.0233,              0.0015842,              0.0015842,              0.0015842
                     23,                 3.2277,                 1.2142,                 1.0864,                0.42933,                0.44836,                0.32686,                0.09817,                 3.0348,                 1.2092,                 1.0478,              0.0015644,              0.0015644,              0.0015644
                     24,                 3.2548,                 1.1834,                 1.0852,                0.47963,                0.52082,                0.40302,                0.11936,                 2.8629,                  1.188,                  1.004,              0.0015446,              0.0015446,              0.0015446
                     25,                 3.1638,                  1.194,                 1.0674,                0.47369,                0.51208,                0.38051,                0.11415,                 2.8274,                 1.1562,                0.99988,              0.0015248,              0.0015248,              0.0015248
                     26,                 3.1557,                 1.1679,                 1.0723,                0.46238,                 0.4426,                0.32953,                0.10076,                 3.0374,                 1.1842,                 1.0469,               0.001505,               0.001505,               0.001505
                     27,                 3.1356,                 1.1531,                 1.0612,                0.58465,                0.52748,                0.45808,                0.13422,                 2.7771,                 1.1302,                0.99236,              0.0014852,              0.0014852,              0.0014852
                     28,                 3.0567,                 1.1308,                 1.0603,                0.60779,                 0.5291,                0.46061,                0.13937,                 2.7767,                 1.0937,                 0.9867,              0.0014654,              0.0014654,              0.0014654
                     29,                 3.0688,                 1.1077,                  1.059,                0.56849,                0.49689,                0.41305,                0.11891,                 2.8241,                 1.1292,                0.99401,              0.0014456,              0.0014456,              0.0014456
                     30,                 3.0286,                 1.0957,                 1.0653,                0.64316,                0.54704,                0.49506,                0.15142,                 2.7259,                 1.0661,                0.97996,              0.0014258,              0.0014258,              0.0014258
                     31,                 3.0372,                 1.0932,                 1.0616,                0.67011,                0.56545,                0.49936,                0.15254,                 2.6574,                 1.0607,                0.97772,               0.001406,               0.001406,               0.001406
                     32,                 3.0363,                 1.1173,                 1.0598,                0.55784,                0.46584,                 0.3739,                 0.1139,                 2.9753,                 1.1481,                 1.0432,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.9723,                 1.0496,                 1.0441,                0.67916,                0.54911,                0.52759,                0.16444,                 2.6509,                 1.0587,                0.96798,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.9247,                 1.0506,                 1.0358,                 0.6972,                0.56568,                0.52519,                0.16814,                 2.6033,                 1.0353,                0.96474,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.9085,                  1.032,                 1.0323,                0.69803,                0.58132,                0.55449,                  0.179,                 2.5679,                  1.016,                0.96456,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.8784,                 1.0234,                  1.041,                0.64754,                0.54497,                0.50887,                0.15939,                 2.6478,                 1.0724,                0.96983,               0.001307,               0.001307,               0.001307
                     37,                 2.8277,                  1.024,                   1.03,                0.66238,                0.57902,                0.54615,                0.17374,                 2.5924,                 1.0243,                0.96162,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.8065,                 1.0049,                 1.0269,                0.70781,                0.57764,                0.57852,                0.19269,                 2.5049,                0.97606,                 0.9531,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.8196,                  1.023,                 1.0288,                0.69465,                0.61021,                0.58162,                 0.1844,                  2.514,                 1.0128,                0.95155,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.7814,                  1.008,                 1.0385,                0.67167,                0.56848,                0.54313,                0.16553,                  2.626,                 1.0164,                0.96283,              0.0012278,              0.0012278,              0.0012278
