                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.465,                 3.7241,                 3.7094,                      0,                      0,                      0,                      0,                 6.9012,                 3.5371,                 3.9252,                0.00062,                0.00062,                0.00062
                      2,                 4.5762,                 2.1199,                 2.5728,                0.00599,                0.02438,                0.00307,                  0.001,                 4.6517,                 3.0577,                 2.1225,              0.0012475,              0.0012475,              0.0012475
                      3,                 4.0007,                 1.7284,                 1.9519,                0.00636,                0.00621,                0.00203,                0.00052,                 5.6709,                 4.5731,                 3.3746,              0.0018624,              0.0018624,              0.0018624
                      4,                  3.422,                 1.5292,                 1.7389,                0.32533,                0.50884,                0.30739,                0.09609,                 2.7899,                 1.4864,                 1.5317,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.9993,                 1.3823,                 1.5952,                0.45777,                0.50173,                0.35943,                0.11519,                 2.8578,                 1.5263,                 1.5603,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.8586,                 1.2994,                 1.4946,                0.45415,                0.57553,                0.37748,                0.12553,                 2.5714,                 1.3216,                  1.422,               0.001901,               0.001901,               0.001901
                      7,                  2.778,                 1.2829,                 1.4532,                 0.3715,                0.56785,                0.32489,                0.10989,                 2.6844,                 1.4166,                 1.4607,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.7151,                 1.2055,                 1.3921,                0.34822,                 0.5817,                0.30951,                0.10882,                 2.6455,                 1.3921,                 1.4192,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6393,                  1.215,                 1.3932,                0.16071,                0.35519,                0.10232,                0.03132,                 3.3816,                 1.9365,                 1.8954,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5915,                 1.1888,                 1.3566,                0.43774,                0.49666,                  0.321,                0.10287,                 2.9914,                  1.408,                 1.5985,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.6235,                 1.2063,                 1.3721,                0.53371,                0.60386,                0.46703,                0.16031,                 2.6413,                 1.2977,                 1.3864,               0.001802,               0.001802,               0.001802
                     12,                 2.5278,                 1.1468,                 1.3381,                0.64624,                0.68829,                0.60983,                 0.2213,                 2.3344,                 1.1534,                 1.2826,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.5295,                 1.1354,                 1.3155,                 0.6906,                0.73039,                0.67568,                  0.248,                 2.2025,                 1.0051,                 1.2322,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.508,                   1.12,                 1.3247,                0.67894,                0.65816,                0.61122,                0.22819,                 2.3861,                 1.0696,                 1.2928,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.5085,                 1.1244,                 1.3349,                 0.7487,                0.69519,                0.68877,                0.26026,                 2.2241,                 1.0046,                 1.2433,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4689,                 1.0867,                 1.2942,                0.77402,                0.71084,                0.66515,                0.24948,                 2.2096,                0.98703,                 1.2343,               0.001703,               0.001703,               0.001703
                     17,                 2.4617,                 1.0842,                 1.3036,                0.74267,                0.71475,                0.64723,                 0.2483,                 2.2118,                  1.024,                 1.2323,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.454,                  1.069,                  1.289,                0.79461,                 0.7297,                 0.7117,                0.27081,                 2.1702,                0.99645,                 1.2189,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.4036,                 1.0535,                 1.2812,                0.80253,                0.69473,                0.73807,                0.27418,                 2.1641,                 1.0228,                 1.2221,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.3758,                 1.0443,                 1.2643,                0.74643,                 0.6968,                 0.7066,                0.25181,                 2.1921,                  1.015,                  1.218,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.3508,                 1.0328,                 1.2638,                0.79653,                0.69933,                0.74094,                0.26594,                 2.2138,                 1.0081,                 1.2286,               0.001604,               0.001604,               0.001604
                     22,                 2.3629,                 1.0286,                 1.2517,                0.80565,                 0.7159,                0.72966,                0.29183,                 2.1037,                0.98994,                 1.2023,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.3325,                 1.0452,                 1.2405,                0.80241,                0.72165,                 0.7298,                   0.29,                 2.1367,                0.96131,                 1.2067,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.3547,                 1.0096,                 1.2363,                 0.7685,                0.70968,                0.67445,                0.26696,                  2.184,                0.99527,                 1.2198,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.3131,                 1.0562,                 1.2334,                0.81208,                0.73292,                0.75829,                0.30171,                 2.0714,                0.95675,                   1.19,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.2843,                0.99532,                 1.2226,                 0.8353,                0.73338,                 0.7573,                0.29998,                 2.0802,                0.93124,                 1.1837,               0.001505,               0.001505,               0.001505
                     27,                 2.3311,                0.98952,                 1.2248,                0.82521,                0.75155,                0.77131,                0.31246,                 2.0486,                0.92123,                 1.1773,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.2289,                0.97819,                 1.2174,                0.85926,                0.76404,                0.79472,                 0.3263,                  2.018,                0.91531,                 1.1614,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.2555,                0.97357,                 1.2154,                0.82439,                0.72894,                0.75803,                0.29566,                 2.0618,                0.93231,                  1.178,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.2054,                0.96027,                  1.211,                0.84771,                 0.7504,                0.78617,                0.30308,                 2.1174,                0.92569,                  1.193,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.2411,                0.97703,                 1.2171,                0.84269,                0.75174,                0.77892,                0.29809,                 2.0701,                 0.9332,                 1.1732,               0.001406,               0.001406,               0.001406
