                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0067,                 2.4447,                 3.6319,                0.00296,                0.00506,                0.00149,                0.00047,                 6.2184,                 5.2048,                 4.8202,                0.00188,                0.00188,                0.00188
                      2,                 3.3002,                 1.6781,                 2.8883,                0.26543,                 0.2841,                0.14389,                0.05149,                    nan,                    nan,                    nan,              0.0019801,              0.0019801,              0.0019801
                      3,                 2.8334,                 1.4367,                 2.5002,                0.39063,                 0.3958,                  0.231,                0.08521,                 2.7724,                 24.949,                 2.4663,              0.0019602,              0.0019602,              0.0019602
                      4,                 2.6165,                 1.3527,                 2.3704,                0.55209,                0.62457,                0.53592,                0.19696,                 2.5217,                  1.368,                 2.3735,              0.0019403,              0.0019403,              0.0019403
                      5,                 2.5301,                 1.3179,                 2.2571,                0.55033,                0.70668,                0.55623,                0.20552,                 2.3274,                 1.2001,                 2.0844,              0.0019204,              0.0019204,              0.0019204
                      6,                 2.4597,                 1.2911,                 2.1621,                0.48241,                0.59995,                0.48389,                0.18092,                 2.5198,                 1.3001,                 2.1827,              0.0019005,              0.0019005,              0.0019005
                      7,                 2.4021,                 1.2826,                 2.0912,                0.61582,                0.67702,                0.61872,                0.22932,                 2.1946,                 1.1683,                 1.9382,              0.0018806,              0.0018806,              0.0018806
                      8,                 2.3614,                 1.2601,                  2.034,                0.68963,                0.67216,                0.65988,                0.24484,                 2.1823,                 1.1695,                 1.8847,              0.0018607,              0.0018607,              0.0018607
                      9,                 2.3521,                 1.2237,                 1.9663,                0.65489,                0.65816,                0.61137,                0.23438,                 2.1969,                 1.1419,                 1.8839,              0.0018409,              0.0018409,              0.0018409
                     10,                  2.342,                  1.218,                 1.9591,                0.68601,                0.69726,                0.66032,                0.25547,                 2.2395,                 1.1382,                 1.8823,               0.001821,               0.001821,               0.001821
                     11,                  2.288,                 1.2078,                 1.9204,                0.67541,                0.71467,                0.66798,                0.26541,                 2.1622,                 1.1537,                 1.8508,              0.0018011,              0.0018011,              0.0018011
                     12,                 2.2529,                 1.1873,                 1.8681,                0.75063,                0.73292,                0.72634,                0.29601,                 2.0994,                 1.0843,                 1.7851,              0.0017812,              0.0017812,              0.0017812
                     13,                 2.2247,                 1.1608,                 1.8437,                0.74491,                0.72717,                0.71663,                0.27194,                 2.1182,                 1.1171,                 1.7595,              0.0017613,              0.0017613,              0.0017613
                     14,                 2.1872,                 1.1505,                 1.8065,                0.79946,                0.74743,                0.77511,                0.32045,                 2.0097,                 1.0595,                 1.7168,              0.0017414,              0.0017414,              0.0017414
                     15,                 2.2201,                 1.1432,                 1.8128,                0.75079,                0.68346,                0.70067,                0.28943,                 2.0937,                 1.0688,                 1.7283,              0.0017215,              0.0017215,              0.0017215
                     16,                 2.1833,                 1.1462,                  1.796,                0.76436,                0.73545,                0.74979,                0.31101,                 2.0561,                 1.0908,                 1.6978,              0.0017016,              0.0017016,              0.0017016
                     17,                 2.1669,                 1.1498,                 1.7637,                0.78858,                0.72671,                 0.7638,                 0.3209,                 2.0487,                 1.0336,                 1.6962,              0.0016817,              0.0016817,              0.0016817
