                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3675,                 2.7659,                  3.826,                0.00328,                0.01334,                0.00168,                0.00041,                 5.8924,                 2.9827,                 4.0397,                0.00062,                0.00062,                0.00062
                      2,                 3.6821,                 1.8536,                 3.0719,                0.00667,                0.02715,                0.00345,                0.00082,                 5.9423,                  2.999,                 4.1415,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.9699,                 1.5079,                 2.5492,                0.22793,                0.27674,                  0.118,                0.04389,                 3.5347,                    inf,                 2.8591,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.6956,                 1.4414,                 2.3744,                 0.4602,                0.38003,                0.31936,                0.11243,                 2.8144,                 1.8131,                 2.4425,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5542,                 1.3334,                 2.2016,                0.19734,                0.56798,                0.15299,                0.06071,                 2.5559,                    inf,                 2.1679,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5125,                 1.2949,                 2.0585,                0.56245,                0.65585,                0.57549,                 0.2103,                 2.3634,                 2.3416,                 2.0009,               0.001901,               0.001901,               0.001901
                      7,                 2.4476,                 1.2814,                 1.9999,                 0.3335,                 0.5827,                0.29732,                 0.0989,                 2.6364,                 1.4651,                 2.1232,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.3695,                 1.1992,                 1.8877,                0.73462,                0.70429,                0.69705,                0.27505,                 2.1725,                 1.0981,                 1.8005,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3457,                 1.2073,                 1.8669,                0.75684,                0.68829,                0.70009,                0.28976,                 2.1248,                 1.0785,                 1.7697,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3175,                 1.1981,                 1.7963,                0.68566,                0.67311,                0.65528,                0.25942,                 2.1451,                 1.1412,                 1.7387,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3134,                 1.2113,                 1.7748,                0.74529,                0.73169,                0.71913,                0.30053,                 2.0333,                 1.1277,                 1.6793,               0.001802,               0.001802,               0.001802
                     12,                 2.2715,                 1.1402,                 1.7405,                0.79487,                0.75146,                0.76591,                0.29195,                 2.0598,                 1.0785,                  1.705,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2348,                 1.1383,                 1.6903,                0.72995,                0.70764,                0.70541,                0.28964,                 2.0263,                 1.0709,                 1.6701,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.224,                 1.1429,                 1.6854,                0.73125,                0.67357,                0.67447,                0.28002,                 2.1146,                 1.1091,                 1.7123,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2019,                 1.1424,                 1.6881,                0.83967,                0.74166,                0.75111,                0.31246,                 2.0227,                 1.0164,                  1.646,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1723,                 1.1063,                 1.6366,                0.84684,                0.75554,                0.79734,                0.34529,                 1.9678,                 1.0304,                 1.6233,               0.001703,               0.001703,               0.001703
                     17,                 2.1521,                 1.1167,                 1.6491,                0.83553,                0.74208,                0.78176,                 0.3371,                 1.9628,                 1.0264,                 1.6161,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.179,                 1.0955,                 1.6286,                0.85096,                0.76967,                0.81041,                 0.3341,                 1.9608,                 1.0755,                 1.5942,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1106,                 1.1288,                  1.618,                 0.8217,                0.73997,                0.80977,                 0.3419,                 1.9326,                 1.0758,                 1.5792,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0946,                 1.1006,                 1.5842,                0.84139,                0.74304,                0.81305,                0.35599,                 1.9164,                 1.0457,                 1.5715,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0516,                  1.062,                 1.5788,                0.80521,                 0.7389,                0.77125,                0.29236,                 2.1112,                 1.1254,                   1.66,               0.001604,               0.001604,               0.001604
                     22,                  2.067,                 1.0624,                 1.5554,                0.80615,                0.72073,                0.75013,                0.33288,                 1.9537,                 1.0381,                 1.5828,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0452,                 1.0725,                   1.55,                0.80577,                0.72625,                0.74819,                 0.3168,                 1.9518,                 1.0234,                 1.5796,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0494,                 1.0287,                 1.5258,                0.88053,                0.76973,                0.81826,                0.35666,                 1.9029,                0.97572,                 1.5454,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0225,                 1.0702,                 1.5293,                 0.8693,                0.77893,                0.83429,                0.36953,                 1.8698,                0.99496,                 1.5196,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0232,                 1.0307,                 1.5089,                0.88332,                0.78194,                0.82777,                0.37337,                 1.8674,                0.95346,                 1.5225,               0.001505,               0.001505,               0.001505
                     27,                 2.0189,                 1.0452,                 1.5065,                0.85335,                 0.7787,                0.83077,                0.37336,                 1.8555,                0.97396,                 1.5131,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9641,                 1.0164,                 1.5102,                0.83734,                0.77249,                0.82445,                0.37961,                 1.8405,                0.96782,                 1.5111,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9829,                 1.0313,                 1.5032,                0.86458,                 0.7755,                0.81448,                0.37015,                 1.8839,                0.97985,                 1.5311,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9475,                0.99604,                 1.4994,                0.87638,                0.78928,                0.83551,                0.37089,                 1.8783,                0.94845,                 1.5237,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9798,                 1.0332,                 1.5067,                0.85628,                0.75519,                0.82683,                0.38327,                 1.8476,                0.99621,                 1.4965,               0.001406,               0.001406,               0.001406
                     32,                  1.976,                 1.0495,                 1.4936,                0.81042,                 0.7274,                0.77303,                0.33718,                 1.9445,                0.98766,                 1.5624,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9389,                 1.0076,                 1.4729,                0.83764,                0.76559,                0.80403,                0.35372,                 1.8902,                0.96523,                  1.521,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9271,                0.98772,                 1.4569,                 0.8852,                0.79469,                0.85442,                0.40385,                 1.8126,                0.94264,                 1.4765,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9159,                0.98426,                 1.4606,                0.89134,                0.80952,                0.85606,                0.38981,                 1.8529,                 0.9524,                 1.4938,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9037,                  0.979,                 1.4603,                0.88404,                0.80446,                0.86038,                0.39163,                 1.8482,                0.94907,                 1.4901,               0.001307,               0.001307,               0.001307
                     37,                 1.9076,                0.97456,                 1.4626,                0.90319,                0.79625,                0.86732,                0.39893,                 1.8341,                0.97923,                  1.486,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8862,                0.95651,                 1.4569,                0.88322,                0.80653,                0.86711,                0.40827,                 1.7938,                0.95335,                 1.4655,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8887,                0.97014,                 1.4547,                0.87129,                0.77847,                0.85788,                 0.3979,                 1.8196,                0.98512,                 1.4842,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8965,                0.98406,                 1.4819,                0.86456,                0.79986,                0.83565,                0.37894,                 1.8356,                0.96154,                 1.4921,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8779,                0.96704,                 1.4429,                0.85931,                0.77272,                0.82625,                0.38047,                 1.8383,                0.90585,                 1.4939,               0.001208,               0.001208,               0.001208
                     42,                 1.8722,                0.94123,                 1.4577,                0.88104,                0.81896,                0.86799,                0.40537,                 1.7988,                0.97455,                 1.4646,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8406,                 0.9432,                 1.4148,                0.88677,                0.80171,                0.85315,                0.37733,                  1.897,                0.93213,                 1.5105,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8708,                0.94541,                 1.4463,                0.82849,                0.76675,                0.80079,                0.35077,                 1.8973,                0.95948,                 1.5286,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8295,                0.94377,                   1.42,                0.90014,                0.83782,                0.88975,                0.42734,                 1.7801,                0.90798,                 1.4486,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8526,                0.92123,                 1.4273,                0.91354,                 0.8086,                0.87559,                0.39418,                 1.8678,                0.94912,                 1.4915,               0.001109,               0.001109,               0.001109
                     47,                 1.8411,                0.93165,                 1.4055,                0.90354,                0.81735,                0.87326,                0.41747,                 1.7856,                0.90132,                 1.4539,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8076,                 0.9065,                 1.4118,                0.90863,                0.81988,                0.88356,                0.41682,                 1.8081,                0.89098,                 1.4601,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7993,                 0.9166,                 1.3989,                0.92209,                0.81597,                0.88681,                0.42883,                 1.7812,                0.91463,                 1.4484,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.793,                 0.8914,                 1.3997,                0.84262,                0.75546,                0.83164,                0.35431,                 1.9854,                  1.028,                 1.5635,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7995,                0.89711,                 1.3915,                0.89625,                0.81279,                 0.8845,                0.42203,                  1.796,                0.92822,                  1.454,                0.00101,                0.00101,                0.00101
                     52,                 1.7946,                0.89489,                 1.4004,                0.89879,                 0.8254,                0.87134,                 0.4201,                 1.7756,                0.86466,                 1.4472,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8062,                 0.8904,                 1.3756,                0.87839,                0.80561,                0.85034,                0.40741,                 1.7827,                0.89294,                 1.4546,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7806,                0.87786,                 1.3905,                0.92048,                0.83437,                 0.8983,                0.43984,                 1.7902,                0.86021,                 1.4461,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.792,                0.87568,                 1.3572,                0.87303,                0.80653,                0.83789,                0.38963,                 1.8295,                0.86253,                 1.4766,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7572,                0.86579,                 1.3803,                0.90923,                0.82195,                0.88121,                0.42738,                  1.772,                0.88015,                 1.4477,               0.000911,               0.000911,               0.000911
                     57,                 1.7707,                0.86746,                 1.3822,                0.90757,                0.84254,                0.89007,                0.43726,                 1.7449,                0.85749,                  1.422,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7563,                0.86706,                 1.3667,                0.90878,                0.81942,                0.88897,                0.44141,                 1.7476,                0.87373,                 1.4224,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7468,                0.86336,                 1.3648,                0.91664,                 0.8438,                0.90077,                0.45204,                 1.7336,                0.82918,                 1.4103,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7135,                0.83131,                 1.3405,                0.90244,                0.83851,                0.89691,                0.44885,                   1.77,                0.84478,                 1.4331,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7139,                0.83065,                 1.3605,                0.92423,                0.84127,                 0.8995,                0.45436,                 1.7147,                0.83015,                 1.4105,               0.000812,               0.000812,               0.000812
                     62,                 1.7525,                0.83435,                 1.3364,                0.91353,                0.86289,                0.90896,                 0.4517,                 1.7433,                0.83132,                 1.4094,              0.0007922,              0.0007922,              0.0007922
                     63,                    1.7,                0.83165,                 1.3213,                0.92066,                0.85156,                0.89364,                0.44534,                 1.7385,                0.82013,                 1.4123,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7065,                0.82354,                 1.3311,                0.91766,                0.84426,                0.90452,                0.45829,                 1.7335,                0.82437,                 1.4123,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6968,                0.81714,                 1.3301,                0.92641,                0.83713,                0.90838,                0.46166,                  1.716,                0.80948,                 1.3982,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6919,                0.82494,                 1.3283,                0.93922,                0.85323,                0.91482,                0.47309,                 1.7028,                0.78269,                 1.3901,               0.000713,               0.000713,               0.000713
                     67,                 1.7031,                0.82042,                 1.3378,                 0.9286,                0.86164,                0.91461,                0.46361,                 1.7131,                  0.781,                 1.4043,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6845,                0.79338,                 1.3084,                0.90657,                0.85875,                0.90305,                0.44469,                 1.7915,                0.87381,                 1.4357,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6491,                0.79635,                 1.3095,                0.92093,                0.86634,                0.91655,                0.44927,                 1.7992,                0.80052,                 1.4366,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6835,                0.79572,                  1.312,                0.92146,                0.85714,                0.91365,                0.45806,                 1.7362,                0.80972,                 1.4056,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6897,                0.81799,                 1.3381,                0.91465,                0.84265,                0.89276,                0.45646,                 1.7345,                0.76245,                 1.4055,               0.000614,               0.000614,               0.000614
                     72,                 1.6454,                0.79259,                 1.2969,                0.92077,                0.83682,                0.89938,                0.46908,                 1.6792,                0.76832,                 1.3771,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6369,                0.78205,                 1.3032,                0.91563,                0.85377,                0.91051,                 0.4585,                 1.7354,                0.79814,                 1.4019,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6288,                0.76903,                 1.3069,                0.90718,                0.85024,                0.90122,                0.44013,                 1.8083,                0.81781,                 1.4391,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6309,                0.77473,                 1.2918,                0.90691,                0.83817,                0.89677,                0.42139,                 1.8806,                 0.8468,                 1.4808,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6819,                0.79079,                 1.3148,                0.88589,                0.83583,                 0.8886,                0.41178,                 1.9103,                0.86153,                 1.4959,               0.000515,               0.000515,               0.000515
                     77,                 1.6605,                0.78347,                 1.3161,                0.92648,                0.86565,                0.92141,                0.47879,                 1.6897,                0.78047,                 1.3809,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.628,                0.76747,                 1.2929,                0.92166,                0.87689,                0.91959,                0.47588,                 1.6971,                0.76638,                 1.3843,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6158,                0.76406,                 1.2967,                0.93314,                0.86565,                0.91791,                0.48328,                 1.6553,                 0.7542,                 1.3598,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5946,                0.75856,                  1.273,                0.91405,                0.87342,                0.91313,                0.48409,                 1.6726,                0.72968,                 1.3741,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.596,                0.74202,                 1.2938,                0.92913,                 0.8668,                0.91587,                0.47742,                 1.7002,                0.74126,                 1.3829,               0.000416,               0.000416,               0.000416
                     82,                 1.5911,                0.75137,                 1.2792,                0.94188,                0.87242,                0.92658,                0.48534,                 1.6723,                 0.7313,                 1.3726,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5879,                0.75491,                 1.2643,                0.89288,                0.84558,                0.89989,                0.43552,                 1.8191,                0.84085,                 1.4462,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5755,                0.74262,                 1.2733,                 0.9401,                0.86588,                0.91904,                0.48906,                 1.6561,                0.72863,                 1.3643,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5837,                0.74349,                 1.2894,                0.94052,                 0.8839,                 0.9312,                0.48541,                 1.6897,                0.72939,                  1.378,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.574,                0.73063,                 1.2713,                0.93224,                0.87983,                0.92581,                0.49004,                 1.6856,                0.73456,                 1.3787,               0.000317,               0.000317,               0.000317
                     87,                 1.5393,                0.72344,                 1.2431,                0.93387,                0.88222,                0.92651,                0.49171,                 1.6734,                0.72673,                 1.3701,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5486,                0.72581,                 1.2405,                0.93349,                0.88467,                0.93017,                0.49313,                  1.665,                 0.7287,                 1.3678,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5195,                 0.7135,                 1.2591,                0.93858,                0.88934,                0.93405,                0.50341,                  1.629,                0.70119,                  1.353,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5158,                0.71427,                 1.2483,                0.92979,                0.89349,                0.93447,                0.50453,                 1.6316,                0.71084,                 1.3471,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5385,                0.73576,                 1.3027,                0.93545,                0.88008,                0.91978,                0.48891,                 1.6455,                0.68998,                  1.366,               0.000218,               0.000218,               0.000218
                     92,                 1.4837,                0.70332,                 1.2702,                0.92108,                0.88329,                0.92369,                0.48239,                 1.7205,                0.74578,                 1.4013,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5139,                0.71058,                 1.2954,                0.93856,                0.87857,                0.93409,                0.49472,                 1.6736,                0.71592,                 1.3744,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4978,                0.70811,                 1.2636,                0.92653,                0.88291,                0.91711,                0.49477,                 1.6379,                0.70225,                 1.3577,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4811,                0.69548,                 1.2545,                0.94618,                0.88168,                0.93308,                0.50984,                 1.6296,                0.70854,                 1.3464,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4783,                0.69524,                 1.2689,                0.93534,                0.89855,                0.93211,                0.50238,                 1.6384,                0.70261,                 1.3566,               0.000119,               0.000119,               0.000119
                     97,                 1.4374,                0.68008,                 1.2585,                0.93509,                0.89464,                0.92867,                 0.5122,                 1.6082,                0.69023,                 1.3398,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4286,                 0.6769,                 1.2444,                 0.9399,                0.89648,                0.93188,                0.51045,                 1.6133,                0.69422,                  1.344,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4342,                0.67909,                 1.2487,                0.92962,                  0.902,                0.92999,                0.51608,                 1.5908,                0.68359,                 1.3304,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.4373,                0.67506,                 1.2453,                0.93867,                0.90128,                0.93407,                0.51598,                 1.5959,                 0.6863,                  1.334,               3.98e-05,               3.98e-05,               3.98e-05
