                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4919,                 2.9228,                 3.9385,                0.00446,                0.01817,                0.00246,                0.00066,                 5.8398,                  2.794,                 3.9895,                0.00062,                0.00062,                0.00062
                      2,                 4.2309,                 2.0423,                 3.3858,                0.01695,                0.06901,                0.01044,                0.00265,                 5.3693,                  2.542,                 3.6632,              0.0012475,              0.0012475,              0.0012475
                      3,                 3.2206,                 1.5974,                 2.6831,                0.50931,                0.38969,                0.35702,                0.11902,                 3.0749,                 1.7356,                 2.7121,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.7626,                 1.5032,                 2.4197,                0.36671,                0.32275,                0.23431,                0.07549,                 3.4653,                 3.7152,                 2.8997,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6187,                 1.3513,                 2.2675,                0.52874,                0.52795,                0.45438,                 0.1587,                 2.4808,                  2.018,                 2.2474,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5284,                 1.3124,                 2.1557,                0.50165,                0.65931,                0.49963,                0.18153,                 2.2898,                 1.6215,                 2.0437,               0.001901,               0.001901,               0.001901
                      7,                 2.4686,                 1.2878,                  2.102,                0.40415,                0.56313,                0.38826,                0.13318,                 2.6194,                 1.4791,                  2.157,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.403,                 1.2013,                 1.9665,                0.65722,                0.70968,                0.62438,                0.23899,                 2.1801,                 1.1554,                 1.8734,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3564,                 1.2017,                 1.9401,                0.74386,                0.71866,                0.72336,                0.28052,                 2.1801,                 1.0601,                 1.8321,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3404,                  1.192,                 1.8516,                0.52788,                0.61192,                0.46229,                0.15771,                   2.39,                 1.3001,                 1.9392,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3504,                 1.1897,                  1.832,                0.63516,                0.65516,                0.59538,                0.23035,                 2.2508,                 1.1862,                   1.84,               0.001802,               0.001802,               0.001802
                     12,                 2.2672,                  1.122,                  1.776,                0.74546,                0.74143,                0.73104,                0.28051,                  2.095,                 1.0184,                 1.7164,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2626,                 1.1095,                 1.7333,                0.77631,                0.71452,                0.74778,                0.31079,                 2.0446,                 1.0557,                 1.7167,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2483,                 1.1111,                 1.7258,                0.79319,                0.69703,                0.72797,                0.30641,                 2.0992,                 1.0167,                 1.7128,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2472,                  1.117,                 1.7308,                0.80996,                0.73536,                0.78208,                0.33436,                 2.0249,                 1.0162,                 1.6598,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1969,                 1.0768,                 1.6685,                  0.832,                0.77594,                0.80328,                0.33123,                 2.0002,                 1.0453,                   1.63,               0.001703,               0.001703,               0.001703
                     17,                 2.1911,                 1.0827,                 1.6872,                 0.7877,                0.72096,                0.74502,                 0.3204,                 2.0594,                 1.0234,                 1.6711,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1927,                 1.0836,                 1.6599,                0.81115,                0.74649,                0.77106,                0.33625,                 1.9577,                 1.0358,                  1.608,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1458,                 1.0826,                 1.6488,                0.79247,                0.72924,                0.79286,                 0.3299,                 2.0388,                 1.0686,                 1.6569,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1395,                 1.0608,                 1.6218,                0.83352,                0.76305,                 0.8197,                0.35783,                 1.9264,                 1.0209,                 1.5761,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0914,                 1.0294,                 1.6147,                0.70765,                0.73891,                0.75148,                0.30747,                 2.1293,                 1.0824,                 1.6889,               0.001604,               0.001604,               0.001604
                     22,                 2.0935,                 1.0373,                 1.5871,                0.81526,                0.76037,                0.77805,                0.33876,                 1.9756,                0.95108,                 1.5986,              0.0015842,              0.0015842,              0.0015842
                     23,                  2.068,                 1.0345,                 1.5795,                0.82696,                0.76444,                0.79338,                0.35076,                 1.9437,                  1.027,                 1.5695,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0565,                0.99433,                 1.5442,                0.87551,                 0.7672,                0.81568,                0.36621,                 1.9121,                0.96322,                  1.564,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0416,                 1.0389,                 1.5622,                0.82777,                 0.7481,                0.79333,                0.36442,                 1.8732,                0.98588,                 1.5375,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0396,                  1.004,                 1.5353,                0.84807,                0.78843,                0.82862,                0.35407,                 1.9408,                0.98848,                  1.574,               0.001505,               0.001505,               0.001505
                     27,                 2.0643,                 1.0187,                 1.5414,                0.88217,                0.79918,                0.84216,                0.37165,                 1.8793,                 1.0023,                 1.5353,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9849,                 1.0098,                 1.5354,                0.85465,                0.76828,                0.83825,                0.38333,                 1.8693,                0.97062,                 1.5352,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9939,                0.99518,                 1.5221,                0.87874,                0.77203,                0.82638,                0.37622,                 1.8563,                 0.9454,                 1.5336,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9649,                0.97448,                 1.5172,                0.88789,                0.81643,                0.85693,                0.37409,                 1.9214,                0.94709,                 1.5432,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9841,                0.99943,                 1.5244,                0.83364,                0.77232,                0.82244,                0.37497,                 1.8343,                0.96326,                 1.5096,               0.001406,               0.001406,               0.001406
                     32,                 1.9913,                 1.0374,                 1.5152,                0.82134,                0.74741,                0.79522,                0.35576,                 1.8609,                  1.006,                 1.5277,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9559,                0.98912,                 1.4904,                0.87912,                0.79132,                0.83538,                0.37027,                 1.8611,                 0.9292,                 1.5122,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9405,                 0.9663,                 1.4764,                0.86773,                0.77272,                0.84619,                0.39975,                 1.7978,                0.93752,                 1.4805,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9292,                0.95525,                 1.4759,                0.88101,                0.80791,                0.84722,                0.39224,                 1.8362,                0.89397,                  1.498,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9103,                0.94906,                 1.4723,                0.88903,                0.80745,                0.86718,                0.40177,                 1.8145,                0.91728,                 1.4886,               0.001307,               0.001307,               0.001307
                     37,                 1.9131,                 0.9484,                 1.4766,                0.89172,                 0.8146,                0.86437,                0.39037,                 1.8842,                0.96054,                 1.5169,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8988,                0.94624,                 1.4741,                0.89072,                0.81573,                0.86628,                0.40657,                 1.8023,                0.91347,                 1.4757,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.9037,                0.93804,                 1.4721,                0.87831,                0.79641,                 0.8585,                0.40927,                 1.7781,                0.90039,                 1.4683,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9011,                0.95127,                 1.4948,                0.82231,                 0.7649,                0.79961,                0.36153,                 1.8665,                 0.9262,                 1.5144,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9006,                 0.9353,                 1.4634,                0.86918,                  0.781,                0.82763,                0.37282,                 1.8598,                 0.8912,                 1.5047,               0.001208,               0.001208,               0.001208
                     42,                 1.8828,                0.92753,                 1.4744,                0.89916,                 0.8246,                0.88535,                0.42134,                 1.7885,                0.89433,                 1.4646,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8483,                0.91694,                 1.4316,                0.85293,                0.77778,                0.82907,                0.38381,                 1.8181,                0.89933,                 1.4876,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8755,                0.91611,                  1.456,                0.85219,                0.78997,                0.82449,                0.36649,                 1.8471,                0.92566,                 1.5058,              0.0011486,              0.0011486,              0.0011486
