fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.4984,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.50118,0.01045,0.00873,0.937,0.0005,2.71494,0.63495,7.5,0.53494,1.62366,0.01647,0.7,0.43345,0.0,0.1062,0.51207,0.0,0.0,0.0,0.5,0.0,0.9938,0.0,0.0
0.51956,0.0095,0.00865,0.90033,0.0005,2.71494,0.648,8.66976,0.51407,1.11641,0.01647,0.5924,0.49149,0.0,0.06708,0.49368,0.0,0.0,0.0,0.56646,0.0,0.9399,0.0,0.0
0.51682,0.00955,0.00865,0.90546,0.00051,2.58355,0.62344,9.17699,0.54459,1.13288,0.01654,0.56089,0.49149,0.0,0.06399,0.44163,0.0,0.0,0.0,0.57841,0.0,0.9845,0.0,0.0
0.52468,0.0095,0.00861,0.90033,0.0005,2.71494,0.67592,10.29514,0.40797,1.26809,0.01858,0.67552,0.49149,0.0,0.06485,0.50983,0.0,0.0,0.0,0.49408,0.0,1.0,0.0,0.0
0.52871,0.0095,0.0084,0.90961,0.00044,2.78964,0.66869,8.30631,0.51013,1.11641,0.01615,0.58777,0.51287,0.0,0.06173,0.50631,0.0,0.0,0.0,0.51389,0.0,1.0,0.0,0.0
0.51567,0.00989,0.00691,0.90961,0.00049,2.61122,0.5511,6.56392,0.49228,0.96146,0.01252,0.49833,0.47546,0.0,0.05966,0.5327,0.0,0.0,0.0,0.51389,0.0,0.82473,0.0,0.0
0.50749,0.00951,0.0084,0.90863,0.00044,2.76276,0.66405,8.30631,0.50796,1.1027,0.01615,0.58959,0.51246,0.0,0.06198,0.50631,0.0,0.0,0.0,0.51929,0.0,0.99147,0.0,0.0
0.51634,0.01021,0.00572,0.88721,0.00055,2.42985,0.62966,10.29514,0.40797,1.11189,0.01893,0.72661,0.49149,0.0,0.05741,0.56879,0.0,0.0,0.0,0.47771,0.0,1.0,0.0,0.0
0.52855,0.00901,0.00861,0.89919,0.0005,2.75394,0.65451,10.61505,0.42374,1.27212,0.01942,0.7028,0.47148,0.0,0.05975,0.49956,0.0,0.0,0.0,0.47452,0.0,0.97859,0.0,0.0
