fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.34744,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.41499,0.01035,0.01001,0.88364,0.00054,2.9944,0.62536,5.98025,0.5,1.55823,0.015,0.7,0.49284,0.0,0.09079,0.52507,0.0,0.0,0.0,0.62823,0.0,1.0,0.0,0.0
0.39496,0.01035,0.01001,0.87697,0.0005,2.90169,0.66059,5.98025,0.5,1.51162,0.0155,0.72318,0.5096,0.0,0.092,0.52507,0.0,0.0,0.0,0.6489,0.0,1.0,0.0,0.0
0.31609,0.01207,0.00791,0.97645,0.00038,2.22717,0.60447,6.12732,0.5,1.51533,0.015,0.70936,0.62606,0.0,0.09079,0.50506,0.0,0.0,0.0,0.66518,0.0,0.91594,0.0,0.0
0.39346,0.01035,0.01014,0.88418,0.00053,2.93114,0.61422,5.99912,0.5,1.56015,0.01504,0.67812,0.49519,0.0,0.09199,0.52507,0.0,0.0,0.0,0.61383,0.0,1.0,0.0,0.0
0.39285,0.01036,0.00981,0.87369,0.00049,2.95468,0.64808,6.05959,0.49887,1.52227,0.01586,0.72184,0.51615,0.0,0.08816,0.52088,0.0,0.0,0.0,0.64824,0.0,1.0,0.0,0.0
0.43121,0.01039,0.01001,0.87697,0.00049,2.83826,0.66165,5.81756,0.5,1.50649,0.01606,0.72649,0.50069,0.0,0.092,0.50972,0.0,0.0,0.0,0.6489,0.0,0.97236,0.0,0.0
0.38279,0.01037,0.01001,0.91844,0.00049,2.64094,0.68415,6.9961,0.52525,1.54187,0.01607,0.72649,0.55931,0.0,0.07688,0.54377,0.0,0.0,0.0,0.63122,0.0,0.9218,0.0,0.0
0.40065,0.01138,0.00916,0.88364,0.00056,2.73458,0.49516,5.60851,0.4507,1.31918,0.015,0.7,0.49284,0.0,0.10827,0.57146,0.0,0.0,0.0,0.62823,0.0,0.94813,0.0,0.0
0.41464,0.00932,0.00917,0.90233,0.00055,2.83826,0.55709,5.81756,0.5,1.50649,0.01494,0.64349,0.52305,0.0,0.07736,0.3564,0.0,0.0,0.0,0.57099,0.0,1.0,0.0,0.0
0.37406,0.01035,0.01002,0.88254,0.00054,3.00591,0.62536,5.98358,0.49804,1.55654,0.01492,0.69648,0.49281,0.0,0.09141,0.52568,0.0,0.0,0.0,0.62454,0.0,0.99347,0.0,0.0
0.43063,0.00896,0.00792,0.86083,0.00049,3.33218,0.65063,5.14681,0.48153,1.80918,0.02061,0.53483,0.43419,0.0,0.06566,0.54687,0.0,0.0,0.0,0.46065,0.0,0.69125,0.0,0.0
0.42257,0.01048,0.01008,0.87756,0.00049,2.83061,0.66187,5.81944,0.50103,1.51553,0.01599,0.72649,0.4979,0.0,0.09147,0.51054,0.0,0.0,0.0,0.65009,0.0,0.97141,0.0,0.0
0.42351,0.00649,0.00675,0.83477,0.00049,3.16475,0.61726,5.14681,0.48153,1.50399,0.01971,0.40361,0.43419,0.0,0.06834,0.61661,0.0,0.0,0.0,0.44263,0.0,0.65158,0.0,0.0
0.4342,0.00622,0.00626,0.83477,0.0005,3.3765,0.61726,5.15115,0.50727,1.60167,0.01964,0.40361,0.43952,0.0,0.06505,0.62974,0.0,0.0,0.0,0.47039,0.0,0.68186,0.0,0.0
0.38892,0.01015,0.01025,0.87698,0.00049,2.83826,0.69292,5.81756,0.5162,1.47058,0.01606,0.72353,0.51307,0.0,0.0934,0.50972,0.0,0.0,0.0,0.6489,0.0,0.9766,0.0,0.0
0.43266,0.00667,0.0067,0.84555,0.0004,3.33335,0.54474,6.38518,0.45146,1.60167,0.02407,0.36135,0.43952,0.0,0.0806,0.51209,0.0,0.0,0.0,0.57212,0.0,0.86066,0.0,0.0
0.4182,0.00622,0.00668,0.89808,0.00051,2.81688,0.61726,4.01083,0.42495,1.64889,0.02066,0.42096,0.40044,0.0,0.06643,0.60522,0.0,0.0,0.0,0.49809,0.0,0.58033,0.0,0.0
0.46013,0.00494,0.00771,0.8605,0.0005,3.19761,0.61726,6.718,0.50727,1.60167,0.01751,0.34901,0.34799,0.0,0.0482,0.518,0.0,0.0,0.0,0.39769,0.0,0.78809,0.0,0.0
0.45268,0.00508,0.00773,0.86166,0.00048,2.8842,0.67613,6.718,0.5294,1.619,0.01802,0.34901,0.36673,0.0,0.05114,0.518,0.0,0.0,0.0,0.39769,0.0,0.78809,0.0,0.0
0.45909,0.00494,0.00624,0.82585,0.00043,2.88436,0.53646,7.10923,0.4576,1.60167,0.01751,0.34826,0.45082,0.0,0.04995,0.518,0.0,0.0,0.0,0.33319,0.0,0.88518,0.0,0.0
0.44876,0.00585,0.00818,0.88497,0.00048,3.06192,0.49787,7.17933,0.57878,1.6353,0.01802,0.32458,0.37748,0.0,0.04883,0.65287,0.0,0.0,0.0,0.30986,0.0,0.75907,0.0,0.0
0.44581,0.00505,0.00594,0.84652,0.00043,2.90623,0.53729,7.10923,0.47525,1.65593,0.01761,0.33068,0.47395,0.0,0.051,0.518,0.0,0.0,0.0,0.31267,0.0,0.92346,0.0,0.0
