                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9977,                 3.8603,                 4.1864,                0.00044,                0.01005,                0.00022,                  2e-05,                 4.2856,                 3.7876,                 4.1588,                  8e-05,                  8e-05,                  8e-05
                      2,                 4.7506,                 3.6256,                 4.1619,                0.00067,                0.01508,                0.00035,                  9e-05,                  4.279,                  3.767,                 4.1556,             0.00017822,             0.00017822,             0.00017822
                      3,                 4.0458,                 3.4973,                 4.1095,                0.00044,                0.01005,                0.00022,                  2e-05,                 4.2715,                 3.7307,                 4.1516,             0.00027446,             0.00027446,             0.00027446
                      4,                 4.6718,                 3.1352,                 4.0575,                0.00067,                0.01508,                0.00034,                  5e-05,                 4.2501,                 3.6503,                 4.1397,             0.00036871,             0.00036871,             0.00036871
                      5,                 4.1853,                 2.7973,                 4.0045,                0.00111,                0.02513,                0.00058,                 0.0001,                 4.2278,                  3.593,                 4.1303,             0.00046099,             0.00046099,             0.00046099
                      6,                 4.1198,                 2.6201,                 3.9566,                0.00067,                0.01508,                0.00035,                  8e-05,                 4.1849,                 3.5033,                 4.1101,             0.00055129,             0.00055129,             0.00055129
                      7,                 3.9059,                 2.6209,                 3.9876,                0.00067,                0.01508,                0.00035,                  9e-05,                 4.1611,                 3.4426,                 4.0969,             0.00063961,             0.00063961,             0.00063961
                      8,                 3.6535,                 2.5003,                 3.8983,                0.00089,                 0.0201,                0.00047,                 0.0001,                 4.1746,                  3.491,                 4.1041,             0.00072595,             0.00072595,             0.00072595
                      9,                 3.2101,                 2.8375,                  3.899,                0.00089,                 0.0201,                0.00046,                 0.0001,                 4.1797,                 3.4782,                 4.1053,              0.0008103,              0.0008103,              0.0008103
                     10,                 3.3192,                 2.6571,                 3.7612,                0.00111,                0.02513,                0.00059,                0.00013,                 4.1446,                  3.404,                  4.081,             0.00089268,             0.00089268,             0.00089268
                     11,                 3.1364,                 2.6715,                 3.6855,                0.00778,                0.17588,                0.00461,                0.00116,                 4.1223,                 3.3337,                 4.0652,             0.00097308,             0.00097308,             0.00097308
                     12,                 3.2937,                 2.5013,                 3.4866,                0.00778,                0.17588,                0.00467,                0.00134,                 4.1128,                 3.3232,                 4.0599,              0.0010515,              0.0010515,              0.0010515
                     13,                 3.0006,                 2.4452,                 3.4704,                0.00911,                0.20603,                0.00553,                0.00165,                 4.0385,                 3.2335,                 4.0089,              0.0011279,              0.0011279,              0.0011279
                     14,                 3.0607,                  2.411,                 3.3213,                  0.012,                0.27136,                0.00792,                0.00233,                 3.9135,                 3.1975,                 3.9333,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.9989,                  2.354,                 3.3166,                0.01133,                0.25628,                0.00743,                0.00221,                 3.8992,                 3.2361,                 3.9274,              0.0012749,              0.0012749,              0.0012749
                     16,                 2.8698,                 2.4119,                 3.2235,                   0.01,                0.22613,                0.00632,                0.00188,                 3.8842,                 3.2671,                 3.9242,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.8907,                 2.3828,                 3.1295,                0.00911,                0.20603,                0.00554,                0.00142,                 3.9596,                 3.2998,                 3.9516,              0.0014139,              0.0014139,              0.0014139
                     18,                 2.8566,                 2.1203,                 2.8645,                0.00756,                0.17085,                0.00933,                0.00183,                 4.0169,                  3.313,                 3.9672,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.8594,                 2.1905,                 2.9108,                0.00733,                0.16583,                0.01078,                0.00261,                 3.9684,                  3.291,                  3.945,               0.001545,               0.001545,               0.001545
                     20,                 2.8203,                 2.0671,                  2.786,                0.01044,                0.23618,                0.01604,                0.00375,                 3.8157,                 3.1157,                 3.7814,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.7976,                 2.5302,                 3.0343,                0.00844,                0.19095,                0.01283,                0.00265,                 4.0362,                 3.2633,                 3.9546,               0.001604,               0.001604,               0.001604
                     22,                 2.7256,                 1.9712,                 2.6819,                0.05994,                 0.1407,                0.03698,                0.00844,                 3.7845,                 3.0417,                 3.7773,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.5221,                 1.9681,                 2.6569,                0.39795,                0.05528,                0.06971,                0.01985,                 3.6025,                 2.9935,                 3.6825,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.6741,                 2.3247,                 2.6778,                0.01189,                0.26633,                0.02878,                0.00682,                 3.9554,                 3.3298,                 3.9466,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.6213,                  2.067,                 2.7272,                0.15593,                0.05025,                0.05138,                0.01571,                 3.7702,                 3.2341,                 3.8229,              0.0015248,              0.0015248,              0.0015248
                     26,                  2.526,                 2.4775,                 2.7268,                0.13278,                0.07464,                0.04166,                 0.0108,                 3.5056,                 3.0323,                 3.5423,               0.001505,               0.001505,               0.001505
                     27,                 2.7379,                 2.2617,                 2.7481,                0.14076,                 0.1809,                0.05939,                0.01767,                 3.2632,                 2.7982,                 3.2683,              0.0014852,              0.0014852,              0.0014852
