                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.296,                 2.2197,                 1.9764,                0.40007,                 0.2882,                0.25535,                0.11008,                 2.3925,                 2.1506,                 2.4092,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.1649,                 1.9182,                 2.0598,                0.50462,                0.43511,                0.41471,                0.18578,                 2.1573,                 1.8015,                 2.2564,             0.00017822,             0.00017822,             0.00017822
                      3,                 2.1589,                  1.808,                 2.1629,                 0.4742,                0.50251,                0.46733,                0.19106,                 2.1289,                 1.6633,                 2.2974,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.9834,                 1.6193,                 1.8237,                0.47512,                0.43719,                0.39283,                0.16873,                 2.1337,                  2.375,                 2.3209,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.9138,                 1.4388,                 1.7311,                0.46812,                0.42714,                0.42091,                0.16873,                 2.1411,                 2.8743,                 2.2717,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.7944,                 1.3653,                 1.7033,                0.52191,                0.38191,                0.38953,                0.15358,                 2.2527,                 2.9012,                 2.3567,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.8237,                 1.2838,                 1.6659,                  0.475,                0.38693,                0.37795,                 0.1435,                  2.262,                 2.6968,                 2.3593,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.8163,                 1.2884,                 1.6659,                0.49211,                0.41206,                0.41057,                0.16141,                 2.1473,                 2.5014,                 2.2665,             0.00072595,             0.00072595,             0.00072595
                      9,                 2.0444,                 1.6461,                 2.0499,                0.52442,                0.45729,                0.46295,                 0.1705,                 2.1956,                 2.4023,                 2.3451,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.8487,                 1.3776,                 1.7939,                0.55147,                0.47236,                0.48339,                0.16798,                  2.312,                 2.1141,                 2.5795,             0.00089268,             0.00089268,             0.00089268
                     11,                 2.1147,                 1.7235,                 2.2725,                0.53629,                0.50563,                0.47325,                0.17834,                 2.3192,                  1.579,                 2.6499,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.7385,                  1.235,                 1.5967,                0.61796,                0.56281,                0.56039,                0.21888,                 2.2468,                 1.4499,                 2.5619,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.7245,                 1.2439,                 1.7086,                0.58982,                0.57084,                0.56407,                  0.243,                  2.073,                 1.4488,                 2.2876,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.7452,                 1.1297,                  1.639,                0.47837,                0.58988,                0.49623,                0.20225,                 2.0589,                  1.721,                  2.165,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.7024,                 1.2454,                 1.7503,                0.57772,                0.60499,                0.57972,                 0.2348,                 2.0571,                 1.6232,                 2.1908,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.8539,                 1.1625,                 1.9439,                0.68336,                0.60733,                0.64204,                0.26784,                 2.0389,                 1.5042,                 2.1782,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.9286,                 1.3992,                 1.9046,                0.66433,                0.67839,                0.66628,                0.29822,                 1.9472,                 1.4483,                 2.0749,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.8017,                 1.2131,                 1.6938,                  0.636,                0.63819,                0.62809,                0.27307,                 1.9922,                   1.66,                 2.1153,              0.0014804,              0.0014804,              0.0014804
                     19,                  1.676,                 1.1387,                 1.6329,                0.60647,                0.63317,                0.64217,                0.26877,                 1.9838,                 1.7278,                 2.1408,               0.001545,               0.001545,               0.001545
                     20,                 1.6782,                  1.127,                 1.5956,                0.74716,                0.53266,                0.64833,                0.26499,                  2.056,                 1.6465,                 2.2032,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.0699,                   1.76,                 2.1569,                  0.744,                0.47739,                0.59421,                0.25063,                  2.119,                  1.794,                 2.2507,               0.001604,               0.001604,               0.001604
                     22,                  1.765,                 1.1419,                 1.6475,                0.78863,                0.49749,                0.61997,                0.24446,                 2.1301,                 1.6316,                 2.2748,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6324,                 1.1169,                 1.5947,                0.68283,                0.63828,                0.67354,                0.25606,                 2.1213,                 1.4427,                 2.2561,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7511,                 1.1081,                 1.6855,                0.60843,                0.61685,                0.62942,                0.26531,                  1.991,                 1.4656,                 2.1324,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5948,                 1.1607,                 1.6088,                0.56789,                0.51256,                0.53865,                0.24445,                 1.9723,                 1.6055,                 2.1314,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6931,                 1.7669,                 1.8876,                0.53442,                0.45569,                0.46549,                0.19045,                 2.1127,                 1.7132,                 2.2461,               0.001505,               0.001505,               0.001505
                     27,                 1.8058,                  1.349,                  1.848,                0.45526,                0.52261,                0.43571,                 0.1607,                 2.1815,                 1.7357,                 2.3217,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7502,                 1.3676,                 1.8106,                0.54339,                0.56784,                  0.543,                 0.2236,                 2.0574,                 1.5274,                 2.1917,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5274,                0.98866,                 1.5325,                0.63393,                0.65327,                0.65485,                0.26107,                 2.0334,                 1.4528,                 2.1471,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.715,                 1.2853,                 1.7823,                0.67555,                0.63819,                 0.6648,                0.26921,                  2.026,                 1.5664,                  2.116,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.6389,                0.99554,                 1.5636,                0.64908,                0.55769,                0.60442,                0.27436,                 2.0001,                 1.6455,                 2.0962,               0.001406,               0.001406,               0.001406
                     32,                 1.6564,                 1.0877,                  1.584,                0.56086,                0.63819,                 0.6123,                0.27293,                 1.9368,                 1.5625,                 2.0605,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7005,                 1.0524,                 1.5885,                0.61938,                0.65418,                 0.6468,                0.29074,                  1.936,                 1.3705,                 2.0537,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.716,                 1.1851,                 1.8603,                0.67266,                0.65055,                0.68635,                0.32027,                  1.912,                 1.2882,                 2.0245,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5848,                 1.0305,                 1.5884,                0.69825,                0.62793,                0.71179,                0.33053,                 1.8862,                 1.2008,                 2.0125,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6036,                0.97155,                 1.6265,                0.74581,                0.63317,                0.70936,                 0.3155,                 1.9171,                 1.2388,                 2.0555,               0.001307,               0.001307,               0.001307
                     37,                  1.545,                0.96575,                 1.6907,                0.73479,                0.56784,                0.68308,                0.30587,                 1.9314,                 1.2637,                 2.0733,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.598,                0.96569,                 1.4951,                0.62784,                0.60302,                0.64316,                0.29409,                 1.9454,                  1.305,                 2.0731,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5987,                 1.0539,                 1.6928,                0.61209,                0.53266,                 0.5417,                 0.2368,                 2.0409,                 1.4127,                  2.129,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5851,                  1.014,                 1.5426,                0.53622,                0.57789,                0.50431,                0.21818,                 2.0254,                 1.4574,                  2.126,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6997,                 1.9151,                 1.7771,                0.57525,                0.68342,                0.60097,                 0.2778,                 1.8774,                   1.32,                 2.0321,               0.001208,               0.001208,               0.001208
                     42,                 1.5195,                 0.9306,                 1.5539,                0.67212,                0.69016,                0.68163,                0.31677,                 1.8543,                 1.2533,                 2.0176,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5614,                  1.811,                 1.7792,                0.70609,                0.65829,                0.70785,                0.33155,                 1.8571,                 1.2323,                 2.0266,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6797,                  1.165,                 1.8217,                0.67954,                0.64322,                0.69378,                0.31419,                 1.9653,                 1.2834,                 2.1038,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4897,                 0.8735,                 1.5305,                0.66747,                0.61809,                0.68815,                0.30252,                 1.9991,                 1.2934,                 2.1195,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7681,                 1.0818,                 1.8589,                0.67024,                0.67839,                 0.7073,                0.30751,                 1.9812,                 1.2577,                 2.1141,               0.001109,               0.001109,               0.001109
                     47,                 1.6526,                 1.0215,                 1.5246,                0.71522,                0.63317,                 0.6816,                 0.2977,                 1.9859,                 1.2635,                 2.1145,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6836,                 1.0481,                  1.792,                0.73941,                0.60302,                0.65888,                0.29194,                  1.994,                 1.3007,                 2.1151,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7236,                 1.0927,                 1.7977,                0.69233,                0.61063,                0.66695,                0.30158,                 1.9618,                 1.2873,                  2.087,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4622,                0.84929,                 1.5406,                0.73874,                 0.6252,                 0.7113,                0.32546,                 1.9025,                 1.2272,                 2.0493,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4485,                0.92058,                 1.5929,                0.70731,                0.68003,                0.69656,                0.31002,                 1.9636,                 1.2463,                 2.0922,                0.00101,                0.00101,                0.00101
                     52,                 1.5532,                0.93536,                 1.5486,                0.74485,                0.59296,                0.65511,                0.28254,                 1.9874,                 1.3027,                 2.1279,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4607,                 1.3206,                 1.6085,                0.71785,                0.60302,                0.67578,                0.30709,                 1.8919,                 1.3201,                 2.0539,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5381,                0.97022,                 1.7432,                0.78492,                0.64188,                0.72731,                0.33288,                 1.8599,                 1.2355,                 2.0225,              0.0009506,              0.0009506,              0.0009506
                     55,                   1.68,                0.99303,                  1.776,                0.77041,                0.67337,                0.72739,                0.33859,                  1.846,                 1.1978,                 1.9999,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5491,                0.93582,                 1.6763,                 0.6935,                0.71631,                0.68965,                0.31275,                 1.8622,                 1.2497,                 2.0291,               0.000911,               0.000911,               0.000911
                     57,                 1.4518,                0.86515,                 1.4319,                0.65422,                0.66834,                0.62856,                0.28064,                  1.933,                 1.3211,                 2.0983,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5273,                0.86453,                 1.5612,                0.63007,                0.71041,                0.62616,                0.27008,                 1.9995,                 1.2815,                 2.1485,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5018,                0.97237,                 1.6316,                0.67242,                0.71859,                0.67367,                0.29167,                 1.9728,                 1.2114,                 2.1137,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3822,                0.89852,                 1.4595,                0.75366,                0.65327,                  0.712,                 0.3188,                 1.9422,                 1.1806,                 2.0688,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5532,                0.84021,                 1.5112,                0.74914,                0.67337,                0.71726,                0.31936,                 1.9696,                  1.195,                  2.093,               0.000812,               0.000812,               0.000812
                     62,                 1.5096,                0.79817,                 1.5356,                0.81008,                0.64301,                0.72846,                0.33062,                 1.9567,                  1.185,                 2.0962,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4784,                0.84032,                 1.4461,                0.79724,                0.66834,                0.75712,                 0.3392,                 1.9217,                 1.1491,                 2.0741,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.499,                 1.3769,                 1.6419,                0.84494,                0.64322,                 0.7663,                 0.3446,                  1.876,                 1.1176,                 2.0371,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4098,                0.79423,                 1.3609,                0.72164,                0.70854,                 0.7597,                0.33464,                 1.8731,                 1.1395,                 2.0338,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5301,                 0.9307,                 1.7274,                0.80047,                0.63819,                0.74654,                0.34002,                 1.8592,                 1.1382,                 2.0287,               0.000713,               0.000713,               0.000713
                     67,                 1.4265,                0.89891,                 1.5991,                0.81695,                0.63317,                0.73775,                0.34403,                 1.8388,                 1.1341,                   2.03,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4301,                0.89172,                 1.5503,                0.79883,                0.64824,                0.72702,                0.33174,                 1.8857,                 1.1502,                 2.0723,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4655,                0.81497,                 1.4915,                0.78669,                0.65327,                0.72514,                0.32615,                   1.92,                 1.1656,                  2.095,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4785,                0.80822,                 1.4281,                0.73997,                 0.6721,                0.71174,                0.31439,                 1.9271,                 1.2166,                 2.0987,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.544,                0.85776,                 1.4707,                0.70329,                0.65829,                0.67856,                0.29796,                 1.9358,                 1.2541,                 2.0932,               0.000614,               0.000614,               0.000614
                     72,                 1.4178,                0.83054,                 1.4545,                0.70565,                0.66834,                0.65955,                0.28246,                 1.9261,                 1.2781,                 2.0855,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4179,                0.77685,                 1.4735,                0.72045,                0.69849,                0.69032,                0.30025,                 1.8915,                 1.2351,                  2.064,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4521,                0.81155,                  1.431,                0.74629,                0.67839,                 0.6974,                 0.3217,                  1.856,                 1.1791,                 2.0428,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3358,                0.75754,                 1.4174,                  0.759,                0.65829,                 0.7116,                0.32779,                 1.8581,                 1.1596,                 2.0413,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5416,                0.89241,                  1.468,                0.71023,                0.70854,                0.71868,                0.33208,                 1.8904,                 1.1672,                 2.0661,               0.000515,               0.000515,               0.000515
                     77,                 1.4182,                0.84836,                 1.5294,                0.71989,                0.73869,                 0.7293,                0.33831,                 1.8876,                 1.1587,                 2.0642,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4438,                0.79464,                 1.4668,                0.74288,                0.69692,                0.73131,                0.35206,                 1.8462,                 1.1598,                 2.0253,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5719,                 1.0258,                 1.6648,                0.78598,                0.67839,                0.73521,                 0.3549,                 1.8264,                 1.1671,                 2.0128,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4209,                0.88022,                 1.5807,                0.80981,                0.67839,                0.72178,                 0.3447,                 1.8323,                  1.183,                 2.0094,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6042,                 1.6065,                  1.711,                0.77746,                0.66711,                0.71097,                0.34543,                 1.8503,                 1.2003,                 2.0167,               0.000416,               0.000416,               0.000416
                     82,                 1.4003,                0.91428,                 1.3478,                0.73213,                0.67839,                0.71262,                 0.3377,                 1.8726,                 1.2165,                 2.0309,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4369,                0.87698,                 1.6521,                0.77181,                0.64322,                0.71689,                0.34812,                 1.8719,                 1.1991,                 2.0347,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3862,                0.81547,                 1.5256,                0.81921,                0.66035,                 0.7333,                0.35069,                 1.8912,                 1.1787,                 2.0433,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4987,                0.93025,                   1.43,                0.80061,                0.67337,                0.72851,                0.34541,                 1.9035,                 1.1708,                 2.0465,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.4852,                0.84402,                  1.457,                0.78149,                0.68342,                0.72654,                0.34347,                 1.8989,                 1.1448,                 2.0428,               0.000317,               0.000317,               0.000317
                     87,                 1.3664,                0.79164,                  1.446,                0.78746,                0.65165,                0.72737,                0.34688,                 1.8901,                  1.133,                 2.0477,              0.0002972,              0.0002972,              0.0002972
