                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8121,                 2.5439,                 3.9118,                0.00868,                0.03615,                0.00498,                0.00117,                 5.6993,                 2.6999,                 3.8722,             0.00065574,             0.00065574,             0.00065574
                      2,                 3.1465,                 1.6605,                  2.842,                 0.4795,                0.54738,                0.39416,                0.13938,                 2.7902,                 1.4385,                 2.5432,              0.0013137,              0.0013137,              0.0013137
                      3,                 2.7357,                 1.3996,                 2.2875,                0.56347,                0.51105,                0.45746,                0.16254,                 2.5895,                 1.3743,                 2.1222,              0.0019628,              0.0019628,              0.0019628
                      4,                 2.5783,                 1.3287,                 2.0807,                0.15973,                 0.3533,                0.09576,                0.03129,                 3.5146,                 2.7069,                 2.5101,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.5064,                 1.2935,                 1.9492,                0.62846,                 0.6153,                0.59954,                 0.2276,                 2.2801,                 1.1879,                 1.8138,              0.0019472,              0.0019472,              0.0019472
                      6,                 2.4636,                 1.2886,                 1.8891,                0.71011,                0.71262,                0.68754,                0.25177,                 2.1299,                 1.1973,                 1.7112,               0.001934,               0.001934,               0.001934
                      7,                 2.3846,                 1.2314,                 1.7999,                0.77473,                0.68888,                0.73161,                0.28425,                 2.1069,                 1.0688,                 1.7091,              0.0019208,              0.0019208,              0.0019208
                      8,                 2.3567,                 1.2062,                 1.7764,                0.76733,                0.70367,                0.75703,                0.30454,                 2.0496,                 1.0906,                 1.6708,              0.0019076,              0.0019076,              0.0019076
                      9,                  2.286,                 1.1669,                 1.7305,                0.82053,                0.75315,                0.79858,                0.32211,                 1.9566,                 1.0552,                 1.5944,              0.0018944,              0.0018944,              0.0018944
                     10,                 2.2732,                 1.1938,                 1.7266,                0.85231,                0.76794,                0.80982,                0.33564,                 1.9357,                 1.0456,                 1.5769,              0.0018812,              0.0018812,              0.0018812
                     11,                 2.2638,                 1.1985,                 1.7162,                0.83647,                0.73014,                0.78642,                0.34147,                 1.8819,                 1.0191,                 1.5441,               0.001868,               0.001868,               0.001868
                     12,                 2.2166,                 1.1457,                  1.651,                0.80454,                0.75242,                0.78765,                0.34205,                 1.8919,                 1.0225,                 1.5508,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.2215,                 1.1566,                 1.6518,                 0.7426,                 0.6646,                0.70126,                0.30941,                 1.9477,                 1.0323,                 1.5838,              0.0018416,              0.0018416,              0.0018416
                     14,                 2.1843,                 1.1319,                 1.6452,                 0.8612,                0.78163,                0.82841,                0.36517,                  1.839,                 1.0177,                 1.5055,              0.0018284,              0.0018284,              0.0018284
                     15,                 2.1709,                 1.1214,                 1.6558,                0.85173,                0.75727,                0.81146,                0.35697,                 1.8677,                0.98098,                 1.5121,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.1427,                 1.1045,                 1.6027,                0.85731,                0.76739,                0.83412,                  0.353,                 1.9615,                 1.0424,                 1.5461,               0.001802,               0.001802,               0.001802
                     17,                 2.1394,                 1.0993,                 1.6159,                 0.8416,                0.78236,                0.83051,                0.35103,                 1.9051,                   1.05,                 1.5153,              0.0017888,              0.0017888,              0.0017888
                     18,                 2.1462,                 1.0982,                 1.6133,                0.86949,                0.79064,                0.84375,                0.36666,                 1.8558,                0.98526,                 1.4965,              0.0017756,              0.0017756,              0.0017756
                     19,                 2.1236,                 1.0998,                 1.5982,                 0.7851,                 0.7526,                0.78799,                0.35397,                 1.8397,                 1.0328,                 1.4999,              0.0017624,              0.0017624,              0.0017624
                     20,                 2.1255,                 1.0981,                  1.612,                0.83293,                0.76557,                0.82558,                0.37316,                 1.8247,                0.99097,                 1.4934,              0.0017492,              0.0017492,              0.0017492
                     21,                  2.108,                 1.0807,                 1.5934,                0.86556,                0.79058,                0.83885,                0.37464,                  1.851,                 1.0017,                 1.4904,               0.001736,               0.001736,               0.001736
                     22,                 2.0819,                 1.0696,                 1.5829,                0.84142,                0.79441,                0.82503,                0.37268,                 1.8098,                0.96913,                 1.4778,              0.0017228,              0.0017228,              0.0017228
                     23,                 2.1024,                 1.0893,                 1.5966,                0.84676,                0.78108,                0.83459,                0.38069,                 1.7989,                0.94962,                 1.4674,              0.0017096,              0.0017096,              0.0017096
                     24,                 2.0502,                 1.0226,                 1.5386,                0.82553,                0.77104,                0.81646,                0.33452,                 2.0111,                 1.0868,                 1.5575,              0.0016964,              0.0016964,              0.0016964
                     25,                 2.0501,                 1.0393,                  1.564,                0.83923,                 0.7683,                0.82375,                0.37999,                 1.7954,                0.95916,                 1.4649,              0.0016832,              0.0016832,              0.0016832
                     26,                 2.0565,                 1.0304,                 1.5597,                0.87772,                0.81253,                0.86188,                0.37807,                  1.904,                 1.0113,                 1.5038,                0.00167,                0.00167,                0.00167
                     27,                 2.0565,                  1.045,                  1.545,                0.85808,                0.80695,                0.86377,                0.41148,                 1.7631,                0.92654,                 1.4466,              0.0016568,              0.0016568,              0.0016568
                     28,                 2.0292,                 1.0265,                 1.5353,                0.84525,                0.78383,                0.83171,                0.39124,                 1.8008,                0.91636,                 1.4712,              0.0016436,              0.0016436,              0.0016436
                     29,                 2.0275,                 1.0164,                 1.5208,                0.85898,                0.77926,                0.84624,                0.38078,                 1.8648,                0.98114,                 1.4892,              0.0016304,              0.0016304,              0.0016304
                     30,                 2.0258,                 1.0001,                 1.5372,                  0.853,                0.81085,                0.84048,                0.36404,                 1.9343,                0.99557,                 1.5192,              0.0016172,              0.0016172,              0.0016172
                     31,                 2.0055,                 1.0008,                 1.5183,                0.80463,                0.75954,                0.79752,                0.37113,                 1.8153,                0.98452,                 1.4799,               0.001604,               0.001604,               0.001604
                     32,                 2.0124,                0.99785,                 1.5335,                0.88506,                0.80299,                0.83737,                0.38174,                 1.8334,                0.92063,                 1.4745,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.9832,                0.96833,                 1.5006,                0.88127,                0.80592,                0.85415,                0.38015,                 1.8938,                0.90188,                 1.4969,              0.0015776,              0.0015776,              0.0015776
                     34,                 2.0075,                0.99231,                 1.5227,                0.84325,                0.80099,                0.84141,                0.39268,                 1.8207,                0.93906,                 1.4726,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.9796,                0.99577,                 1.5125,                0.86287,                0.79806,                0.83358,                0.38638,                 1.7927,                 0.8834,                 1.4454,              0.0015512,              0.0015512,              0.0015512
                     36,                 2.0095,                 0.9911,                 1.5188,                0.88698,                0.82965,                0.88543,                0.42421,                 1.7649,                0.86578,                 1.4324,               0.001538,               0.001538,               0.001538
                     37,                 1.9449,                0.95714,                 1.4961,                0.86867,                0.81035,                0.85183,                0.40114,                 1.7969,                0.86826,                 1.4493,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.9513,                 0.9489,                 1.5085,                0.86075,                 0.8171,                0.85763,                0.40625,                 1.7809,                0.89193,                 1.4416,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.9576,                0.94864,                 1.4826,                0.87924,                0.81395,                0.85694,                0.39042,                 1.8544,                 0.8714,                 1.4627,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.9284,                0.94547,                 1.4764,                0.83833,                0.77962,                0.83582,                0.37792,                 1.8478,                0.93761,                 1.4824,              0.0014852,              0.0014852,              0.0014852
                     41,                  1.941,                 0.9499,                 1.5062,                0.88571,                 0.8348,                0.88529,                0.42503,                 1.7636,                0.85092,                 1.4243,               0.001472,               0.001472,               0.001472
                     42,                 1.9189,                0.95244,                  1.482,                0.88339,                0.83682,                 0.8867,                0.42499,                 1.8262,                0.87713,                 1.4496,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.9179,                0.94013,                 1.4733,                0.88737,                0.82574,                0.88716,                0.41216,                  1.845,                 0.8942,                 1.4667,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.9151,                0.92764,                 1.4813,                0.88503,                0.81097,                 0.8611,                0.40758,                 1.8047,                0.82491,                 1.4558,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.9027,                0.92558,                 1.4785,                0.89242,                0.81638,                 0.8801,                0.41972,                 1.8203,                0.83325,                 1.4466,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.9009,                0.91482,                  1.453,                0.87314,                0.80099,                0.85425,                0.40133,                  1.787,                0.87572,                 1.4558,               0.001406,               0.001406,               0.001406
                     47,                 1.9163,                0.92736,                  1.463,                0.88622,                0.83075,                0.87692,                0.42513,                 1.7567,                0.82113,                 1.4273,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.8946,                0.91688,                 1.4582,                0.91454,                0.84409,                0.89467,                0.44163,                 1.7331,                0.78639,                  1.411,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.8819,                0.91421,                 1.4523,                0.89835,                0.82344,                0.88289,                0.41545,                 1.8448,                0.84561,                 1.4626,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.8685,                0.89373,                 1.4445,                0.89322,                0.82472,                0.87598,                 0.4352,                  1.705,                0.80701,                 1.4026,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.8477,                0.88128,                 1.4396,                0.90342,                0.84026,                0.89097,                0.41927,                 1.8344,                0.80022,                 1.4652,                0.00134,                0.00134,                0.00134
                     52,                 1.8588,                0.88762,                 1.4368,                0.90755,                0.82631,                0.88709,                0.43254,                 1.7308,                0.79841,                  1.412,              0.0013268,              0.0013268,              0.0013268
                     53,                  1.863,                0.88962,                 1.4338,                0.86313,                0.82897,                0.87591,                0.42094,                 1.7596,                0.83769,                 1.4295,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.8518,                 0.8792,                 1.4264,                0.89032,                0.83988,                0.89362,                0.42361,                 1.8282,                0.82132,                 1.4608,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.8637,                0.89596,                 1.4413,                0.89726,                0.84992,                0.90476,                 0.4455,                 1.7371,                0.78489,                 1.4086,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.8409,                0.86878,                 1.4291,                0.88578,                0.82828,                0.87189,                0.43429,                 1.7135,                0.76441,                 1.4078,               0.001274,               0.001274,               0.001274
                     57,                 1.8816,                0.89388,                 1.4434,                0.88901,                0.83422,                0.87146,                0.42819,                 1.7529,                0.77966,                  1.427,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.8345,                0.87847,                  1.428,                0.91061,                0.84438,                0.90119,                0.45147,                 1.7187,                0.76555,                  1.405,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.8305,                0.87472,                 1.4127,                0.88997,                0.83969,                0.89825,                0.45032,                 1.7005,                0.77189,                 1.4005,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.8418,                0.88241,                 1.4305,                0.89908,                0.83842,                0.89997,                0.43519,                 1.7865,                0.79669,                 1.4306,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.8137,                0.85242,                 1.4013,                0.88098,                0.82978,                0.87162,                0.43297,                 1.7347,                0.74636,                 1.4168,               0.001208,               0.001208,               0.001208
                     62,                  1.807,                0.86257,                 1.4114,                0.88586,                  0.846,                 0.8977,                0.44267,                 1.7536,                0.78946,                 1.4176,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.8155,                0.86785,                 1.4166,                0.91323,                0.85512,                0.91114,                0.45507,                 1.7219,                0.74378,                 1.4022,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.7866,                0.84182,                 1.4053,                0.90071,                0.85649,                0.90429,                 0.4515,                 1.7088,                0.75496,                 1.3927,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.8036,                0.86294,                 1.4165,                0.88603,                0.83075,                0.88001,                0.43652,                 1.7222,                0.74314,                 1.4078,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.7995,                0.84989,                 1.3986,                0.92146,                0.83604,                 0.8987,                0.45196,                 1.7189,                 0.7552,                 1.4098,               0.001142,               0.001142,               0.001142
                     67,                 1.7958,                0.86137,                 1.4169,                0.89751,                0.84736,                0.90585,                0.46548,                  1.682,                0.75217,                 1.3808,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.7666,                0.84442,                 1.3978,                0.89743,                0.86379,                0.90201,                0.45237,                 1.7273,                0.74255,                  1.408,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.7643,                 0.8194,                 1.3759,                0.88475,                0.84517,                0.88276,                  0.421,                 1.8318,                0.78502,                 1.4649,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.7587,                0.83164,                 1.3844,                 0.9111,                  0.857,                0.90652,                0.45559,                 1.6823,                0.71347,                 1.3876,              0.0010892,              0.0010892,              0.0010892
