                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2771,                  2.671,                 4.0283,                  6e-05,                0.00023,                  3e-05,                      0,                 5.9047,                 3.3446,                 4.0892,                0.00062,                0.00062,                0.00062
                      2,                 3.1685,                 1.5589,                 3.4355,                0.00203,                0.00828,                0.00103,                0.00023,                 5.8683,                 3.1208,                 4.0745,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.6722,                 1.3148,                 2.6775,                0.02915,                 0.1187,                0.02219,                0.00672,                 4.8981,                 2.3257,                 3.4189,              0.0018622,              0.0018622,              0.0018622
                      4,                 2.5226,                 1.2434,                 2.3107,                 0.0846,                0.05613,                0.01769,                0.00591,                 5.0803,                 9.2038,                 8.1868,              0.0019403,              0.0019403,              0.0019403
                      5,                 2.4609,                  1.205,                 2.2064,                0.49642,                0.32114,                0.28848,                0.10163,                 3.0331,                 1.5425,                  2.512,              0.0019204,              0.0019204,              0.0019204
                      6,                 2.3767,                 1.1657,                 2.0892,                0.52246,                0.53209,                0.43303,                0.15642,                 2.4289,                  2.239,                 2.0738,              0.0019005,              0.0019005,              0.0019005
                      7,                 2.3257,                 1.1376,                 1.9991,                0.75696,                 0.7215,                0.72406,                0.28682,                 2.1973,                  1.068,                 1.8497,              0.0018806,              0.0018806,              0.0018806
                      8,                 2.2948,                 1.1222,                 1.9536,                0.77424,                0.71635,                0.74892,                0.30197,                 2.1744,                 1.0428,                 1.8021,              0.0018607,              0.0018607,              0.0018607
                      9,                 2.2517,                 1.0917,                 1.8829,                 0.7241,                0.72349,                0.71888,                0.27196,                 2.1353,                 1.0856,                 1.7819,              0.0018409,              0.0018409,              0.0018409
                     10,                 2.2359,                 1.0895,                 1.8428,                0.79164,                0.76098,                0.77554,                0.31366,                 2.0681,                 1.0666,                 1.7154,               0.001821,               0.001821,               0.001821
                     11,                  2.194,                 1.1026,                 1.8227,                0.77545,                0.72694,                0.72459,                0.27632,                 2.1547,                 1.0352,                 1.7614,              0.0018011,              0.0018011,              0.0018011
                     12,                 2.1677,                 1.0666,                 1.7768,                0.78728,                0.74667,                0.77438,                0.32182,                 2.0998,                0.99592,                 1.7358,              0.0017812,              0.0017812,              0.0017812
                     13,                 2.1401,                  1.039,                 1.7767,                 0.8119,                0.76444,                0.77014,                0.31912,                 2.0669,                0.98605,                 1.6875,              0.0017613,              0.0017613,              0.0017613
                     14,                 2.0854,                 1.0346,                 1.7142,                0.81517,                0.75483,                0.77575,                0.33205,                 2.0105,                0.98169,                 1.6616,              0.0017414,              0.0017414,              0.0017414
                     15,                 2.0852,                 1.0237,                 1.7315,                0.78567,                0.72395,                0.73187,                0.31198,                  2.112,                0.95282,                 1.7081,              0.0017215,              0.0017215,              0.0017215
                     16,                 2.0401,                 1.0025,                 1.6833,                0.84047,                 0.7527,                0.78944,                0.34226,                  1.974,                0.94861,                 1.6318,              0.0017016,              0.0017016,              0.0017016
                     17,                 2.0356,                 1.0207,                 1.6809,                0.84201,                0.78422,                0.81172,                0.36099,                 1.9558,                0.94023,                 1.6016,              0.0016817,              0.0016817,              0.0016817
                     18,                 1.9878,                0.96458,                 1.6517,                0.82009,                0.78146,                0.82339,                0.35797,                 1.9554,                0.98135,                 1.6159,              0.0016618,              0.0016618,              0.0016618
                     19,                   1.98,                0.94376,                 1.6282,                0.86249,                 0.7971,                0.85232,                0.36438,                 1.9595,                 0.9709,                 1.6026,              0.0016419,              0.0016419,              0.0016419
                     20,                 1.9536,                0.94893,                 1.6143,                0.85148,                0.78974,                 0.8333,                0.37681,                 1.9024,                0.93733,                 1.5622,               0.001622,               0.001622,               0.001622
                     21,                 1.9535,                0.95296,                 1.6168,                0.81549,                0.79411,                0.83783,                0.38075,                 1.9228,                0.96528,                 1.5754,              0.0016021,              0.0016021,              0.0016021
                     22,                 1.9384,                 0.9579,                 1.5918,                0.86499,                0.80377,                0.84911,                0.38946,                 1.8896,                0.91337,                 1.5487,              0.0015822,              0.0015822,              0.0015822
                     23,                 1.8861,                 0.9114,                 1.5642,                0.82063,                0.76881,                 0.8121,                0.35712,                 1.9454,                0.94447,                 1.5827,              0.0015623,              0.0015623,              0.0015623
                     24,                 1.8748,                0.90191,                 1.5542,                0.85245,                0.79208,                0.85011,                0.37609,                 1.9554,                 0.9647,                 1.5832,              0.0015425,              0.0015425,              0.0015425
                     25,                 1.8862,                0.90613,                 1.5599,                0.87276,                 0.8189,                0.86218,                0.39523,                 1.8839,                0.94011,                 1.5382,              0.0015226,              0.0015226,              0.0015226
                     26,                 1.8694,                0.90975,                 1.5444,                0.76075,                0.75063,                0.80849,                0.34873,                 1.9614,                 1.0425,                 1.5835,              0.0015027,              0.0015027,              0.0015027
                     27,                 1.8614,                0.91195,                 1.5385,                0.84719,                 0.8073,                0.82821,                0.37033,                 1.9009,                0.91342,                 1.5471,              0.0014828,              0.0014828,              0.0014828
                     28,                 1.8362,                0.88177,                 1.5222,                 0.8524,                0.81689,                0.85578,                0.38996,                 1.8801,                0.93812,                 1.5277,              0.0014629,              0.0014629,              0.0014629
                     29,                 1.8089,                0.85458,                 1.5139,                0.88544,                0.84811,                0.88622,                0.42177,                  1.836,                0.86939,                 1.5012,               0.001443,               0.001443,               0.001443
                     30,                 1.8091,                0.84361,                 1.5164,                0.81271,                0.78261,                 0.8412,                 0.3677,                 1.9539,                0.99595,                 1.5713,              0.0014231,              0.0014231,              0.0014231
                     31,                  1.775,                0.83407,                 1.4955,                0.89044,                0.84323,                0.89104,                0.42474,                 1.8467,                0.84574,                 1.5049,              0.0014032,              0.0014032,              0.0014032
                     32,                 1.7957,                0.85107,                  1.477,                0.87078,                0.80745,                 0.8361,                0.39331,                 1.8567,                0.81215,                 1.5081,              0.0013833,              0.0013833,              0.0013833
                     33,                  1.765,                0.82187,                 1.4856,                0.90417,                0.85086,                0.89941,                0.44658,                 1.7875,                0.80099,                 1.4593,              0.0013634,              0.0013634,              0.0013634
                     34,                  1.764,                0.81859,                 1.4652,                0.91848,                0.84493,                0.90374,                0.43137,                 1.8235,                0.81692,                 1.4784,              0.0013435,              0.0013435,              0.0013435
                     35,                 1.7547,                0.80155,                 1.4673,                0.91242,                0.83874,                0.89481,                0.44878,                 1.7635,                0.78682,                 1.4499,              0.0013236,              0.0013236,              0.0013236
                     36,                 1.7355,                0.80571,                  1.444,                 0.9213,                0.85369,                0.90057,                0.45366,                 1.7307,                0.76969,                 1.4338,              0.0013037,              0.0013037,              0.0013037
                     37,                 1.7137,                0.79458,                 1.4447,                0.91911,                0.86523,                0.91165,                0.46199,                  1.724,                0.79167,                 1.4258,              0.0012838,              0.0012838,              0.0012838
                     38,                 1.7094,                0.79694,                 1.4481,                0.89247,                0.83245,                0.89339,                0.44871,                 1.7735,                0.81566,                 1.4551,               0.001264,               0.001264,               0.001264
                     39,                 1.7139,                0.78684,                 1.4471,                0.91121,                0.85939,                0.89939,                0.44968,                 1.7466,                0.78221,                 1.4469,              0.0012441,              0.0012441,              0.0012441
                     40,                 1.6774,                0.77482,                 1.4202,                0.91114,                0.85864,                0.89575,                0.45682,                 1.7299,                0.79301,                 1.4324,              0.0012242,              0.0012242,              0.0012242
                     41,                 1.6615,                0.77232,                 1.4123,                0.90512,                 0.8461,                0.90773,                0.46342,                 1.7405,                0.79324,                  1.433,              0.0012043,              0.0012043,              0.0012043
                     42,                 1.6489,                 0.7515,                 1.4055,                0.90115,                0.84518,                0.89164,                 0.4013,                  1.939,                0.85085,                 1.5453,              0.0011844,              0.0011844,              0.0011844
                     43,                 1.6258,                0.74699,                 1.3968,                0.89838,                0.82701,                0.86486,                0.41647,                 1.8409,                0.75793,                 1.4989,              0.0011645,              0.0011645,              0.0011645
                     44,                 1.6262,                0.74518,                 1.3974,                0.91675,                0.85852,                  0.911,                0.46939,                  1.706,                0.75569,                 1.4177,              0.0011446,              0.0011446,              0.0011446
                     45,                 1.6285,                0.73467,                 1.3915,                 0.8896,                0.82678,                0.88004,                0.38663,                 1.9826,                0.86206,                 1.5745,              0.0011247,              0.0011247,              0.0011247
                     46,                 1.5961,                0.74123,                 1.3788,                0.92353,                0.85346,                0.90934,                0.45229,                 1.7808,                  0.766,                 1.4562,              0.0011048,              0.0011048,              0.0011048
                     47,                 1.5927,                0.73178,                 1.3612,                 0.9397,                0.87601,                0.92976,                0.49499,                 1.6523,                0.70768,                 1.3811,              0.0010849,              0.0010849,              0.0010849
                     48,                 1.5473,                0.70859,                 1.3553,                0.91667,                0.86798,                0.90768,                0.48108,                 1.6732,                0.71287,                 1.3975,               0.001065,               0.001065,               0.001065
                     49,                  1.545,                 0.7121,                 1.3491,                0.94654,                0.87571,                0.93124,                0.49925,                 1.6444,                0.71209,                 1.3801,              0.0010451,              0.0010451,              0.0010451
                     50,                 1.5283,                0.70161,                 1.3382,                0.93379,                0.88176,                0.92363,                0.49506,                 1.6415,                0.68584,                 1.3811,              0.0010252,              0.0010252,              0.0010252
                     51,                 1.5023,                0.68782,                 1.3127,                0.94207,                0.88199,                0.93283,                0.49886,                 1.6366,                0.70508,                 1.3742,              0.0010053,              0.0010053,              0.0010053
                     52,                 1.5024,                0.69407,                 1.3182,                0.94215,                0.88038,                0.93246,                0.50562,                 1.6298,                0.68327,                 1.3759,             0.00098545,             0.00098545,             0.00098545
                     53,                 1.4937,                0.68295,                 1.3107,                0.92866,                0.88567,                0.92379,                 0.5179,                 1.5775,                0.66741,                 1.3461,             0.00096555,             0.00096555,             0.00096555
                     54,                  1.478,                0.68612,                 1.3105,                0.93301,                0.88424,                0.93154,                0.49893,                 1.6155,                0.69458,                 1.3676,             0.00094566,             0.00094566,             0.00094566
                     55,                 1.4969,                0.69008,                 1.3078,                0.94412,                0.87838,                0.92961,                0.50984,                 1.6108,                0.68506,                 1.3662,             0.00092577,             0.00092577,             0.00092577
                     56,                  1.448,                0.67211,                 1.2892,                 0.9294,                0.86912,                0.91632,                0.44918,                 1.8076,                0.72891,                 1.4773,             0.00090587,             0.00090587,             0.00090587
                     57,                 1.4372,                0.67195,                 1.2879,                0.92621,                0.86128,                0.90431,                0.49802,                 1.6057,                0.67148,                 1.3675,             0.00088598,             0.00088598,             0.00088598
                     58,                  1.428,                 0.6639,                 1.2853,                 0.9398,                0.88703,                0.93718,                0.52687,                 1.5562,                0.67817,                 1.3345,             0.00086609,             0.00086609,             0.00086609
                     59,                 1.4147,                0.65007,                 1.2706,                0.95075,                0.88372,                0.93769,                0.53281,                 1.5318,                0.65893,                 1.3247,             0.00084619,             0.00084619,             0.00084619
                     60,                 1.3999,                0.65537,                 1.2749,                 0.9441,                0.88475,                0.94041,                0.53419,                 1.5222,                0.66563,                 1.3221,              0.0008263,              0.0008263,              0.0008263
                     61,                 1.3793,                0.64781,                 1.2593,                0.94323,                0.89433,                0.94079,                0.53906,                 1.5095,                0.65896,                 1.3155,             0.00080641,             0.00080641,             0.00080641
                     62,                 1.3512,                0.63444,                 1.2362,                0.94225,                0.89165,                0.93428,                0.53583,                 1.5249,                0.65566,                 1.3167,             0.00078651,             0.00078651,             0.00078651
