                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1204,                 2.6187,                 3.8825,                0.00678,                0.02761,                0.00554,                0.00157,                  5.971,                 3.0749,                 4.1432,                0.00062,                0.00062,                0.00062
                      2,                 3.6675,                 1.8568,                 3.2702,                   0.02,                0.01058,                0.01038,                0.00345,                 6.2752,                 4.9648,                 4.9134,              0.0012475,              0.0012475,              0.0012475
                      3,                 2.9538,                 1.5071,                 2.5493,                0.43209,                0.40741,                0.29901,                0.10555,                 3.1012,                 1.6063,                 2.7125,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.6794,                 1.4031,                 2.2857,                0.58361,                0.52887,                0.45021,                0.14941,                 2.6783,                 1.9741,                 2.3272,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5487,                 1.3298,                 2.1211,                0.43736,                0.56315,                0.39039,                0.13647,                 2.6536,                 1.5739,                 2.1968,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4763,                 1.2669,                 2.0025,                0.51146,                0.51139,                0.45094,                0.16388,                 2.5131,                   2.15,                 2.0993,               0.001901,               0.001901,               0.001901
                      7,                 2.4482,                 1.2965,                 1.9545,                0.56028,                0.66536,                0.55512,                0.20851,                 2.2663,                 1.2821,                 1.8783,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.3798,                 1.2308,                 1.8658,                0.55656,                 0.6967,                0.57818,                0.21538,                 2.2839,                 1.2623,                 1.8727,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3663,                 1.2448,                 1.8533,                0.66772,                 0.6784,                0.67343,                0.26672,                 2.2112,                 1.2565,                 1.8034,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3297,                 1.1905,                 1.7948,                0.72362,                0.71251,                0.67294,                0.26384,                 2.1759,                 1.1455,                 1.7794,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3313,                 1.1963,                 1.7851,                0.69915,                 0.6945,                0.69069,                0.28956,                 2.0947,                 1.1052,                 1.7145,               0.001802,               0.001802,               0.001802
                     12,                 2.2508,                 1.1621,                 1.7361,                0.77162,                0.73706,                 0.7453,                0.28023,                 2.0692,                 1.1483,                 1.7154,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2446,                 1.1247,                 1.6935,                0.76149,                0.68829,                0.72805,                0.28154,                 2.0689,                 1.1128,                 1.7302,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2334,                  1.142,                 1.7012,                0.73221,                0.67035,                0.68298,                0.28701,                 2.0835,                 1.1092,                 1.6924,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2147,                 1.1447,                 1.6969,                0.78527,                0.72769,                0.72813,                0.30109,                 2.0416,                 1.0475,                 1.6569,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1738,                 1.0877,                 1.6424,                0.84233,                0.76689,                0.78704,                0.33024,                  1.987,                 1.0194,                 1.6124,               0.001703,               0.001703,               0.001703
                     17,                 2.1858,                 1.1098,                 1.6719,                0.81682,                0.75088,                0.78079,                 0.3389,                 2.0121,                 1.0437,                 1.6343,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1687,                 1.0808,                 1.6301,                0.80433,                0.74137,                0.73934,                0.27794,                 2.0737,                  1.096,                 1.6652,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1296,                 1.0813,                 1.6238,                0.82419,                0.75384,                 0.7871,                0.33948,                 1.9889,                 1.0524,                 1.6151,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1346,                 1.0708,                 1.6054,                0.77732,                0.75109,                0.78748,                0.34064,                 1.9512,                 1.0864,                 1.5956,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0661,                 1.0617,                 1.5944,                0.86146,                0.78721,                0.83312,                0.34611,                 1.9689,                  1.037,                 1.5926,               0.001604,               0.001604,               0.001604
                     22,                 2.0842,                 1.0468,                 1.5689,                0.83812,                0.75514,                 0.7809,                0.34231,                 1.9286,                0.98285,                 1.5756,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0596,                 1.0442,                 1.5589,                0.84557,                0.74819,                0.80261,                0.36504,                 1.9115,                0.99848,                 1.5604,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0492,                 1.0098,                  1.539,                0.89273,                0.79065,                0.83229,                0.36917,                  1.919,                0.96821,                 1.5646,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0367,                 1.0307,                 1.5479,                0.87866,                0.77985,                 0.8361,                0.37566,                 1.8856,                0.96655,                  1.538,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0382,                  1.026,                 1.5316,                0.88521,                0.79121,                0.83788,                0.36155,                 1.9416,                0.99328,                 1.5613,               0.001505,               0.001505,               0.001505
                     27,                 2.0524,                 1.0491,                 1.5271,                0.87306,                0.81251,                0.84406,                0.36743,                 1.8887,                 0.9831,                 1.5257,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0062,                 1.0248,                 1.5384,                0.86427,                0.78882,                0.85483,                0.37484,                 1.9175,                 0.9973,                 1.5505,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.0143,                 1.0267,                 1.5286,                0.86224,                 0.7761,                0.83153,                0.37251,                  1.895,                0.99462,                 1.5373,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9721,                0.98889,                 1.5168,                0.88669,                0.78698,                0.82502,                0.35012,                 1.9602,                0.96394,                 1.5661,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9862,                 1.0185,                 1.5219,                0.87805,                0.79833,                0.85018,                0.36919,                 1.9187,                0.98064,                 1.5486,               0.001406,               0.001406,               0.001406
                     32,                  2.018,                 1.0598,                 1.5293,                 0.8399,                0.76636,                0.79972,                0.36235,                 1.8657,                  1.002,                 1.5171,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9643,                0.99837,                 1.4901,                0.87832,                0.78721,                0.82688,                0.36799,                 1.8726,                0.96746,                 1.5201,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9465,                0.97661,                 1.4787,                0.89067,                0.80607,                0.86518,                0.39069,                 1.8323,                 0.9654,                 1.4914,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9344,                0.97149,                 1.4759,                 0.8837,                0.81343,                0.84737,                0.38403,                 1.8733,                0.93766,                  1.516,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9223,                0.96797,                  1.475,                 0.8969,                0.81504,                0.87102,                0.39031,                 1.8612,                0.94925,                 1.5009,               0.001307,               0.001307,               0.001307
                     37,                 1.9147,                0.95652,                  1.476,                0.86211,                0.79823,                 0.8476,                0.36553,                 1.9464,                 1.0328,                 1.5537,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8918,                0.95636,                 1.4687,                0.89373,                0.78997,                0.85594,                0.39214,                 1.8362,                0.96582,                 1.4969,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.912,                  0.951,                  1.473,                0.86408,                0.78192,                0.84031,                0.38595,                 1.8473,                0.95996,                 1.5099,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9189,                0.97183,                 1.5017,                0.87574,                0.80416,                0.84183,                0.38494,                 1.8289,                0.95773,                  1.492,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9103,                0.96076,                 1.4657,                0.85156,                0.76375,                 0.7922,                0.35869,                   1.86,                 0.9254,                 1.5081,               0.001208,               0.001208,               0.001208
                     42,                 1.8997,                0.96577,                 1.4795,                0.87564,                0.77265,                0.82364,                0.38669,                 1.8374,                0.92609,                 1.4936,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8798,                0.95231,                  1.445,                0.81114,                 0.7481,                0.76926,                0.33506,                 1.9178,                0.97655,                   1.55,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8981,                0.93861,                 1.4693,                0.84846,                0.76375,                 0.8017,                 0.3674,                 1.8432,                0.95647,                 1.5049,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8501,                0.93901,                 1.4373,                0.90879,                0.82748,                0.87953,                0.40439,                 1.8525,                0.89844,                 1.4885,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8456,                0.91251,                 1.4331,                0.91064,                0.81389,                0.87765,                0.38241,                 1.9234,                0.95165,                 1.5277,               0.001109,               0.001109,               0.001109
                     47,                 1.8425,                0.91777,                  1.415,                0.91001,                0.82678,                0.87586,                  0.408,                 1.8325,                0.90864,                 1.4771,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8215,                0.88272,                 1.4269,                0.90444,                0.83173,                0.88289,                0.41066,                 1.8392,                0.89857,                 1.4747,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8258,                0.89622,                 1.4173,                0.91462,                0.83046,                0.87835,                0.41129,                 1.8211,                0.87621,                 1.4709,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8054,                0.89195,                 1.4215,                0.91374,                0.83966,                0.88267,                0.40597,                 1.8747,                0.88889,                 1.4949,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8028,                0.86791,                 1.4019,                0.90937,                0.81942,                0.87967,                 0.4122,                 1.8535,                0.89786,                 1.4875,                0.00101,                0.00101,                0.00101
                     52,                  1.798,                  0.878,                 1.4132,                0.89126,                0.80699,                0.87456,                0.41435,                 1.8368,                0.91485,                 1.4788,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8708,                0.90551,                 1.4201,                0.80499,                0.74072,                0.76227,                0.31161,                 2.0063,                0.95356,                 1.6071,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.8028,                0.87518,                 1.4129,                0.89138,                 0.8369,                0.88073,                0.40548,                 1.8579,                0.90135,                 1.4909,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.809,                0.86112,                 1.3774,                0.88748,                0.82862,                0.86298,                0.40962,                 1.7976,                0.85415,                 1.4624,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7745,                 0.8523,                 1.4028,                0.89398,                0.82057,                0.87127,                0.40491,                 1.8292,                0.89529,                 1.4749,               0.000911,               0.000911,               0.000911
                     57,                 1.7875,                0.85796,                 1.4025,                0.91484,                 0.8484,                0.89198,                0.42072,                  1.799,                0.86806,                 1.4549,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7599,                0.85399,                  1.382,                0.91273,                0.84212,                0.89269,                0.43787,                 1.7495,                0.84411,                 1.4329,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7525,                0.83981,                 1.3811,                0.90036,                0.84816,                0.89957,                0.43468,                 1.7845,                0.82858,                 1.4425,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7232,                0.81595,                  1.362,                0.91315,                0.84416,                  0.907,                0.44636,                 1.7789,                0.82136,                 1.4435,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7241,                0.81725,                 1.3812,                0.90991,                0.83621,                0.88938,                 0.4338,                 1.7572,                0.82931,                 1.4377,               0.000812,               0.000812,               0.000812
                     62,                 1.7536,                0.81073,                  1.355,                0.90946,                0.86266,                0.90112,                0.44192,                 1.7621,                0.79839,                 1.4341,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7109,                0.80544,                 1.3438,                0.91203,                0.84748,                0.90659,                0.42425,                 1.8718,                0.84404,                  1.497,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7258,                0.80242,                 1.3594,                0.91954,                0.85971,                0.90589,                0.43821,                 1.8378,                0.82066,                 1.4689,              0.0007526,              0.0007526,              0.0007526
