                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2725,                 2.4765,                  1.921,                0.38586,                0.34171,                 0.2855,                 0.1072,                 2.4198,                 2.1629,                 2.4839,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.2191,                 1.8929,                 2.0926,                0.54345,                0.47739,                0.42994,                 0.1857,                 2.2448,                 1.6858,                 2.3678,             0.00017822,             0.00017822,             0.00017822
                      3,                 2.2152,                 1.7925,                 2.2267,                0.53734,                0.51256,                0.44386,                0.15751,                 2.3407,                 1.6504,                 2.5103,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.9779,                 1.6167,                 1.8117,                0.57819,                0.50251,                0.49976,                0.19635,                 2.0279,                 1.8263,                 2.2392,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.8828,                 1.4017,                 1.7133,                0.60169,                0.45226,                0.52127,                0.21464,                 2.0476,                 1.8344,                 2.2297,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.7623,                 1.2979,                 1.6884,                0.54746,                0.43162,                0.47566,                0.17308,                 2.1217,                 1.8276,                 2.2938,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.7764,                 1.2373,                 1.6323,                 0.5464,                0.49246,                0.48289,                0.16647,                 2.1917,                 1.8964,                 2.3891,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.7694,                 1.2192,                 1.6288,                0.47675,                0.57789,                0.47342,                0.17408,                 2.2241,                 2.0266,                 2.4103,             0.00072595,             0.00072595,             0.00072595
                      9,                 2.1223,                 1.6451,                 2.1037,                0.58625,                0.53266,                 0.5248,                0.18244,                 2.2018,                 1.9695,                 2.3846,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.9137,                 1.2817,                 1.8855,                0.57472,                0.57789,                0.56088,                0.20984,                 2.1777,                 1.7287,                 2.3786,             0.00089268,             0.00089268,             0.00089268
                     11,                 2.1313,                 1.7651,                 2.3147,                0.57496,                0.52764,                0.51888,                0.19861,                 2.2034,                 1.6295,                 2.3715,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.7582,                 1.1999,                 1.6056,                0.49697,                0.56281,                0.48849,                0.17712,                 2.2206,                 1.6751,                 2.3985,              0.0010515,              0.0010515,              0.0010515
                     13,                  1.729,                 1.2928,                 1.7321,                0.50839,                0.60302,                0.52821,                0.18678,                 2.1738,                 1.7656,                 2.3658,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.7762,                 1.1637,                 1.6611,                0.53083,                0.49465,                 0.5181,                0.22678,                 2.0328,                  2.536,                 2.2027,              0.0012024,              0.0012024,              0.0012024
                     15,                  1.694,                 1.2967,                 1.7347,                0.47557,                0.51759,                0.50099,                0.22525,                 2.0355,                 2.7427,                 2.2073,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.8911,                 1.2838,                 1.9492,                0.59592,                0.47739,                0.55765,                0.24854,                  2.067,                 2.2296,                 2.2419,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.9249,                 1.3871,                 1.9048,                0.58886,                0.59799,                 0.6114,                0.27381,                   1.99,                  1.786,                 2.1454,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.7987,                 1.1696,                 1.6872,                0.49654,                0.59969,                 0.5393,                0.23139,                 2.0176,                 1.9827,                 2.1547,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.7372,                 1.1714,                 1.6775,                0.49133,                0.60302,                0.53904,                0.23505,                 1.9717,                  2.153,                 2.1362,               0.001545,               0.001545,               0.001545
                     20,                 1.6868,                 1.1317,                  1.598,                0.63043,                0.60006,                0.66142,                0.28679,                 1.9343,                 1.6244,                  2.117,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.8809,                 1.6844,                 1.9242,                0.59154,                0.57286,                0.61619,                 0.2734,                 2.0558,                 1.6281,                 2.1881,               0.001604,               0.001604,               0.001604
                     22,                 1.8033,                 1.1106,                 1.6593,                0.61962,                0.55663,                0.61785,                 0.2572,                 2.1465,                 1.5609,                 2.2471,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6434,                  1.062,                 1.5965,                0.66553,                0.51256,                0.62937,                0.26559,                  2.084,                 1.5012,                 2.2084,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7804,                 1.1789,                 1.7134,                0.61307,                0.59716,                0.64368,                0.27748,                 2.0225,                 1.4403,                 2.1465,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6187,                  1.065,                 1.6362,                0.61526,                0.63317,                0.65586,                0.27392,                 2.0094,                  1.415,                 2.1417,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7005,                 1.5759,                  1.936,                0.70546,                0.57773,                0.62946,                0.27819,                 1.9834,                 1.4802,                 2.1041,               0.001505,               0.001505,               0.001505
                     27,                 1.8216,                 1.2925,                 1.8491,                0.65758,                0.58794,                0.62379,                0.25288,                 2.0646,                 1.4639,                 2.1726,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8038,                  1.468,                 1.8702,                0.67031,                0.60804,                0.65345,                0.27704,                 2.0133,                 1.4139,                  2.138,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5716,                0.97033,                  1.556,                0.69984,                0.65327,                 0.6964,                0.29697,                 1.9627,                  1.425,                 2.0882,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.7889,                 1.2483,                 1.8551,                0.72664,                0.58794,                0.65144,                0.26839,                 2.0165,                 1.6033,                 2.1234,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7085,                 1.0171,                 1.6047,                0.63391,                0.60302,                0.60563,                 0.2653,                 1.9597,                 1.7479,                 2.0512,               0.001406,               0.001406,               0.001406
                     32,                 1.6889,                 1.0417,                 1.6067,                  0.598,                0.55779,                0.57838,                0.25586,                 1.9041,                 1.7238,                 2.0306,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.6548,                 1.0151,                 1.5564,                0.57052,                0.58794,                0.59918,                0.24831,                 1.9752,                 1.6395,                 2.0966,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7853,                 1.2584,                 1.9252,                 0.6665,                0.61307,                 0.6567,                0.28269,                 1.9246,                 1.4784,                 2.0623,              0.0013466,              0.0013466,              0.0013466
