                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0384,                 2.5386,                 3.8227,                0.01838,                 0.0765,                0.01423,                0.00387,                 5.2442,                 2.4878,                  3.539,             0.00065574,             0.00065574,             0.00065574
                      2,                 3.3274,                   1.67,                 2.8213,                0.39846,                0.33668,                0.23887,                0.07766,                 3.5916,                 1.8903,                  2.902,              0.0013137,              0.0013137,              0.0013137
                      3,                 2.7681,                  1.466,                 2.3368,                0.64984,                 0.5901,                0.57002,                0.20033,                 2.5268,                 1.2487,                 2.1045,              0.0019628,              0.0019628,              0.0019628
                      4,                 2.6036,                 1.3842,                 2.1418,                 0.6357,                0.66441,                0.61734,                0.22205,                 2.2635,                 1.2095,                 1.8796,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.5249,                 1.3173,                 1.9968,                0.66409,                0.61713,                0.62239,                0.24447,                 2.2252,                 1.3039,                 1.8213,              0.0019472,              0.0019472,              0.0019472
                      6,                 2.4892,                 1.2777,                 1.9308,                0.78479,                0.72105,                0.74118,                 0.2644,                 2.1565,                 1.2361,                 1.7386,               0.001934,               0.001934,               0.001934
                      7,                 2.4202,                  1.224,                 1.8363,                0.64964,                0.61041,                0.61808,                 0.2341,                 2.2985,                 1.1084,                 1.8287,              0.0019208,              0.0019208,              0.0019208
                      8,                 2.3877,                 1.2089,                 1.8074,                0.73235,                0.70477,                0.72655,                0.28345,                 2.0691,                 1.1474,                 1.6967,              0.0019076,              0.0019076,              0.0019076
                      9,                 2.3127,                 1.1694,                  1.752,                 0.7894,                0.74597,                0.77354,                0.30058,                   2.04,                 1.1208,                 1.6388,              0.0018944,              0.0018944,              0.0018944
                     10,                 2.3023,                 1.1766,                 1.7456,                0.84904,                0.75988,                0.80569,                0.33876,                 1.9889,                 1.0625,                 1.5985,              0.0018812,              0.0018812,              0.0018812
                     11,                 2.2869,                 1.1857,                 1.7321,                0.83715,                0.72795,                0.76961,                0.34189,                 1.9701,                 1.0044,                 1.5814,               0.001868,               0.001868,               0.001868
                     12,                  2.248,                 1.1314,                 1.6695,                0.84412,                0.74329,                0.79499,                0.34466,                 1.9399,                0.98323,                 1.5707,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.2516,                  1.145,                  1.666,                0.73695,                0.66703,                0.70879,                0.30321,                 2.0422,                  1.041,                 1.6393,              0.0018416,              0.0018416,              0.0018416
                     14,                  2.215,                  1.113,                 1.6574,                0.83897,                0.79167,                0.82591,                0.34842,                  1.953,                 1.0107,                 1.5587,              0.0018284,              0.0018284,              0.0018284
                     15,                 2.1983,                 1.1037,                 1.6703,                0.85518,                0.76768,                0.82417,                0.35163,                 1.9333,                 1.0259,                 1.5374,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.1671,                 1.0878,                 1.6124,                 0.8604,                0.75735,                0.82004,                 0.3606,                 1.8766,                0.98161,                 1.5217,               0.001802,               0.001802,               0.001802
                     17,                 2.1662,                  1.084,                 1.6264,                0.85982,                0.77047,                0.83442,                0.35159,                 1.9217,                 1.0283,                 1.5298,              0.0017888,              0.0017888,              0.0017888
                     18,                 2.1645,                 1.0752,                 1.6186,                0.88564,                0.80456,                0.85423,                0.35421,                 1.9495,                 1.0096,                 1.5393,              0.0017756,              0.0017756,              0.0017756
                     19,                 2.1508,                 1.0915,                 1.6111,                0.83589,                0.79332,                0.82181,                0.37789,                 1.8533,                0.97269,                 1.5001,              0.0017624,              0.0017624,              0.0017624
                     20,                 2.1409,                 1.0968,                 1.6192,                0.84454,                0.79448,                0.84035,                0.37084,                 1.8671,                 1.0107,                 1.4992,              0.0017492,              0.0017492,              0.0017492
                     21,                 2.1128,                 1.0582,                 1.5942,                0.85704,                0.78041,                0.83678,                0.38003,                 1.8139,                0.98624,                 1.4735,               0.001736,               0.001736,               0.001736
                     22,                 2.0924,                  1.048,                 1.5829,                0.84528,                0.78899,                0.83707,                0.37847,                 1.8746,                 1.0015,                 1.5031,              0.0017228,              0.0017228,              0.0017228
                     23,                 2.1145,                 1.0746,                 1.6003,                0.83349,                0.74484,                0.79182,                 0.3587,                 1.8557,                0.91305,                 1.5072,              0.0017096,              0.0017096,              0.0017096
                     24,                 2.0521,                 1.0119,                 1.5367,                0.88112,                0.80354,                 0.8631,                0.38917,                 1.8811,                0.95896,                 1.4912,              0.0016964,              0.0016964,              0.0016964
                     25,                 2.0526,                  1.019,                 1.5602,                0.87929,                0.79186,                 0.8456,                0.38806,                  1.866,                0.93208,                 1.4925,              0.0016832,              0.0016832,              0.0016832
                     26,                 2.0518,                 1.0042,                 1.5543,                0.86025,                0.81395,                0.85335,                0.38358,                 1.8696,                0.93938,                 1.4927,                0.00167,                0.00167,                0.00167
                     27,                 2.0583,                 1.0179,                 1.5418,                0.86266,                0.79076,                0.84786,                0.39374,                 1.8141,                0.89192,                 1.4768,              0.0016568,              0.0016568,              0.0016568
                     28,                 2.0391,                0.99355,                 1.5354,                0.87789,                0.80859,                0.86829,                 0.4006,                 1.8354,                0.91722,                  1.477,              0.0016436,              0.0016436,              0.0016436
                     29,                 2.0175,                0.97991,                 1.5129,                0.86982,                0.79879,                0.86368,                0.40954,                   1.77,                0.91771,                 1.4491,              0.0016304,              0.0016304,              0.0016304
                     30,                 2.0256,                0.97942,                 1.5373,                0.86683,                0.82034,                0.85776,                0.39437,                 1.8661,                 0.9266,                 1.4841,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.9996,                0.97543,                 1.5101,                0.85343,                0.79843,                0.82544,                 0.3686,                  1.855,                0.89772,                 1.4935,               0.001604,               0.001604,               0.001604
                     32,                 1.9852,                0.95562,                 1.5161,                0.88707,                0.80743,                  0.854,                0.39495,                 1.8039,                0.89158,                 1.4533,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.9547,                0.93335,                 1.4832,                0.88628,                0.81377,                0.87221,                0.41066,                 1.8172,                0.87158,                 1.4646,              0.0015776,              0.0015776,              0.0015776
                     34,                  1.983,                0.95274,                 1.5048,                0.88773,                0.81139,                0.86688,                0.41394,                 1.7915,                0.84461,                 1.4588,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.9917,                0.96039,                 1.5163,                 0.8703,                0.82856,                 0.8746,                0.42337,                  1.769,                0.87041,                 1.4375,              0.0015512,              0.0015512,              0.0015512
                     36,                 2.0088,                0.96302,                 1.5137,                0.91055,                 0.8092,                0.87473,                0.42736,                 1.7823,                0.85125,                 1.4335,               0.001538,               0.001538,               0.001538
                     37,                 1.9421,                0.93299,                 1.4894,                0.86942,                0.79697,                0.84735,                0.39178,                 1.8415,                0.90174,                 1.4742,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.9317,                0.93268,                 1.4967,                0.88977,                0.81906,                0.87624,                0.42741,                 1.7801,                0.85913,                 1.4351,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.9438,                 0.9283,                 1.4732,                  0.899,                0.81541,                0.87478,                0.40697,                 1.8621,                0.86823,                 1.4701,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.9006,                0.91107,                 1.4639,                0.88575,                0.81158,                0.87133,                0.41635,                 1.7928,                0.83317,                 1.4551,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.9592,                0.93156,                 1.5097,                0.87182,                0.80792,                0.85698,                 0.4095,                 1.7723,                0.80904,                 1.4397,               0.001472,               0.001472,               0.001472
                     42,                 1.8932,                0.91416,                  1.466,                0.89612,                0.84895,                0.89438,                0.42477,                 1.7934,                 0.8057,                 1.4353,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.9066,                0.90288,                 1.4651,                0.88976,                0.82363,                0.88277,                0.40629,                 1.8671,                0.87409,                 1.4699,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.9031,                0.90288,                 1.4708,                0.87359,                  0.805,                0.85842,                0.39545,                 1.8423,                0.83032,                 1.4794,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.8855,                0.89777,                 1.4665,                0.88918,                0.81851,                0.87199,                0.42379,                 1.8092,                0.82886,                 1.4428,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.8639,                0.87459,                 1.4288,                0.88919,                0.82965,                0.88155,                0.42339,                  1.781,                0.84234,                 1.4421,               0.001406,               0.001406,               0.001406
