                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4796,                 2.8768,                 3.9819,                0.00667,                0.02715,                0.00477,                0.00119,                 5.8082,                 3.0524,                 3.9798,                0.00062,                0.00062,                0.00062
                      2,                 4.3309,                 1.9921,                 3.4783,                0.02254,                0.09179,                0.01484,                0.00445,                 4.7724,                 2.3939,                 3.3707,              0.0012475,              0.0012475,              0.0012475
                      3,                 3.6606,                 1.7455,                 2.9172,                0.00972,                0.03957,                0.01044,                0.00238,                 5.6683,                 2.6736,                 3.9366,              0.0018624,              0.0018624,              0.0018624
                      4,                  3.026,                 1.6532,                 2.5859,                0.23322,                0.35013,                0.14246,                0.04812,                 3.4534,                 1.8638,                 3.0195,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.7374,                 1.4843,                 2.4026,                0.45975,                0.60617,                0.43143,                0.15896,                 2.5375,                 1.4054,                  2.422,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.646,                 1.3838,                 2.2412,                0.57276,                0.56959,                0.51616,                0.18385,                  2.374,                 1.4116,                 2.1211,               0.001901,               0.001901,               0.001901
                      7,                 2.5511,                 1.3562,                 2.1417,                0.34482,                0.37681,                0.25677,                0.07771,                 2.9514,                 1.5648,                 2.2801,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4595,                 1.2798,                 2.0141,                 0.5744,                0.58369,                0.53574,                0.20094,                   2.37,                  1.295,                 2.0015,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3999,                 1.2661,                 1.9779,                0.61821,                0.65793,                0.59948,                0.22035,                 2.2756,                 1.2035,                  1.894,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3781,                 1.2272,                 1.8889,                 0.7036,                0.70662,                 0.6968,                0.27749,                 2.1513,                 1.1335,                 1.7953,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3809,                 1.2117,                  1.866,                0.74611,                0.70578,                0.71718,                0.28359,                 2.1489,                  1.094,                 1.7805,               0.001802,               0.001802,               0.001802
                     12,                 2.3065,                 1.1562,                   1.81,                0.74814,                0.75569,                0.73115,                0.28726,                 2.0696,                 1.0834,                 1.7353,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2823,                  1.135,                 1.7502,                0.81877,                0.72326,                0.75961,                0.30788,                 2.0817,                 1.0812,                 1.7221,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2853,                 1.1487,                 1.7637,                0.70172,                0.67426,                0.65172,                0.25693,                 2.1645,                 1.0874,                 1.7704,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2812,                 1.1633,                 1.7599,                0.74524,                 0.7288,                0.74662,                0.29197,                 2.1107,                 1.0725,                 1.7051,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2216,                  1.118,                 1.6923,                 0.7945,                0.74925,                0.75795,                0.30198,                 2.0493,                 1.0387,                 1.6733,               0.001703,               0.001703,               0.001703
                     17,                 2.2235,                 1.1197,                 1.7102,                0.77795,                0.74066,                0.74508,                0.31639,                 2.0509,                 1.0415,                 1.6891,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.212,                 1.1171,                  1.681,                 0.7816,                0.76068,                0.76535,                0.30225,                 2.0022,                 1.0656,                 1.6488,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.172,                 1.1027,                 1.6642,                0.85454,                0.76904,                0.80338,                0.34457,                  1.992,                0.99638,                 1.6266,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1664,                 1.0858,                 1.6406,                0.83329,                0.77847,                0.80618,                0.34274,                 1.9544,                 1.0358,                  1.597,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1057,                 1.0751,                 1.6313,                0.78989,                0.75822,                0.78533,                0.31855,                 2.0139,                 1.0815,                 1.6402,               0.001604,               0.001604,               0.001604
                     22,                 2.1214,                 1.0697,                 1.6059,                0.80605,                0.74925,                0.78612,                0.34393,                 1.9536,                 1.0077,                 1.5913,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.1117,                 1.0895,                 1.6027,                0.72036,                0.64237,                0.64666,                 0.2551,                 2.1516,                 1.0658,                  1.718,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1012,                 1.0488,                 1.5711,                0.78908,                0.72395,                 0.7363,                0.31651,                 1.9955,                 1.0296,                  1.611,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0706,                 1.0851,                 1.5774,                0.83194,                0.78346,                0.81526,                0.34299,                 1.9195,                 1.0371,                 1.5764,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0658,                  1.038,                 1.5513,                0.85604,                 0.7879,                0.83083,                0.36517,                 1.9299,                 1.0004,                 1.5631,               0.001505,               0.001505,               0.001505
                     27,                 2.0808,                  1.055,                  1.553,                0.86824,                0.78672,                0.83122,                0.37376,                 1.8871,                 1.0014,                 1.5376,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0208,                 1.0331,                 1.5528,                0.87349,                0.79526,                0.84578,                0.37121,                 1.9291,                0.99711,                 1.5641,              0.0014654,              0.0014654,              0.0014654
                     29,                  2.052,                 1.0275,                 1.5534,                0.85155,                 0.7997,                0.83565,                0.35721,                 1.9239,                 1.0705,                 1.5559,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9988,                  1.009,                 1.5385,                0.86623,                0.78813,                0.81858,                0.36827,                 1.8938,                0.93715,                 1.5416,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.0251,                 1.0111,                 1.5402,                0.85817,                0.79342,                 0.8503,                0.36837,                 1.9378,                0.99063,                 1.5589,               0.001406,               0.001406,               0.001406
                     32,                 2.0294,                 1.0606,                 1.5391,                0.81059,                0.76789,                0.81788,                 0.3485,                 1.9039,                 1.0221,                 1.5577,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.994,                  1.002,                 1.5124,                0.87617,                0.80216,                0.84674,                0.38513,                 1.8568,                0.94068,                 1.5119,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9711,                  1.003,                 1.4937,                0.87544,                0.80124,                0.84935,                0.39073,                 1.8349,                0.98294,                 1.5054,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9768,                0.99025,                 1.5012,                0.86082,                0.79534,                0.83149,                0.36864,                 1.8885,                 0.9761,                 1.5295,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9528,                0.99172,                 1.4959,                0.87381,                0.79756,                0.86056,                0.38907,                 1.8443,                0.95594,                 1.5098,               0.001307,               0.001307,               0.001307
                     37,                 1.9676,                 0.9769,                 1.5042,                0.89017,                0.79985,                 0.8614,                0.37833,                 1.9238,                0.99919,                 1.5485,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.9328,                0.97558,                 1.4915,                0.86903,                0.79434,                0.85151,                0.37777,                 1.8855,                0.99814,                 1.5235,              0.0012674,              0.0012674,              0.0012674
