                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4798,                 2.2369,                 3.7447,                 0.0061,                0.02484,                0.00399,                0.00115,                 5.9888,                 3.2548,                 4.1696,                0.00062,                0.00062,                0.00062
                      2,                 2.8452,                 1.3549,                 2.7148,                0.01857,                 0.0253,                0.01088,                 0.0032,                 6.1673,                  3.589,                 4.4988,              0.0012475,              0.0012475,              0.0012475
                      3,                  2.546,                  1.297,                 2.3385,                 0.0113,                0.04601,                0.01116,                0.00251,                 5.5191,                 2.7958,                 3.7865,              0.0018622,              0.0018622,              0.0018622
                      4,                 2.4424,                 1.2325,                 2.1481,                0.39533,                0.53152,                0.38457,                0.13969,                   2.48,                 1.4357,                 2.2065,              0.0019403,              0.0019403,              0.0019403
                      5,                 2.3948,                 1.1831,                  2.068,                0.54625,                0.56177,                0.42729,                0.14775,                 2.4987,                 1.8679,                 2.0903,              0.0019204,              0.0019204,              0.0019204
                      6,                 2.3192,                 1.1698,                 1.9744,                0.57858,                0.65102,                0.57347,                0.20772,                 2.3647,                 1.2834,                 1.9528,              0.0019005,              0.0019005,              0.0019005
                      7,                 2.2704,                  1.142,                 1.9183,                0.75402,                0.72027,                0.72452,                0.28808,                 2.1402,                 1.0921,                 1.7746,              0.0018806,              0.0018806,              0.0018806
                      8,                 2.2385,                 1.1319,                 1.8862,                0.71502,                 0.7037,                0.68661,                0.27485,                   2.23,                 1.1351,                 1.8317,              0.0018607,              0.0018607,              0.0018607
                      9,                 2.1997,                 1.1101,                 1.8325,                0.74495,                0.75224,                0.73707,                0.28871,                 2.1134,                 1.0796,                 1.7436,              0.0018409,              0.0018409,              0.0018409
                     10,                 2.1752,                 1.0949,                 1.7913,                0.79726,                0.74993,                0.76619,                0.32704,                 2.0246,                 1.0421,                 1.6739,               0.001821,               0.001821,               0.001821
                     11,                 2.1302,                 1.1005,                 1.7693,                0.74215,                 0.7182,                0.70391,                0.28756,                 2.0783,                 1.0474,                 1.7221,              0.0018011,              0.0018011,              0.0018011
                     12,                 2.0938,                 1.0635,                  1.721,                0.79645,                0.75638,                0.78978,                0.33769,                 2.0406,                 1.0193,                 1.6994,              0.0017812,              0.0017812,              0.0017812
                     13,                 2.0389,                 1.0489,                 1.7086,                0.83307,                0.78606,                0.80819,                0.35035,                 1.9481,                 1.0084,                 1.6097,              0.0017613,              0.0017613,              0.0017613
                     14,                 2.0307,                 1.0379,                 1.6655,                0.81099,                 0.7481,                0.78459,                0.35269,                 1.9318,                0.98814,                 1.5885,              0.0017414,              0.0017414,              0.0017414
                     15,                 2.0013,                 1.0437,                 1.6687,                0.81137,                0.74787,                0.76748,                 0.3299,                 2.0082,                0.96998,                 1.6328,              0.0017215,              0.0017215,              0.0017215
                     16,                 1.9801,                 1.0052,                 1.6357,                0.82569,                0.79549,                0.82589,                0.37676,                 1.8744,                0.98539,                 1.5507,              0.0017016,              0.0017016,              0.0017016
                     17,                 1.9795,                 1.0309,                  1.633,                0.83396,                0.77571,                0.80549,                0.35142,                  1.935,                0.96579,                 1.5849,              0.0016817,              0.0016817,              0.0016817
                     18,                 1.9487,                0.96977,                 1.6166,                0.84384,                0.80216,                0.84191,                0.37204,                 1.9313,                0.95756,                 1.5645,              0.0016618,              0.0016618,              0.0016618
                     19,                 1.9402,                0.96467,                 1.5941,                0.83588,                0.80101,                0.85108,                0.37997,                 1.9065,                0.96336,                 1.5679,              0.0016419,              0.0016419,              0.0016419
                     20,                 1.9132,                0.95531,                 1.5779,                0.78827,                0.79089,                0.82398,                0.35527,                 1.9209,                 1.0632,                 1.5409,               0.001622,               0.001622,               0.001622
                     21,                 1.9077,                0.94335,                 1.5758,                0.84732,                0.79871,                0.84608,                0.39185,                 1.8472,                0.93302,                 1.5243,              0.0016021,              0.0016021,              0.0016021
                     22,                 1.8905,                0.95661,                 1.5519,                0.83003,                0.78606,                0.82324,                0.37529,                 1.8611,                0.92306,                 1.5354,              0.0015822,              0.0015822,              0.0015822
                     23,                 1.8457,                0.91825,                 1.5294,                0.86802,                0.81704,                0.86248,                0.40371,                 1.8348,                0.88903,                 1.4962,              0.0015623,              0.0015623,              0.0015623
                     24,                 1.8372,                0.89785,                 1.5237,                0.88677,                0.81274,                0.88233,                0.41103,                 1.8462,                0.88499,                 1.5163,              0.0015425,              0.0015425,              0.0015425
                     25,                 1.8292,                0.89398,                 1.5152,                0.87354,                0.79135,                0.83907,                0.38443,                 1.8647,                0.88538,                 1.5242,              0.0015226,              0.0015226,              0.0015226
                     26,                  1.806,                0.87632,                 1.4995,                0.87357,                0.82816,                0.87494,                 0.4171,                 1.8089,                0.86572,                 1.4886,              0.0015027,              0.0015027,              0.0015027
                     27,                 1.7883,                0.85504,                 1.4878,                0.89741,                 0.8271,                0.87403,                0.42395,                 1.8231,                0.81625,                 1.4849,              0.0014828,              0.0014828,              0.0014828
                     28,                 1.7722,                0.83643,                 1.4707,                0.90666,                 0.8369,                0.88888,                0.41049,                 1.8487,                0.85196,                 1.4968,              0.0014629,              0.0014629,              0.0014629
                     29,                 1.7819,                0.83683,                 1.4885,                0.86746,                 0.8231,                0.84285,                0.38765,                 1.8515,                 0.8437,                 1.5063,               0.001443,               0.001443,               0.001443
                     30,                  1.756,                0.82073,                 1.4763,                0.87354,                0.81965,                0.87848,                0.37497,                 1.9515,                0.92623,                  1.556,              0.0014231,              0.0014231,              0.0014231
                     31,                 1.7268,                0.81044,                  1.459,                0.91228,                 0.8668,                0.91177,                0.44931,                 1.7979,                0.78168,                 1.4674,              0.0014032,              0.0014032,              0.0014032
                     32,                 1.7448,                0.81818,                  1.436,                 0.8892,                0.82158,                0.85676,                0.38422,                 1.8857,                0.83771,                 1.5225,              0.0013833,              0.0013833,              0.0013833
                     33,                 1.6802,                0.78727,                 1.4305,                0.91622,                0.85024,                0.90679,                0.45293,                 1.7675,                0.81618,                 1.4521,              0.0013634,              0.0013634,              0.0013634
                     34,                 1.6814,                0.78009,                 1.4125,                0.91289,                0.83874,                0.90412,                0.42579,                 1.9107,                0.82434,                 1.5285,              0.0013435,              0.0013435,              0.0013435
