                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6001,                 2.3014,                 3.7876,                0.00672,                0.02738,                0.00549,                0.00128,                 5.9863,                 3.2932,                 4.1706,             0.00052101,             0.00052101,             0.00052101
                      2,                 2.8761,                 1.3719,                 2.7589,                0.00352,                0.01403,                0.00178,                0.00048,                 6.1201,                 3.4141,                 4.3624,              0.0010484,              0.0010484,              0.0010484
                      3,                 2.5544,                 1.2491,                 2.3406,                0.00492,                0.02001,                0.00255,                0.00073,                 5.9698,                 3.2749,                 4.1913,              0.0015651,              0.0015651,              0.0015651
                      4,                 2.4381,                 1.1953,                 2.1405,                0.38985,                0.32183,                0.26371,                0.09644,                 2.9527,                 1.6042,                 2.4961,              0.0019407,              0.0019407,              0.0019407
                      5,                 2.3605,                 1.2027,                 2.0526,                0.37401,                 0.3476,                0.23665,                0.07566,                 3.2235,                 2.3623,                 2.8134,              0.0019209,              0.0019209,              0.0019209
                      6,                 2.3337,                 1.1569,                 1.9813,                0.66204,                0.65447,                0.61066,                0.22474,                 2.3072,                 1.2961,                 1.9258,              0.0019012,              0.0019012,              0.0019012
                      7,                 2.3005,                 1.1571,                  1.926,                0.76322,                0.72963,                0.73406,                0.28804,                 2.1538,                 1.0863,                 1.7931,              0.0018814,              0.0018814,              0.0018814
                      8,                 2.2236,                 1.1264,                 1.8732,                0.72255,                0.69135,                0.71404,                0.27719,                 2.1248,                 1.1237,                 1.7692,              0.0018616,              0.0018616,              0.0018616
                      9,                 2.1761,                 1.1023,                 1.8235,                0.77728,                  0.732,                0.75683,                0.32643,                 2.1037,                 1.0442,                 1.7415,              0.0018419,              0.0018419,              0.0018419
                     10,                 2.1962,                 1.0815,                 1.7959,                0.79341,                0.75272,                0.77021,                0.29777,                    2.1,                 1.0801,                 1.7237,              0.0018221,              0.0018221,              0.0018221
                     11,                 2.1304,                 1.0957,                 1.7691,                0.78041,                0.71728,                 0.7184,                0.30409,                 2.0279,                 1.0378,                 1.6809,              0.0018023,              0.0018023,              0.0018023
                     12,                 2.1112,                  1.069,                 1.7306,                0.74581,                0.68712,                 0.6621,                0.25449,                 2.2655,                 1.0311,                 1.7899,              0.0017825,              0.0017825,              0.0017825
                     13,                 2.0424,                 1.0485,                 1.7068,                0.79824,                0.76999,                0.77097,                0.33119,                  1.933,                 1.0093,                 1.6048,              0.0017628,              0.0017628,              0.0017628
                     14,                 2.0224,                 1.0391,                 1.6653,                0.75072,                0.73798,                0.74668,                0.32182,                 2.0105,                 1.0178,                 1.6546,               0.001743,               0.001743,               0.001743
                     15,                 2.0107,                 1.0265,                 1.6741,                 0.8476,                0.78882,                0.82239,                0.36923,                 1.9419,                0.94299,                 1.5931,              0.0017232,              0.0017232,              0.0017232
                     16,                 2.0037,                 1.0127,                  1.651,                0.78334,                 0.7685,                0.79191,                0.35249,                 1.9099,                 1.0251,                 1.5707,              0.0017035,              0.0017035,              0.0017035
                     17,                 1.9737,                 1.0306,                  1.631,                0.84693,                0.77897,                0.80023,                0.34748,                 1.9742,                0.94952,                 1.6084,              0.0016837,              0.0016837,              0.0016837
                     18,                 1.9458,                0.95351,                 1.6126,                0.87373,                0.81179,                0.86273,                0.38654,                 1.8879,                0.92049,                 1.5519,              0.0016639,              0.0016639,              0.0016639
                     19,                 1.9166,                0.95272,                 1.5833,                0.74602,                0.73384,                0.79442,                0.36033,                 1.9366,                   1.03,                 1.5937,              0.0016442,              0.0016442,              0.0016442
                     20,                 1.8978,                0.94266,                 1.5697,                0.86482,                0.82609,                0.86309,                0.38398,                 1.9249,                 0.9967,                 1.5489,              0.0016244,              0.0016244,              0.0016244
                     21,                 1.9008,                0.92426,                 1.5736,                0.82729,                0.80768,                0.86879,                0.40045,                 1.8255,                0.96132,                 1.5141,              0.0016046,              0.0016046,              0.0016046
                     22,                 1.8736,                0.93319,                 1.5416,                0.87532,                0.82201,                0.86075,                0.41872,                 1.8053,                0.87682,                 1.4917,              0.0015849,              0.0015849,              0.0015849
                     23,                 1.8328,                0.88732,                 1.5208,                 0.8725,                0.79972,                0.85314,                0.40992,                  1.809,                0.87712,                 1.4984,              0.0015651,              0.0015651,              0.0015651
                     24,                  1.824,                0.87622,                  1.516,                0.86459,                0.81758,                 0.8766,                0.41356,                 1.8616,                0.89325,                 1.5222,              0.0015453,              0.0015453,              0.0015453
                     25,                 1.8082,                0.87315,                 1.5052,                0.86071,                 0.8188,                0.84985,                 0.4016,                 1.8237,                0.91002,                 1.5083,              0.0015256,              0.0015256,              0.0015256
                     26,                 1.7923,                0.85791,                 1.4899,                 0.9039,                 0.8323,                0.88609,                0.43434,                  1.796,                0.81564,                 1.4691,              0.0015058,              0.0015058,              0.0015058
                     27,                 1.7942,                0.84539,                 1.4892,                0.89839,                0.82793,                0.86627,                0.41862,                 1.7981,                0.82874,                 1.4786,               0.001486,               0.001486,               0.001486
                     28,                 1.7858,                0.83245,                 1.4765,                0.87562,                0.81133,                0.84289,                0.40376,                 1.8243,                0.79423,                 1.4877,              0.0014663,              0.0014663,              0.0014663
                     29,                 1.7603,                0.81238,                  1.474,                0.88774,                 0.8415,                0.87283,                0.40189,                 1.8477,                 0.8485,                 1.5091,              0.0014465,              0.0014465,              0.0014465
                     30,                 1.7203,                0.79527,                 1.4565,                0.88541,                 0.8208,                0.87633,                0.40258,                 1.8739,                0.86223,                 1.5044,              0.0014267,              0.0014267,              0.0014267
