                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4577,                 3.0191,                 3.9146,                0.00441,                0.01794,                0.00233,                0.00065,                 5.8878,                 2.8886,                 4.0373,                0.00062,                0.00062,                0.00062
                      2,                 4.0259,                 1.9919,                 3.2892,                0.00514,                0.02093,                0.00263,                0.00057,                 5.7852,                 3.1438,                 3.9877,              0.0012475,              0.0012475,              0.0012475
                      3,                 3.0776,                 1.5568,                 2.6433,                0.35251,                0.37888,                0.20301,                0.06516,                 3.4483,                 6.8401,                 2.7848,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.8063,                 1.4553,                 2.4117,                0.37936,                0.41316,                0.32951,                 0.1095,                 2.9804,                 4.4172,                 2.9825,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5985,                 1.3342,                 2.2171,                0.38882,                0.34254,                0.23873,                0.07192,                 3.3466,                 3.8372,                 2.9934,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5151,                 1.2318,                 2.0689,                0.66818,                0.65686,                0.61064,                0.21964,                 2.4184,                 1.1789,                 2.0311,               0.001901,               0.001901,               0.001901
                      7,                 2.4789,                 1.2453,                 2.0122,                0.65042,                0.65424,                0.56471,                0.19731,                 2.4642,                 1.1677,                 1.9738,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4119,                 1.1829,                 1.9033,                0.67091,                0.70968,                0.64468,                 0.2471,                 2.2391,                  1.122,                 1.8341,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3641,                 1.1834,                 1.8927,                0.68107,                0.67288,                0.64158,                0.24251,                 2.2673,                 1.1408,                 1.8363,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3747,                 1.2059,                 1.8457,                0.73871,                0.73154,                0.72988,                0.27784,                 2.2256,                 1.1049,                  1.801,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3641,                 1.2124,                 1.8342,                 0.7038,                0.71268,                0.69643,                0.27475,                 2.1149,                   1.08,                 1.7526,               0.001802,               0.001802,               0.001802
                     12,                 2.2811,                 1.1311,                 1.7811,                0.77425,                0.74399,                0.73964,                 0.2877,                 2.1371,                 1.0658,                 1.7486,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.294,                 1.1177,                 1.7483,                0.77511,                0.70071,                0.70496,                0.28781,                 2.1227,                 1.0594,                 1.7246,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2572,                 1.1371,                 1.7389,                0.73259,                0.67812,                0.68565,                0.27612,                 2.1406,                 1.0628,                 1.7386,              0.0017426,              0.0017426,              0.0017426
                     15,                  2.226,                 1.1419,                 1.7361,                0.78877,                0.72809,                0.74751,                 0.3098,                 2.0697,                 1.0123,                 1.6796,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2126,                 1.0813,                 1.6827,                0.78642,                0.72993,                 0.7815,                0.31859,                 2.0375,                 1.0685,                 1.6663,               0.001703,               0.001703,               0.001703
                     17,                  2.186,                 1.1117,                 1.6942,                0.80733,                 0.7458,                0.77084,                0.32985,                 2.0352,                 1.0087,                 1.6531,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1829,                 1.0943,                 1.6664,                0.82154,                0.75508,                0.79521,                0.33515,                 1.9851,                  1.022,                 1.6237,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1464,                 1.0854,                 1.6539,                0.84156,                0.75316,                0.79955,                0.34147,                 1.9734,                 1.0203,                 1.6124,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1474,                 1.0639,                 1.6283,                0.83185,                0.76398,                0.78974,                0.33539,                  1.981,                0.97634,                 1.6077,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0751,                 1.0421,                 1.6155,                0.85594,                0.77272,                0.83137,                0.35006,                  1.982,                 1.0337,                  1.602,               0.001604,               0.001604,               0.001604
                     22,                 2.0828,                  1.046,                 1.5872,                0.84614,                0.75398,                0.79056,                0.35404,                 1.9329,                0.96399,                 1.5755,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0575,                 1.0507,                 1.5811,                0.83053,                0.75477,                0.79985,                0.35305,                  1.904,                0.97754,                 1.5756,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0518,                  1.001,                 1.5531,                0.85116,                0.75868,                0.81565,                0.35831,                 1.8887,                0.96064,                  1.569,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0452,                 1.0571,                 1.5674,                0.83204,                0.77265,                0.80203,                0.35962,                 1.8887,                0.96852,                 1.5471,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0297,                 1.0147,                 1.5387,                0.87379,                0.79159,                0.84664,                0.37609,                 1.8912,                0.97866,                 1.5502,               0.001505,               0.001505,               0.001505
                     27,                 2.0502,                 1.0313,                 1.5432,                0.89183,                 0.8004,                0.85282,                0.38433,                 1.8617,                0.97789,                 1.5336,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.973,                 1.0173,                 1.5346,                0.84362,                0.77066,                0.84093,                0.38723,                 1.8356,                  0.957,                  1.521,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.972,                 1.0049,                 1.5188,                0.87995,                0.79085,                0.84547,                0.38954,                 1.8304,                 0.9356,                 1.5158,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.948,                0.97652,                 1.5177,                0.88993,                0.82027,                0.85824,                0.37757,                 1.8914,                0.93777,                 1.5356,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9633,                 1.0146,                 1.5174,                0.85757,                 0.7856,                0.84662,                0.39388,                   1.83,                0.95067,                 1.5128,               0.001406,               0.001406,               0.001406
                     32,                 1.9616,                 1.0349,                 1.5084,                0.83035,                0.77241,                 0.8185,                0.37742,                 1.8114,                0.97051,                 1.5071,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9336,                0.96898,                 1.4862,                0.85993,                0.78527,                0.82393,                0.37606,                 1.8616,                0.91779,                 1.5189,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9466,                0.98795,                 1.4847,                0.86578,                 0.8063,                0.86226,                0.40348,                 1.7867,                0.93848,                 1.4779,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9135,                0.97826,                 1.4767,                0.86706,                0.81067,                0.84505,                0.38497,                 1.8314,                0.92343,                  1.502,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8864,                0.96631,                 1.4654,                0.88076,                0.80884,                0.87634,                0.39216,                 1.8595,                0.93721,                 1.5148,               0.001307,               0.001307,               0.001307
                     37,                 1.8954,                0.96005,                 1.4691,                0.88904,                0.80308,                0.86545,                0.39398,                 1.8565,                0.97124,                 1.5067,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8751,                0.94476,                 1.4669,                0.88338,                 0.8109,                0.86877,                0.40911,                 1.7944,                0.90376,                  1.478,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8789,                  0.947,                 1.4642,                0.88699,                0.81252,                0.87342,                0.41474,                 1.7869,                0.91944,                 1.4725,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8832,                0.95816,                   1.49,                0.85949,                0.81191,                0.86487,                0.40074,                 1.8227,                0.95733,                 1.4914,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.865,                0.94028,                 1.4506,                0.87266,                0.78982,                0.83616,                 0.3879,                  1.814,                0.88134,                 1.4866,               0.001208,               0.001208,               0.001208
                     42,                 1.8611,                0.92545,                 1.4646,                0.88088,                0.83299,                 0.8797,                 0.4173,                  1.792,                 0.9262,                  1.463,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8235,                0.92942,                 1.4205,                0.88989,                0.79848,                0.84654,                0.39121,                 1.8468,                0.88138,                 1.4967,              0.0011684,              0.0011684,              0.0011684
