                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4024,                 2.8019,                 3.9505,                0.00367,                0.01495,                0.00199,                0.00049,                 5.9068,                 2.7961,                 4.0602,                0.00062,                0.00062,                0.00062
                      2,                 4.0554,                 2.0227,                 3.4121,                0.02791,                0.11364,                0.02379,                 0.0063,                 4.8347,                 2.3085,                 3.5084,              0.0012475,              0.0012475,              0.0012475
                      3,                 3.1441,                  1.682,                 2.7332,                0.14545,                0.07706,                0.03438,                0.01008,                 5.0448,                 2.5411,                 3.5923,              0.0018624,              0.0018624,              0.0018624
                      4,                 2.7809,                 1.4624,                    2.4,                0.30424,                0.25604,                0.12925,                0.03648,                  3.934,                 2.3626,                 3.0179,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6546,                 1.3686,                 2.1968,                0.44826,                0.54175,                 0.3771,                0.13325,                 2.5693,                 1.7553,                 2.2333,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.566,                 1.3426,                 2.0686,                0.47605,                0.53255,                0.41216,                0.15504,                 2.4658,                 2.5733,                  2.133,               0.001901,               0.001901,               0.001901
                      7,                 2.4927,                 1.3513,                 2.0031,                 0.4509,                0.41592,                0.29818,                0.09662,                 2.9213,                 1.6153,                 2.3602,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4388,                 1.2772,                 1.8986,                 0.4493,                0.57626,                0.42792,                0.14936,                  2.474,                 1.6274,                 2.0074,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3825,                 1.2726,                  1.882,                0.35453,                0.45342,                 0.3118,                0.10375,                 2.5972,                 1.6301,                  2.064,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3611,                 1.2479,                 1.8267,                0.47704,                0.59811,                0.47971,                0.17208,                 2.2737,                 1.3499,                 1.8254,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.351,                 1.2522,                 1.8097,                0.64613,                0.65064,                0.61754,                0.24138,                 2.1732,                 1.3526,                 1.7508,               0.001802,               0.001802,               0.001802
                     12,                 2.3028,                 1.1798,                 1.7742,                0.72764,                0.69657,                0.69198,                0.25643,                 2.1529,                 1.2122,                 1.7451,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2613,                 1.1603,                 1.7126,                0.75276,                 0.7251,                0.70539,                0.28831,                 2.0836,                 1.1081,                 1.6909,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2519,                  1.163,                 1.7217,                0.76276,                 0.6923,                0.69911,                 0.2879,                 2.0879,                 1.0803,                  1.708,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2231,                 1.1705,                 1.7076,                 0.7927,                0.73277,                0.74813,                0.30192,                 2.0524,                 1.1036,                 1.6562,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1954,                 1.1196,                 1.6647,                0.77791,                0.73405,                 0.7451,                0.29555,                 2.0227,                 1.1192,                 1.6502,               0.001703,               0.001703,               0.001703
                     17,                 2.1872,                 1.1378,                 1.6774,                0.75115,                0.68814,                0.68256,                0.28393,                 2.0783,                 1.0893,                 1.6775,              0.0016832,              0.0016832,              0.0016832
                     18,                  2.191,                 1.1306,                 1.6567,                0.73774,                0.74304,                0.71442,                0.26928,                  2.066,                 1.1529,                  1.658,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1335,                 1.1247,                 1.6359,                 0.8298,                0.76858,                0.80232,                0.32409,                 2.0051,                 1.0877,                 1.6165,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1198,                 1.1044,                 1.6101,                0.80686,                0.76144,                0.79205,                0.34091,                 1.9192,                 1.0463,                 1.5712,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0668,                 1.0758,                  1.603,                 0.8126,                0.75247,                0.79584,                0.31497,                 1.9815,                 1.0518,                 1.5956,               0.001604,               0.001604,               0.001604
                     22,                 2.0944,                 1.0734,                  1.583,                 0.8414,                0.76029,                0.78922,                0.34478,                 1.9385,                0.99207,                 1.5717,              0.0015842,              0.0015842,              0.0015842
                     23,                  2.075,                 1.0681,                 1.5746,                0.80946,                0.73101,                0.77775,                0.32505,                 1.9805,                 1.0545,                 1.5978,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0689,                  1.038,                 1.5497,                 0.8479,                 0.7643,                0.81976,                0.33566,                   1.91,                 1.0357,                 1.5539,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0181,                 1.0613,                 1.5418,                0.85289,                0.76957,                0.81558,                0.35249,                 1.9068,                0.98614,                 1.5403,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0364,                 1.0265,                 1.5316,                0.86817,                0.76881,                0.82413,                 0.3647,                 1.8992,                0.99304,                 1.5375,               0.001505,               0.001505,               0.001505
                     27,                 2.0362,                 1.0737,                 1.5303,                 0.8504,                  0.782,                0.81592,                0.34769,                 1.8882,                 1.0187,                 1.5281,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.987,                 1.0367,                 1.5318,                0.86371,                0.77318,                0.83223,                0.37652,                 1.8716,                0.99606,                 1.5244,              0.0014654,              0.0014654,              0.0014654
