                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5828,                 2.4525,                 1.7984,                0.52574,                0.72418,                0.61937,                0.25158,                 1.9435,                    inf,                 1.5181,                0.00046,                0.00046,                0.00046
                      2,                 1.9868,                 1.1951,                 1.3728,                0.38505,                0.38647,                0.33718,                  0.123,                 2.1224,                 2.4212,                 1.6382,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.8853,                 1.1732,                 1.3795,                0.76269,                0.80883,                0.81093,                0.36041,                 1.7796,                 1.9751,                 1.4179,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.8477,                  1.065,                 1.3158,                0.69324,                 0.7663,                0.72071,                0.30068,                 1.8237,                 1.3913,                 1.4044,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.8736,                 1.0647,                 1.3209,                0.60654,                0.72211,                0.56187,                0.22561,                 1.9867,                 1.4361,                 1.5697,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8299,                  1.004,                  1.289,                0.76161,                0.76305,                0.78831,                0.34508,                 1.8475,                 1.2845,                 1.3893,               0.001901,               0.001901,               0.001901
                      7,                 1.8027,                 1.0171,                 1.2947,                0.80906,                0.76323,                0.81524,                0.38844,                 1.7436,                  1.001,                 1.3222,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7441,                0.95038,                 1.2386,                0.86755,                0.80262,                0.85755,                 0.4141,                 1.7844,                0.89225,                 1.3415,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.761,                0.93353,                 1.2458,                0.85013,                0.78815,                0.85036,                0.37688,                 1.8568,                0.99021,                 1.3632,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7459,                0.95812,                 1.2569,                0.80898,                0.79206,                0.82915,                0.38439,                 1.7947,                0.99111,                 1.3093,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7212,                0.92835,                 1.2452,                0.81357,                0.77802,                0.82778,                0.36744,                 1.8648,                0.96515,                 1.3702,               0.001802,               0.001802,               0.001802
                     12,                 1.7114,                0.89018,                 1.2281,                 0.8148,                 0.8016,                0.82687,                 0.3762,                 1.8121,                0.97352,                 1.3515,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6806,                0.89905,                 1.2219,                0.86451,                0.83552,                0.87784,                0.42712,                 1.7534,                0.88966,                 1.3299,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6771,                0.85247,                 1.2276,                0.87939,                0.82353,                0.88844,                0.43525,                 1.7413,                 0.8442,                 1.3046,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6662,                0.84026,                 1.1987,                0.86552,                0.84396,                0.88463,                0.40364,                 1.8113,                0.88034,                 1.3461,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6428,                0.81582,                  1.198,                0.88654,                0.84081,                0.90005,                0.44953,                 1.7049,                0.81523,                 1.2904,               0.001703,               0.001703,               0.001703
                     17,                 1.6435,                0.82625,                 1.2124,                0.89516,                0.85244,                0.89906,                0.47102,                  1.629,                0.81641,                 1.2608,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6096,                0.80027,                 1.1818,                0.86252,                0.83276,                0.88918,                0.45622,                 1.7131,                0.80922,                 1.2927,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6261,                0.79265,                 1.1857,                0.89765,                0.85277,                0.89918,                0.43644,                 1.7716,                0.79833,                 1.3175,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6162,                0.78777,                 1.1738,                0.90215,                0.85896,                0.90467,                0.47853,                 1.6514,                0.75399,                 1.2629,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5692,                0.76276,                 1.1744,                0.91319,                0.87603,                0.92319,                0.44856,                 1.7568,                0.77944,                  1.324,               0.001604,               0.001604,               0.001604
                     22,                  1.558,                0.75037,                 1.1667,                0.91783,                0.85308,                0.91509,                0.48026,                  1.641,                0.71094,                 1.2695,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5366,                0.73005,                  1.165,                0.91118,                0.88475,                0.93071,                 0.4981,                 1.6063,                0.71949,                 1.2452,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5211,                0.71899,                 1.1419,                0.92113,                0.87861,                0.92787,                0.49222,                 1.6158,                0.71543,                 1.2463,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5151,                0.71205,                  1.143,                0.90424,                0.85875,                0.92121,                0.49607,                 1.6275,                0.73469,                 1.2538,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5148,                0.71042,                 1.1341,                0.90425,                0.87118,                0.91924,                0.48855,                 1.6265,                0.68106,                 1.2514,               0.001505,               0.001505,               0.001505
                     27,                 1.4758,                0.69377,                  1.125,                0.93292,                  0.883,                0.93684,                0.50368,                 1.6169,                0.66884,                 1.2525,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4819,                 0.6715,                 1.1297,                0.92347,                0.87999,                 0.9268,                0.50672,                 1.5806,                0.68003,                 1.2493,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4437,                0.67637,                 1.1255,                0.91635,                0.88455,                0.92205,                0.49964,                 1.6037,                0.66662,                 1.2458,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4054,                0.64801,                 1.1073,                0.93398,                0.88847,                0.94055,                0.52036,                 1.5621,                  0.661,                 1.2213,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4077,                0.65151,                 1.1004,                0.92253,                0.88843,                0.93223,                0.52369,                 1.5398,                0.66922,                  1.214,               0.001406,               0.001406,               0.001406
                     32,                  1.385,                0.64071,                  1.087,                0.93336,                0.89326,                0.94331,                0.52796,                 1.5367,                0.63508,                 1.2094,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3574,                0.63258,                 1.0855,                0.93061,                0.90522,                0.94354,                0.53441,                  1.508,                 0.6602,                 1.2063,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3735,                0.63253,                 1.0838,                0.91467,                0.89759,                0.93793,                 0.5174,                 1.5753,                0.66494,                 1.2459,              0.0013466,              0.0013466,              0.0013466
                     35,                   1.36,                0.62024,                 1.0749,                0.92439,                0.89786,                0.93441,                0.51378,                 1.5624,                0.64793,                 1.2254,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3328,                0.61455,                 1.0861,                0.93408,                0.89323,                0.94683,                 0.5416,                 1.5035,                0.62093,                  1.198,               0.001307,               0.001307,               0.001307
                     37,                 1.3075,                0.60691,                 1.0774,                0.92651,                0.89033,                0.93072,                0.52243,                 1.5314,                0.62339,                 1.2227,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3153,                0.60769,                 1.0671,                0.95255,                 0.9005,                0.95118,                0.54913,                 1.4956,                0.60413,                 1.2001,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2937,                0.60125,                 1.0492,                0.94736,                0.88606,                0.94116,                0.54245,                 1.4702,                0.61824,                 1.1888,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2529,                 0.5925,                 1.0519,                 0.9394,                0.91293,                0.95253,                0.56418,                 1.4363,                0.60878,                 1.1732,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2596,                0.58553,                  1.042,                0.95003,                 0.9098,                0.95637,                0.55704,                 1.4474,                0.59719,                 1.1859,               0.001208,               0.001208,               0.001208
                     42,                 1.2305,                0.57673,                 1.0422,                0.93522,                0.91419,                 0.9505,                0.56102,                 1.4541,                0.60239,                 1.1959,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2443,                0.57882,                 1.0407,                0.93237,                0.91327,                0.94689,                0.55467,                 1.4672,                0.60873,                 1.1915,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2167,                0.57542,                 1.0193,                0.94908,                0.91759,                0.95928,                0.57746,                 1.4143,                0.58227,                 1.1683,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1758,                0.55212,                 1.0118,                0.94359,                0.91575,                0.95503,                0.58068,                 1.3963,                0.56899,                 1.1618,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1905,                0.55259,                 1.0133,                0.95098,                 0.9239,                0.95716,                0.56885,                 1.4163,                0.57151,                 1.1742,               0.001109,               0.001109,               0.001109
                     47,                 1.1766,                0.54776,                 1.0092,                0.94836,                0.91675,                0.96027,                0.57837,                 1.3802,                0.56803,                 1.1578,              0.0010892,              0.0010892,              0.0010892
