                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1248,                 2.6123,                 3.8691,                0.00715,                0.02976,                0.00599,                0.00162,                  5.709,                 2.8035,                 3.9466,             0.00065217,             0.00065217,             0.00065217
                      2,                 3.6142,                 1.7673,                 2.9744,                0.01408,                0.05861,                 0.0122,                0.00294,                 5.5893,                 2.8386,                 3.9265,              0.0013123,              0.0013123,              0.0013123
                      3,                 2.8147,                 1.5171,                 2.4536,                0.40009,                0.44751,                0.33223,                 0.1119,                 2.7439,                 1.9929,                 2.3776,              0.0019659,              0.0019659,              0.0019659
                      4,                 2.6634,                 1.4088,                 2.1841,                0.53201,                0.60197,                0.51527,                0.19502,                 2.4054,                 1.3181,                 1.9976,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.5636,                 1.2881,                 2.0021,                0.64213,                0.60575,                0.56158,                0.19822,                 2.3817,                 1.2312,                 1.9285,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.4652,                 1.2408,                 1.8824,                0.73757,                0.68454,                0.71401,                0.28508,                 2.1336,                 1.1495,                 1.7622,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.4579,                 1.2431,                 1.9038,                0.73633,                0.66642,                0.71947,                0.27541,                 2.1346,                 1.1542,                 1.7448,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.3867,                 1.2076,                 1.8118,                0.84068,                0.74457,                0.79302,                0.32279,                 2.0595,                 1.0627,                 1.6814,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.3626,                  1.182,                 1.7714,                0.80992,                0.71773,                0.76348,                0.32298,                 2.0418,                0.99569,                 1.6802,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.3198,                 1.1678,                 1.7697,                0.79983,                 0.7164,                0.75703,                0.30841,                 2.0459,                 1.0842,                 1.6867,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3038,                 1.1857,                  1.746,                0.84729,                0.73849,                0.78133,                0.32304,                 1.9969,                 1.0171,                  1.628,               0.001901,               0.001901,               0.001901
                     12,                 2.2738,                 1.1535,                 1.7014,                0.78429,                0.72576,                0.76277,                 0.3346,                 1.9686,                 1.0174,                 1.6246,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.2527,                 1.1363,                 1.6848,                0.79586,                0.74749,                0.79534,                0.33304,                 1.9757,                 1.0223,                 1.6135,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2274,                 1.1216,                 1.6515,                0.74349,                0.72284,                0.74004,                0.31557,                 1.9985,                 1.0592,                 1.6269,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.2293,                 1.1195,                 1.6626,                0.83113,                0.76009,                0.81247,                 0.3505,                 1.9732,                 1.0263,                 1.5991,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.2009,                 1.1051,                 1.6262,                0.85821,                0.77177,                0.82301,                0.34708,                 1.9576,                 1.0399,                 1.5793,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.1708,                 1.0808,                 1.6299,                0.84812,                0.77835,                0.81295,                0.35799,                 1.9215,                0.96329,                 1.5595,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.1559,                 1.0649,                 1.6181,                 0.8079,                 0.7453,                0.79366,                0.35795,                 1.9015,                0.98986,                 1.5667,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.1612,                 1.0772,                  1.621,                0.79341,                0.73215,                0.76707,                0.32235,                 1.9466,                0.98338,                 1.5812,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.1481,                  1.065,                 1.6217,                0.85123,                0.79814,                 0.8302,                0.38098,                 1.8407,                0.95334,                 1.5096,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.1265,                  1.055,                 1.6001,                0.82003,                0.74932,                0.81026,                0.33158,                 2.0561,                  1.053,                 1.6127,               0.001802,               0.001802,               0.001802
                     22,                 2.1249,                 1.0479,                 1.5723,                0.84512,                0.73923,                0.80617,                0.32335,                 2.0584,                 1.0842,                 1.6253,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.1299,                 1.0625,                 1.5993,                 0.7975,                 0.7316,                0.75181,                0.31929,                 1.9295,                 0.9711,                 1.5701,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.1065,                 1.0407,                 1.5891,                0.85971,                 0.8045,                0.86603,                0.39061,                 1.8663,                0.95167,                 1.5125,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.0776,                 1.0475,                 1.5778,                0.89801,                0.81395,                0.87263,                0.38655,                 1.9075,                0.91133,                 1.5278,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.0714,                 1.0262,                 1.5655,                0.86664,                0.80464,                0.85215,                0.38236,                 1.9119,                0.94121,                 1.5339,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.0675,                 1.0161,                 1.5491,                0.84664,                0.76301,                0.80082,                0.36143,                 1.8364,                0.90732,                 1.5026,              0.0017426,              0.0017426,              0.0017426
