                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6864,                 2.4034,                 1.8478,                 0.4198,                0.76814,                0.68004,                0.25314,                 2.0699,                 6.7576,                 1.5642,                0.00042,                0.00042,                0.00042
                      2,                 2.2246,                 1.2892,                 1.5094,                0.56897,                0.62389,                0.56217,                0.22242,                 2.0168,                 3.0178,                 1.5572,             0.00085149,             0.00085149,             0.00085149
                      3,                 2.1824,                 1.2381,                 1.4905,                0.38455,                0.66629,                0.37269,                0.15166,                 2.1635,                 2.7828,                 1.5822,              0.0012743,              0.0012743,              0.0012743
                      4,                 2.1788,                 1.1773,                  1.492,                 0.5552,                0.39204,                0.42458,                0.16727,                 2.2778,                  1.956,                 1.6729,              0.0016883,              0.0016883,              0.0016883
                      5,                 2.1318,                 1.1713,                 1.4496,                0.74444,                0.69381,                 0.7466,                0.30376,                 2.0345,                 1.3032,                 1.4623,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1229,                 1.1811,                 1.4558,                0.31512,                0.20265,                0.19717,                0.07209,                 2.7178,                 2.8468,                 1.9078,               0.001901,               0.001901,               0.001901
                      7,                 2.1284,                 1.1893,                 1.4692,                 0.7134,                0.65664,                0.71982,                0.29854,                 2.0227,                 1.3465,                  1.449,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.073,                 1.1414,                 1.4214,                0.64257,                0.64867,                0.70882,                0.31959,                 1.9605,                 1.4405,                 1.4223,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0774,                 1.1496,                  1.428,                0.79117,                0.73426,                0.79186,                0.33916,                 1.9941,                 1.1453,                 1.4335,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0387,                 1.1184,                 1.3931,                0.70912,                0.72743,                0.76848,                0.30514,                 2.0263,                  1.166,                 1.4288,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0404,                 1.1159,                 1.3968,                0.68397,                0.67434,                0.73425,                0.30639,                  2.003,                 1.1441,                 1.4364,               0.001802,               0.001802,               0.001802
                     12,                 2.0147,                 1.0995,                 1.3841,                0.70536,                 0.7076,                 0.7579,                0.29512,                 2.0795,                 1.1424,                 1.4403,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9556,                 1.0819,                  1.374,                0.79198,                0.75133,                 0.8189,                0.34651,                 1.9331,                 1.0695,                 1.3655,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.9817,                 1.0887,                 1.3841,                0.75265,                0.75669,                0.79752,                0.34845,                 1.9119,                  1.079,                 1.3686,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9544,                 1.0707,                 1.3473,                 0.7927,                0.79204,                0.82331,                 0.3499,                 1.9872,                0.98921,                 1.4222,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9316,                 1.0433,                 1.3504,                0.71461,                0.68053,                0.71103,                0.26232,                 2.1572,                 1.1623,                 1.5124,               0.001703,               0.001703,               0.001703
                     17,                   1.97,                 1.0477,                 1.3596,                0.73333,                0.75196,                0.76927,                 0.3367,                 1.9256,                  1.083,                 1.3874,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.942,                 1.0316,                 1.3479,                 0.7987,                0.69874,                0.76313,                0.28876,                 2.1595,                   1.07,                 1.5106,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9474,                 1.0219,                 1.3439,                0.80738,                0.74556,                0.80482,                0.33539,                 2.0255,                0.98606,                 1.4242,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8861,                 1.0243,                 1.3199,                0.80374,                0.71033,                0.78419,                0.28981,                 2.2254,                 1.1168,                 1.5524,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.8844,                 1.0106,                 1.3432,                 0.8075,                0.76903,                0.82754,                0.34704,                 1.9837,                 1.0285,                 1.3968,               0.001604,               0.001604,               0.001604
                     22,                 1.8676,                 1.0201,                 1.3241,                0.78338,                0.72327,                0.76345,                0.30541,                  2.024,                 1.0541,                 1.4546,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8601,                0.97863,                 1.3077,                0.82487,                0.72526,                0.80912,                0.37159,                  1.837,                0.96174,                 1.3475,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8414,                 0.9797,                 1.3171,                0.82469,                0.78142,                0.81493,                0.34776,                  1.945,                 1.0216,                 1.4039,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.8447,                0.98066,                 1.3097,                0.80871,                 0.7531,                0.80069,                0.33859,                 1.9659,                 1.0253,                 1.4102,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.857,                0.97455,                 1.2941,                0.81706,                0.76195,                0.80886,                0.36049,                 1.9147,                 1.0327,                 1.3798,               0.001505,               0.001505,               0.001505
                     27,                 1.9018,                 1.0008,                 1.3324,                0.80655,                0.73794,                0.76647,                 0.3098,                 2.0123,                 1.0407,                 1.4526,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8621,                0.98497,                 1.3048,                0.83068,                0.78673,                0.84326,                 0.3828,                 1.8362,                0.99648,                  1.342,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8221,                0.94279,                 1.2804,                0.85554,                0.77565,                0.83296,                 0.3765,                 1.8572,                0.90934,                 1.3648,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8171,                0.90895,                 1.2861,                0.79294,                0.79027,                 0.8079,                0.36007,                 1.9125,                0.96766,                 1.3814,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7854,                0.91765,                 1.2674,                 0.8415,                0.76114,                0.81574,                0.36176,                 1.9135,                0.95032,                 1.4041,               0.001406,               0.001406,               0.001406
                     32,                 1.7989,                0.90825,                 1.2862,                0.78594,                0.72566,                0.79893,                 0.3277,                 1.9918,                 1.0077,                 1.4043,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7839,                0.93142,                 1.2704,                0.80062,                0.72494,                0.77699,                0.32468,                  1.998,                  1.005,                 1.4297,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7803,                0.89647,                 1.2722,                0.81487,                0.73363,                0.79041,                0.32776,                 2.0502,                 1.0214,                 1.4485,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7676,                0.90017,                 1.2614,                0.76567,                0.70796,                0.72585,                0.32763,                 1.9521,                0.98188,                 1.4318,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7573,                0.89394,                 1.2607,                0.78161,                0.79813,                0.81886,                0.35753,                  1.936,                0.90091,                 1.3893,               0.001307,               0.001307,               0.001307
                     37,                 1.7432,                0.88662,                 1.2572,                0.85371,                0.75916,                0.82059,                0.39101,                 1.7894,                0.94667,                 1.3434,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7257,                0.87926,                 1.2433,                0.84336,                0.78938,                0.82224,                0.38343,                 1.8848,                0.88394,                 1.3829,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7519,                0.88551,                 1.2605,                0.85942,                0.75741,                0.81875,                0.37243,                  1.906,                 0.8828,                 1.3902,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7117,                0.85265,                 1.2329,                0.84896,                0.77168,                0.82775,                0.36627,                 1.9161,                 0.8858,                 1.3877,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.718,                0.84725,                 1.2199,                0.84862,                0.78673,                0.83702,                0.37578,                 1.9151,                    0.9,                 1.3846,               0.001208,               0.001208,               0.001208
                     42,                 1.7043,                0.83996,                 1.2263,                0.80147,                0.78238,                 0.7993,                0.37529,                 1.8891,                0.87817,                 1.3741,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7068,                0.83315,                 1.2339,                 0.8059,                0.79734,                0.82167,                0.37038,                 1.9233,                0.88763,                  1.391,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7102,                0.85829,                 1.2378,                0.84985,                0.76634,                0.83233,                0.38625,                  1.868,                0.90744,                 1.3548,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7028,                0.83209,                 1.2239,                 0.8771,                0.75929,                 0.8323,                0.38566,                 1.8472,                0.88842,                 1.3452,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6745,                0.82859,                  1.213,                0.85985,                0.78407,                0.84651,                0.33882,                 2.0264,                0.92984,                 1.4375,               0.001109,               0.001109,               0.001109
                     47,                 1.6776,                0.81862,                 1.2125,                0.83397,                0.77788,                0.83377,                0.37722,                 1.8995,                0.87669,                 1.3705,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6764,                0.81901,                 1.2199,                0.84197,                0.77876,                0.83485,                0.37374,                 1.9228,                0.85327,                 1.4067,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.666,                0.80983,                 1.2048,                0.84339,                0.78636,                0.83714,                0.34364,                 2.0412,                0.86475,                 1.4703,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6288,                0.78952,                 1.1814,                0.82282,                0.73977,                0.78331,                0.33574,                 1.9957,                0.88716,                 1.4348,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6582,                 0.8159,                 1.2344,                0.87222,                 0.7646,                0.84019,                 0.3938,                 1.8576,                 0.8477,                 1.3508,                0.00101,                0.00101,                0.00101
                     52,                 1.6374,                0.79873,                 1.2084,                0.82809,                0.76731,                0.82038,                0.37818,                 1.9179,                0.86777,                 1.3899,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6571,                0.79792,                 1.2119,                0.81663,                 0.7646,                0.80395,                0.34697,                 1.9938,                0.88537,                 1.4406,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6473,                0.81909,                 1.2099,                0.86243,                0.79912,                0.86314,                0.40613,                 1.8365,                0.85443,                 1.3513,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6496,                 0.7967,                 1.1965,                0.87429,                0.76991,                0.85353,                0.38452,                 1.8726,                0.88411,                 1.3621,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6025,                0.79229,                 1.1935,                0.84169,                0.79646,                0.84721,                0.39667,                  1.862,                 0.8249,                  1.359,               0.000911,               0.000911,               0.000911
                     57,                 1.6067,                0.79515,                 1.2085,                0.82903,                0.79384,                0.82906,                 0.3764,                 1.9416,                0.84097,                 1.3916,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5839,                0.76694,                 1.1845,                0.82043,                0.75841,                0.78579,                0.30011,                 2.1344,                0.90848,                 1.5245,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6438,                0.78079,                 1.2059,                0.85561,                0.77257,                0.80661,                0.36315,                  1.931,                0.86825,                  1.391,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5915,                0.77809,                  1.177,                0.84552,                0.76045,                0.81614,                0.36512,                  1.938,                0.87657,                 1.3941,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5842,                0.76175,                 1.1824,                0.84755,                0.78407,                0.83044,                0.37162,                   1.93,                0.85051,                 1.3905,               0.000812,               0.000812,               0.000812
                     62,                 1.5756,                0.77055,                 1.1709,                0.84569,                0.79027,                0.83164,                0.38208,                 1.9057,                0.85929,                 1.3899,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5729,                0.76197,                 1.1927,                0.83052,                0.79646,                0.82251,                0.36966,                 1.9254,                0.82874,                 1.4021,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.561,                0.76051,                 1.1726,                0.82945,                0.79191,                0.83093,                  0.388,                 1.8817,                0.83427,                 1.3803,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5996,                0.75813,                 1.1677,                 0.8741,                0.79258,                0.84752,                0.39052,                 1.9112,                0.82611,                 1.4008,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5612,                0.75163,                 1.1688,                0.83549,                0.78938,                0.81617,                0.37154,                 1.9268,                0.81964,                 1.3968,               0.000713,               0.000713,               0.000713
                     67,                 1.5379,                0.73949,                 1.1728,                0.82885,                0.82212,                0.84651,                0.39244,                 1.8577,                0.82946,                 1.3576,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5478,                0.72945,                 1.1505,                0.88508,                0.79823,                0.86441,                0.37252,                 1.9245,                0.81904,                  1.405,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.545,                0.73465,                 1.1547,                0.83863,                0.81416,                0.84967,                 0.3777,                 1.9305,                0.83283,                 1.3933,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5059,                0.73539,                 1.1522,                0.84734,                0.79574,                0.84544,                0.38806,                 1.8843,                0.80512,                 1.3804,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5477,                 0.7263,                 1.1652,                0.83481,                0.80054,                0.82942,                 0.3825,                 1.9031,                0.80812,                 1.3952,               0.000614,               0.000614,               0.000614
                     72,                 1.5189,                  0.721,                 1.1422,                0.85762,                0.80265,                0.84331,                 0.3847,                 1.9075,                 0.8176,                 1.3869,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5168,                0.72806,                 1.1587,                0.84871,                0.76549,                0.82987,                0.35621,                 1.9862,                 0.8505,                 1.4344,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5047,                 0.7307,                 1.1492,                0.83455,                 0.8115,                0.84828,                0.40066,                  1.851,                0.79039,                 1.3686,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4842,                0.70898,                 1.1316,                0.84652,                 0.8115,                 0.8469,                0.39612,                 1.9051,                0.81374,                 1.3907,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5242,                0.71777,                 1.1454,                0.84494,                0.78938,                0.82546,                 0.3725,                 1.9227,                0.82766,                 1.3937,               0.000515,               0.000515,               0.000515
                     77,                 1.5025,                0.72172,                 1.1468,                0.84791,                0.80419,                0.83556,                0.39074,                  1.872,                0.80923,                 1.3746,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4949,                0.71285,                 1.1397,                0.85577,                    0.8,                0.84694,                0.37124,                  1.984,                0.81686,                 1.4411,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4843,                0.69957,                 1.1314,                0.85089,                 0.7823,                0.83177,                0.34945,                 2.0049,                0.83971,                 1.4633,              0.0004556,              0.0004556,              0.0004556
