                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3976,                 1.8312,                 1.6347,                0.70664,                0.75388,                0.77057,                0.34281,                 1.8409,                    inf,                 1.3963,             0.00065217,             0.00065217,             0.00065217
                      2,                 2.0486,                 1.1473,                 1.3994,                0.66172,                0.71152,                 0.7077,                0.29056,                 1.9879,                 1.4252,                 1.4149,              0.0013145,              0.0013145,              0.0013145
                      3,                 2.0274,                 1.0984,                 1.3875,                0.72925,                0.70325,                0.75977,                0.34827,                 1.8497,                 1.1465,                 1.3723,              0.0019724,              0.0019724,              0.0019724
                      4,                 1.9791,                 1.0742,                 1.3693,                0.80902,                0.77422,                0.81983,                0.32912,                 2.0994,                 1.0389,                 1.4729,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.9555,                 1.0313,                 1.3422,                0.80471,                0.75686,                0.79364,                0.34786,                 1.9224,                0.92571,                 1.4198,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.9652,                 1.0319,                 1.3613,                0.83031,                0.78259,                0.85786,                0.38235,                 1.8808,                   1.04,                  1.362,               0.001967,               0.001967,               0.001967
                      7,                 1.8962,                0.99967,                 1.3238,                0.83955,                0.79773,                0.84383,                0.36242,                 1.9577,                0.96479,                 1.4005,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.8664,                0.95485,                 1.2958,                0.86931,                0.82948,                0.87412,                0.41888,                 1.7674,                0.85557,                 1.3127,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.8243,                0.93622,                 1.2786,                0.88174,                0.82497,                0.87842,                0.40103,                 1.8744,                0.85838,                 1.3698,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.8469,                0.93772,                 1.2873,                0.86474,                0.82783,                 0.8869,                0.42998,                 1.7806,                0.84638,                 1.3165,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.8313,                0.94786,                 1.2943,                0.83775,                0.81924,                0.86089,                0.39086,                 1.8656,                0.96096,                 1.3588,               0.001934,               0.001934,               0.001934
                     12,                 1.7902,                0.89886,                 1.2599,                0.88578,                0.83622,                0.87396,                0.41805,                 1.7852,                0.81321,                 1.3225,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.7904,                 0.8959,                 1.2631,                0.87838,                0.85101,                0.89499,                0.43366,                 1.7831,                0.79226,                 1.3207,              0.0019208,              0.0019208,              0.0019208
                     14,                  1.789,                 0.8772,                 1.2573,                0.86723,                0.83184,                0.88801,                0.41573,                 1.8413,                0.85132,                 1.3454,              0.0019142,              0.0019142,              0.0019142
                     15,                  1.761,                0.87615,                 1.2576,                0.89337,                0.84896,                0.89259,                0.44651,                 1.7413,                0.76945,                 1.3037,              0.0019076,              0.0019076,              0.0019076
                     16,                  1.729,                0.85462,                 1.2348,                0.89008,                0.86233,                0.90487,                 0.4591,                 1.7062,                0.76422,                 1.2858,               0.001901,               0.001901,               0.001901
                     17,                 1.7163,                0.83707,                 1.2363,                0.86257,                0.83313,                0.86321,                0.41662,                 1.7942,                0.82601,                 1.3242,              0.0018944,              0.0018944,              0.0018944
