                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8468,                 2.5497,                 2.0256,                0.43117,                0.56018,                 0.4273,                0.14756,                 2.3985,                 7.5025,                 1.8259,                0.00042,                0.00042,                0.00042
                      2,                 2.3372,                 1.3847,                 1.6452,                0.41773,                0.48407,                0.37091,                0.11505,                 2.3984,                 4.9315,                 1.8853,             0.00085149,             0.00085149,             0.00085149
                      3,                 2.2754,                 1.4096,                 1.6579,                0.29213,                0.46903,                0.23494,                  0.073,                 2.4177,                 3.0657,                 1.8704,              0.0012743,              0.0012743,              0.0012743
                      4,                 2.2662,                 1.3653,                 1.6277,                0.40631,                0.39204,                0.32324,                0.09896,                 2.3619,                 2.1432,                 1.7142,              0.0016883,              0.0016883,              0.0016883
                      5,                 2.2609,                 1.3426,                 1.6064,                0.45212,                0.45424,                0.43627,                0.15645,                 2.2068,                 1.8491,                  1.644,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.255,                 1.3153,                 1.6081,                0.63306,                0.56991,                0.60861,                0.21478,                 2.2119,                 1.4727,                 1.6414,               0.001901,               0.001901,               0.001901
                      7,                 2.2035,                 1.2686,                 1.5561,                0.52924,                0.58102,                0.46654,                0.17112,                 2.1594,                 1.5363,                 1.5591,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1952,                  1.269,                 1.6022,                0.64474,                0.64513,                 0.6076,                0.22816,                 2.1069,                 1.3716,                 1.5611,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2287,                 1.2654,                 1.5749,                  0.524,                0.61681,                0.56805,                    0.2,                 2.2397,                 1.7433,                 1.5861,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.1841,                 1.2682,                 1.5642,                0.62446,                0.61952,                0.65131,                0.24472,                 2.1093,                 1.3268,                 1.5417,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.156,                 1.2339,                 1.5519,                0.69989,                0.63894,                0.67028,                0.26997,                  2.049,                 1.2596,                 1.5273,               0.001802,               0.001802,               0.001802
                     12,                 2.1575,                  1.212,                 1.5541,                0.61463,                0.66106,                0.66676,                0.25435,                 2.1149,                 1.4022,                  1.557,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1673,                  1.229,                 1.5211,                0.69145,                 0.6604,                 0.7014,                0.28712,                 2.0223,                 1.2262,                 1.5077,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1389,                 1.1686,                 1.5297,                0.76325,                0.70885,                 0.7546,                0.31249,                  2.011,                 1.1837,                 1.4639,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1503,                 1.2186,                 1.5238,                0.74911,                0.69469,                0.74621,                0.29506,                 2.1035,                 1.2728,                 1.4924,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1289,                 1.1722,                 1.5197,                0.76222,                 0.7646,                0.78899,                0.33066,                  1.961,                 1.1912,                 1.4417,               0.001703,               0.001703,               0.001703
                     17,                 2.1345,                 1.1808,                 1.4955,                0.73945,                0.72331,                 0.7821,                 0.3226,                 2.0194,                 1.1899,                 1.4204,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1232,                 1.1926,                 1.5257,                 0.7681,                0.75039,                0.78697,                0.32418,                 1.9453,                 1.1929,                 1.4367,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1107,                 1.1881,                 1.4937,                0.74607,                0.70708,                0.72799,                0.30506,                 2.0461,                 1.1972,                 1.5076,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1123,                 1.1535,                 1.4887,                0.78283,                0.70499,                0.79009,                0.34269,                 1.9463,                 1.1696,                 1.3979,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1285,                 1.1672,                 1.4964,                0.73432,                0.71421,                0.76324,                0.30889,                 2.0143,                 1.1631,                 1.4464,               0.001604,               0.001604,               0.001604
                     22,                 2.1112,                  1.158,                 1.5034,                0.83095,                0.76123,                0.82933,                0.33269,                 2.0677,                 1.1098,                 1.4868,              0.0015842,              0.0015842,              0.0015842
