                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7195,                 2.4688,                 1.8666,                0.33093,                0.73274,                0.48556,                0.18529,                 2.0804,                 6.9595,                 1.5848,                0.00042,                0.00042,                0.00042
                      2,                 2.2689,                 1.2658,                  1.505,                0.57072,                0.51239,                0.53252,                 0.2302,                 1.9922,                 3.2022,                 1.5059,             0.00085149,             0.00085149,             0.00085149
                      3,                 2.2188,                 1.2871,                 1.5243,                0.35347,                0.32035,                0.27804,                0.12005,                 2.2764,                 2.2093,                 1.6658,              0.0012743,              0.0012743,              0.0012743
                      4,                 2.1713,                 1.2396,                 1.4929,                0.64024,                 0.6016,                0.65175,                0.24767,                 2.1635,                 1.9309,                 1.5749,              0.0016883,              0.0016883,              0.0016883
                      5,                 2.1767,                 1.1904,                 1.4488,                0.63479,                0.66637,                0.69333,                0.29434,                 2.0234,                 1.3362,                 1.4574,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1497,                 1.1896,                  1.457,                0.66682,                0.73894,                0.63548,                0.26009,                 1.9797,                 1.4282,                 1.4361,               0.001901,               0.001901,               0.001901
                      7,                 2.1365,                 1.1582,                 1.4542,                0.62873,                0.68407,                0.65351,                0.25868,                 2.0514,                  1.243,                 1.4646,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0956,                 1.1861,                 1.4546,                 0.7059,                0.65664,                0.71064,                 0.3002,                 1.9689,                 1.2699,                 1.4033,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1032,                 1.1497,                 1.4171,                0.71243,                0.68407,                0.72412,                0.29157,                  2.012,                 1.2108,                 1.4285,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0623,                 1.1553,                  1.415,                0.75611,                0.74867,                 0.8061,                0.35382,                 1.9046,                 1.0577,                 1.3849,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0319,                 1.1149,                 1.3944,                0.71007,                0.70796,                0.72036,                0.32165,                 1.9568,                 1.0741,                 1.4238,               0.001802,               0.001802,               0.001802
                     12,                 2.0222,                 1.1041,                 1.3936,                0.69153,                0.71239,                0.70056,                0.31659,                 1.9238,                  1.101,                 1.4183,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9901,                 1.0744,                 1.3578,                0.83206,                0.71416,                0.79669,                0.30045,                  2.069,                 1.0946,                  1.471,              0.0017624,              0.0017624,              0.0017624
