                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3552,                  2.892,                 4.0277,                  6e-05,                0.00023,                  3e-05,                      0,                 5.8811,                  3.328,                 4.0746,                0.00062,                0.00062,                0.00062
                      2,                 4.0164,                 2.0048,                 3.6741,                0.01169,                0.04762,                0.00663,                0.00161,                  5.306,                 2.5567,                 3.7109,              0.0012475,              0.0012475,              0.0012475
                      3,                 3.2804,                 1.6826,                 2.8618,                0.21608,                0.19715,                0.14746,                0.04989,                 3.6958,                 2.0716,                 3.1561,              0.0018624,              0.0018624,              0.0018624
                      4,                  2.814,                 1.4868,                 2.4649,                0.12965,                0.49367,                0.12966,                0.05163,                 2.9566,                 2.6042,                 2.6019,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6152,                 1.3558,                 2.2358,                 0.2437,                0.39268,                0.17687,                0.06186,                 3.0806,                 1.7307,                 2.6097,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5429,                  1.282,                 2.0952,                0.45417,                0.37635,                0.34736,                0.11684,                 2.8445,                 1.6761,                 2.3846,               0.001901,               0.001901,               0.001901
                      7,                  2.485,                 1.2982,                  2.024,                0.16506,                0.08236,                0.05281,                0.01663,                 4.3036,                 2.5564,                 3.4219,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4156,                 1.2334,                 1.9027,                 0.6281,                0.71406,                0.62344,                0.23069,                 2.2749,                 1.1792,                 1.8811,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3909,                 1.2335,                 1.8851,                0.56945,                0.65933,                0.55775,                 0.2092,                 2.2859,                 1.2311,                 1.8667,              0.0018416,              0.0018416,              0.0018416
                     10,                   2.35,                 1.2053,                 1.8173,                0.76177,                0.73411,                0.71559,                0.27971,                  2.153,                 1.0749,                 1.7722,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3602,                 1.2055,                 1.8038,                0.61971,                0.71084,                0.62729,                0.24482,                 2.1764,                 1.1298,                 1.7863,               0.001802,               0.001802,               0.001802
                     12,                 2.2758,                 1.1646,                 1.7581,                0.75965,                0.73246,                0.72481,                 0.2735,                 2.1193,                  1.153,                 1.7579,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2489,                 1.1372,                 1.7129,                0.77909,                0.71153,                 0.7229,                0.27661,                 2.1286,                 1.1338,                 1.7379,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2786,                 1.1559,                 1.7322,                 0.6402,                0.65355,                0.60185,                0.23512,                 2.2087,                 1.1091,                 1.7601,              0.0017426,              0.0017426,              0.0017426
